Folder,Retweet Count,Time Difference,Estimated Time,Total Retweeted,Retweeted Followers
data1023,1.0,0 days 00:00:10.000000000,10.0,1620.0,118031.0
data1031,1.0,0 days 00:00:08.000000000,8.0,1924.0,321757.0
data1037,2.0,0 days 00:00:27.000000000,13.5,1680.0,14660.0
data1043,3.0,0 days 00:00:19.000000000,6.333333333,1602.0,22908.0
data1072,3.0,0 days 00:00:30.000000000,10.0,1165.0,141204.0
data1073,2.0,0 days 00:00:10.000000000,5.0,1090.0,118091.0
data1074,1.0,0 days 00:00:11.000000000,11.0,2026.0,32189.0
data1106,1.0,0 days 00:00:14.000000000,14.0,1720.0,51848.0
data1127,8.0,0 days 00:00:23.000000000,2.875,1059.0,93200.0
data1140,4.0,0 days 00:02:27.000000000,36.75,2403.0,2201.0
data1158,2.0,0 days 00:00:48.000000000,24.0,1058.0,24784.0
data1171,2.0,0 days 00:00:06.000000000,3.0,3140.0,586797.0
data1176,2.0,0 days 00:00:08.000000000,4.0,1937.0,322216.0
data1193,1.0,0 days 00:00:07.000000000,7.0,1172.0,118301.0
data1200,3.0,0 days 00:00:41.000000000,13.666666666,1195.0,21988.0
data850,1.0,0 days 00:00:13.000000000,13.0,3197.0,8135780.0
data863,1.0,0 days 00:00:11.000000000,11.0,8047.0,51080.0
data877,1.0,0 days 00:03:21.000000000,201.0,1468.0,1799.0
data935,1.0,0 days 00:00:16.000000000,16.0,1273.0,376029.0
data985,1.0,0 days 00:00:23.000000000,23.0,1145.0,16194.0
data986,1.0,0 days 00:00:16.000000000,16.0,1289.0,38295.0
