Time Difference,Retweet Count
0:00:41,5
0:07:50,249
0:09:58,308
0:11:51,348
0:18:29,507
0:21:30,563
0:22:46,606
0:29:37,740
0:31:56,779
0:32:05,781
0:32:44,791
0:32:44,792
0:38:32,889
0:41:33,923
0:42:59,947
1:01:10,1179
1:04:27,1236
1:04:55,1245
1:06:48,1276
1:07:30,1286
1:13:01,1342
1:15:14,1362
1:15:52,1374
1:18:19,1404
1:22:48,1479
1:25:07,1525
1:27:29,1566
1:30:11,1609
1:38:27,1695
1:45:45,1771
1:46:16,1775
1:59:26,1877
2:17:14,2004
2:18:13,2013
2:35:14,2116
2:39:08,2140
2:51:39,2222
3:59:38,2605
4:08:56,2631
4:25:45,2704
5:43:34,2888
5:53:41,2902
9:51:17,3194
0:00:17,11
0:00:40,46
0:00:43,50
0:00:45,52
0:03:24,251
0:03:59,290
0:05:34,382
0:06:39,441
0:06:44,445
0:07:18,471
0:08:03,519
0:08:04,521
0:08:52,565
0:09:27,604
0:12:17,786
0:12:32,802
0:12:35,806
0:14:55,931
0:14:58,936
0:16:18,1008
0:16:27,1021
0:17:38,1070
0:17:48,1081
0:18:34,1130
0:20:39,1254
0:25:22,1465
0:25:48,1484
0:26:15,1503
0:29:46,1609
0:31:38,1651
0:32:40,1684
0:33:51,1722
0:34:30,1746
0:35:26,1774
0:36:40,1814
0:36:52,1819
0:37:47,1836
0:37:55,1840
0:38:24,1852
0:39:53,1888
0:40:41,1911
0:41:49,1946
0:42:22,1964
0:44:10,2015
0:44:32,2029
0:44:47,2038
0:46:55,2084
0:47:39,2105
0:49:50,2153
0:53:00,2224
0:54:17,2251
0:57:47,2343
0:58:33,2363
1:01:23,2437
1:05:52,2527
1:07:48,2574
1:08:15,2587
1:08:17,2588
1:08:34,2599
1:10:39,2648
1:11:54,2669
1:13:00,2695
1:15:16,2736
1:17:04,2785
1:21:06,2868
1:21:39,2877
1:22:38,2898
1:23:54,2928
1:30:33,3111
1:33:33,3191
1:34:29,3211
1:40:06,3346
1:42:02,3388
1:46:29,3468
1:47:10,3483
1:47:12,3485
1:47:46,3501
1:51:31,3602
1:52:05,3622
1:53:14,3638
1:54:22,3663
1:57:36,3726
1:58:30,3746
1:58:34,3748
1:58:50,3756
2:01:08,3806
2:01:53,3827
2:03:45,3866
2:08:15,3948
2:09:00,3969
2:09:11,3972
2:11:03,4010
2:13:37,4061
2:15:56,4100
2:27:45,4324
2:33:37,4449
2:34:33,4465
2:49:30,4701
3:02:09,4887
3:09:42,4972
3:13:24,5019
3:15:48,5055
3:22:35,5174
3:24:15,5192
3:25:21,5208
3:27:32,5248
3:28:12,5256
3:34:15,5352
3:39:55,5457
3:41:25,5483
3:56:40,5649
4:22:55,5988
4:40:15,6136
4:52:29,6274
4:54:14,6306
4:54:27,6311
5:12:31,6508
5:20:26,6554
6:04:56,6812
6:26:05,6949
6:52:02,7056
7:42:01,7303
7:57:18,7378
8:07:43,7449
8:18:47,7562
8:33:12,7663
9:20:11,7923
0:28:12,23
0:35:07,42
0:37:34,56
1:22:02,103
2:31:41,225
2:43:58,249
3:43:54,365
4:01:06,480
4:14:51,793
4:24:27,907
5:06:01,1116
5:09:16,1131
0:01:53,35
0:11:28,168
0:11:51,171
0:12:17,178
0:20:48,274
0:21:02,276
0:23:28,301
0:32:12,362
0:54:39,504
1:10:02,566
1:23:18,633
1:40:21,710
1:48:17,741
2:15:00,822
2:23:20,856
3:41:06,1005
3:54:45,1076
5:11:04,1205
6:59:00,1253
0:00:23,1
0:08:47,37
0:11:46,53
0:37:47,197
0:40:00,265
1:03:04,504
1:14:04,601
1:37:21,720
1:42:11,753
2:06:36,816
3:32:43,986
4:35:30,1071
0:02:55,99
0:04:37,134
0:08:24,216
0:08:28,218
0:10:15,260
0:13:03,310
0:29:03,559
0:34:37,622
0:37:33,649
0:56:56,864
1:01:25,902
1:07:19,940
1:13:11,985
1:14:08,994
1:21:32,1044
1:26:12,1073
1:30:39,1095
1:35:56,1141
1:53:04,1221
2:11:06,1288
2:34:11,1354
3:17:04,1427
5:12:46,1584
5:36:23,1603
0:00:22,21
0:00:45,48
0:01:10,83
0:01:39,121
0:03:13,215
0:04:46,290
0:06:58,386
0:11:19,533
0:12:33,573
0:13:38,597
0:13:56,604
0:17:30,699
0:17:34,702
0:19:10,739
0:19:22,745
