created_at,id,retweeted_status.created_at,Source,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name,Time Difference,Weight,size,Target
17:23:10,796040376381378560,17:23:00,7.960403354324869e+17,1,118027,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,1442,1950,779563097237303296,2braptuedbyJC77,0 days 00:00:10.000000000,864,0.739487179,796040376381378560
17:23:12,796040387957846017,17:23:00,7.960403354324869e+17,4,118031,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,125,142,784531500926722052,Unicorn688,0 days 00:00:12.000000000,720,0.88028169,796040387957846017
17:23:18,796040412976840704,17:23:00,7.960403354324869e+17,7,118031,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,29,65,4609062205,TruthTellerPol,0 days 00:00:18.000000000,480,0.446153846,796040412976840704
17:23:22,796040427228962816,17:23:00,7.960403354324869e+17,10,118027,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,241,526,33306157,plineytheelder,0 days 00:00:22.000000000,392.7272727,0.458174905,796040427228962816
17:23:23,796040433767829505,17:23:00,7.960403354324869e+17,11,118027,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,123,353,75308194,mriej,0 days 00:00:23.000000000,375.6521739,0.348441926,796040433767829505
17:23:27,796040447655342080,17:23:00,7.960403354324869e+17,13,118031,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,496,214,3012932259,BethanyB_AdamG,0 days 00:00:27.000000000,320,2.317757009,796040447655342080
17:23:30,796040463090323456,17:23:00,7.960403354324869e+17,15,118032,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,2248,2568,1150914516,nooneishere51,0 days 00:00:30.000000000,288,0.875389408,796040463090323456
17:23:34,796040477178892289,17:23:00,7.960403354324869e+17,18,118028,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,329,328,2265056095,crystal20562765,0 days 00:00:34.000000000,254.1176471,1.00304878,796040477178892289
17:23:35,796040481016778761,17:23:00,7.960403354324869e+17,19,118032,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,151,473,756643693763768320,LetaJones13,0 days 00:00:35.000000000,246.8571429,0.319238901,796040481016778761
17:23:35,796040481247522816,17:23:00,7.960403354324869e+17,19,118032,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,1639,2423,744232736089575424,dougpiontkowski,0 days 00:00:35.000000000,246.8571429,0.676434173,796040481247522816
17:23:38,796040496670011392,17:23:00,7.960403354324869e+17,24,118032,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,5881,5867,3283723057,Lisa22545183,0 days 00:00:38.000000000,227.3684211,1.002386228,796040496670011392
17:23:38,796040496607072257,17:23:00,7.960403354324869e+17,24,118032,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,106,153,4852228768,4jeansladybug,0 days 00:00:38.000000000,227.3684211,0.692810458,796040496607072257
17:23:43,796040517951729664,17:23:00,7.960403354324869e+17,27,118028,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,81,145,786312777136648193,SeanStyles68,0 days 00:00:43.000000000,200.9302326,0.55862069,796040517951729664
17:23:56,796040572418998273,17:23:00,7.960403354324869e+17,31,118028,9934,328878936.0,JaredWyand,RT @JaredWyand: Do you want 4 more years of the government taking money from your paycheck to give it to illegals who sneak acrossâ€¦ ,435,275,284468784,arisingz,0 days 00:00:56.000000000,154.2857143,1.581818182,796040572418998273
