Time Difference,user.screen_name
00:00:25,thatgirlsandra5
00:03:49,Ron3yX
00:06:46,kropp_kandi
00:08:19,davonte___
00:10:35,dn_jr7
00:11:40,dave_deplorable
00:12:13,vtlche
00:15:03,sallysynge
00:24:17,RayBurke83
00:25:07,rripror
00:26:17,alabamamangreg
00:27:43,fyrecapt12a
00:34:18,toppertaco
00:35:43,zezroe
00:36:01,WolfensPride
00:36:40,ctsew377
00:37:17,onesidelaloop
00:43:13,aatmanjal
00:44:32,oneluckybean_
00:49:58,africanmob1
00:52:43,BrianHearn4
00:56:04,DougWallysboy
00:57:21,bogglemethis
01:16:55,budthespuddy
01:24:00,dlindianos
01:24:45,BE6000
01:25:46,1stayinformed
01:30:22,Escobar121
01:48:59,native4trump
01:49:15,Steve_Gregory82
01:52:13,goodguyaj
02:03:33,meppenbrock
02:07:18,USATopGuns
02:10:41,88_Charlotte_88
02:15:10,MeggyMoots
02:24:55,karmasenz
02:56:17,SwampCleaners
03:38:10,FrankASerena1
