,Time Difference,user.screen_name
1,0 days 00:00:17.000000000,realtortto
2,0 days 00:00:23.000000000,Russelltucker15
3,0 days 00:00:39.000000000,ChrissyCelena
5,0 days 00:01:00.000000000,banubian
7,0 days 00:01:07.000000000,Imjusthere_hey
10,0 days 00:01:46.000000000,MattHenard
11,0 days 00:01:46.000000000,MiriamRoseMc
12,0 days 00:02:35.000000000,blawatid
13,0 days 00:02:42.000000000,BasedD3plorable
14,0 days 00:02:43.000000000,henry_martone
15,0 days 00:02:46.000000000,tdobbs431
19,0 days 00:04:07.000000000,charlesfowler
21,0 days 00:04:12.000000000,poIarizestyIes
24,0 days 00:06:09.000000000,c446591fcb1a479
25,0 days 00:06:12.000000000,eurongreyjoy4
26,0 days 00:06:51.000000000,knittingalone
27,0 days 00:07:02.000000000,dralmavillegas
29,0 days 00:07:59.000000000,News__La
30,0 days 00:08:08.000000000,DaniKuhn5
31,0 days 00:08:15.000000000,_Makada_
32,0 days 00:08:33.000000000,CiciGtz
33,0 days 00:09:07.000000000,dallashoot
34,0 days 00:10:04.000000000,spaldze
36,0 days 00:11:41.000000000,si46647199
37,0 days 00:12:08.000000000,HonestlyTrump
38,0 days 00:12:10.000000000,lush_cmte
39,0 days 00:13:06.000000000,randall_hill75
41,0 days 00:13:57.000000000,goawayitsnotme
42,0 days 00:15:23.000000000,chrisbentley13
44,0 days 00:17:53.000000000,krissykocca
45,0 days 00:18:02.000000000,raidermike5569
46,0 days 00:19:19.000000000,LynnMoo36681123
47,0 days 00:22:11.000000000,gynarchyrules
48,0 days 00:22:32.000000000,castruita_c
50,0 days 00:23:00.000000000,EdmondDontez144
51,0 days 00:23:05.000000000,TheSugarStudioC
52,0 days 00:23:53.000000000,sonparabailar
53,0 days 00:24:22.000000000,redsonic17
55,0 days 00:24:34.000000000,MannieMforever
57,0 days 00:25:37.000000000,CarynBark
58,0 days 00:25:55.000000000,a1ngot8r
59,0 days 00:26:04.000000000,jay_256
62,0 days 00:27:19.000000000,CatsMeow2222
63,0 days 00:27:24.000000000,ErinMOD
64,0 days 00:27:38.000000000,PunkiBrenda
66,0 days 00:28:37.000000000,DmcpartlDavid
68,0 days 00:29:18.000000000,marykathleendo2
72,0 days 00:30:11.000000000,pearljam227
73,0 days 00:30:39.000000000,BarryKathyJ
74,0 days 00:30:45.000000000,dailycosmic
75,0 days 00:30:59.000000000,mishayah
76,0 days 00:31:07.000000000,sherry_kerdman
