Time Difference,Retweet Count
00:00:07,1
00:00:07,1
00:00:08,2
00:00:13,2
00:00:13,3
00:00:13,5
00:00:14,4
00:00:15,6
00:00:15,6
00:00:16,8
00:00:16,1
00:00:17,5
00:00:17,16
00:00:18,12
00:00:18,14
00:00:18,14
00:00:18,7
00:00:20,3
00:00:20,23
00:00:21,4
00:00:23,22
00:00:23,11
00:00:24,25
00:00:24,19
00:00:25,34
00:00:27,7
00:00:30,15
00:00:30,31
00:00:30,9
00:00:30,11
00:00:31,16
00:00:32,37
00:00:32,17
00:00:34,40
00:00:34,18
00:00:35,39
00:00:35,39
00:00:37,58
00:00:39,44
00:00:39,44
00:00:39,5
00:00:40,9
00:00:43,67
00:00:46,55
00:00:46,71
00:00:46,25
00:00:46,27
00:00:47,29
00:00:48,74
00:00:51,12
00:00:53,60
00:00:54,69
00:00:55,17
00:00:56,11
00:00:56,71
00:00:56,72
00:00:56,61
00:00:57,14
00:00:58,77
00:00:58,12
00:00:59,16
00:00:59,25
00:00:59,34
00:01:00,79
00:01:00,26
00:01:01,80
00:01:01,66
00:01:02,82
00:01:02,35
00:01:04,38
00:01:04,29
00:01:05,23
00:01:05,82
00:01:06,83
00:01:07,4
00:01:09,32
00:01:11,93
00:01:12,103
00:01:15,96
00:01:16,43
00:01:16,92
00:01:16,109
00:01:19,22
00:01:20,100
00:01:20,52
00:01:23,4
00:01:23,30
00:01:29,53
00:01:30,104
00:01:30,8
00:01:30,22
00:01:32,107
00:01:32,108
00:01:33,56
00:01:35,114
00:01:36,115
00:01:37,42
00:01:38,26
00:01:38,119
00:01:39,59
00:01:40,62
00:01:43,58
00:01:43,60
00:01:45,64
00:01:45,60
00:01:46,126
00:01:46,44
00:01:46,149
00:01:47,128
00:01:47,130
00:01:48,30
00:01:52,145
00:01:52,145
00:01:55,141
00:01:56,140
00:01:56,140
00:01:56,65
00:01:57,49
00:01:58,39
00:01:59,38
00:01:59,73
00:02:00,41
00:02:01,42
00:02:02,40
00:02:02,147
00:02:02,29
00:02:06,149
00:02:07,71
00:02:08,189
00:02:09,152
00:02:10,154
00:02:11,157
00:02:13,159
00:02:15,50
00:02:15,161
00:02:15,82
00:02:19,166
00:02:19,197
00:02:21,169
00:02:22,164
00:02:23,170
00:02:24,172
00:02:25,168
00:02:25,169
00:02:25,205
00:02:27,176
00:02:27,91
00:02:28,179
00:02:28,50
00:02:30,65
00:02:30,66
00:02:31,67
00:02:31,17
00:02:32,68
00:02:32,89
00:02:34,90
00:02:34,180
00:02:36,72
00:02:36,190
00:02:36,215
00:02:37,95
00:02:38,66
00:02:38,237
00:02:39,75
00:02:41,56
00:02:42,199
00:02:43,187
00:02:44,202
00:02:44,70
00:02:46,191
00:02:47,208
00:02:49,210
00:02:49,210
00:02:51,55
00:02:56,218
00:02:56,252
00:02:57,219
00:02:57,220
00:02:58,222
00:02:59,90
00:02:59,202
00:02:59,256
00:03:00,61
00:03:01,259
00:03:02,102
00:03:04,207
00:03:05,105
00:03:06,209
00:03:07,231
00:03:08,83
00:03:08,110
00:03:09,95
00:03:11,237
00:03:13,107
00:03:13,15
00:03:14,239
00:03:14,99
00:03:15,240
00:03:15,241
00:03:16,244
00:03:18,109
00:03:18,267
00:03:19,101
00:03:21,103
00:03:21,224
00:03:21,116
00:03:22,248
00:03:22,37
00:03:26,16
00:03:27,254
00:03:27,120
00:03:28,255
00:03:28,69
00:03:28,38
00:03:30,91
00:03:32,260
00:03:33,261
00:03:34,93
00:03:34,94
00:03:35,111
