Time Difference,user.screen_name
0 days 00:00:13.000000000,theriseofgomez
0 days 00:00:56.000000000,mikehonsberger
0 days 00:01:19.000000000,sethreznik
0 days 00:01:38.000000000,215ProSports
0 days 00:01:48.000000000,one9oo6
0 days 00:01:58.000000000,lildg54
0 days 00:02:00.000000000,Brendan_Surrey
0 days 00:02:01.000000000,wiley_cyrus_
0 days 00:02:15.000000000,justcabello1997
0 days 00:02:30.000000000,sallamm446
0 days 00:02:30.000000000,BeccaR99
0 days 00:02:31.000000000,JHarriettha
0 days 00:02:32.000000000,ConnorSchell
0 days 00:02:36.000000000,jaron_vasquez
0 days 00:02:39.000000000,_Fuckingvega
0 days 00:02:59.000000000,Bullerdrengen
0 days 00:03:09.000000000,laisgoncalves2
0 days 00:03:19.000000000,theveezkneez8
0 days 00:03:21.000000000,KevinGFox
0 days 00:03:35.000000000,ismaellgarcia
0 days 00:03:41.000000000,TheRealTTownTim
0 days 00:03:41.000000000,amberahoy
0 days 00:03:41.000000000,PeterRandall
0 days 00:03:59.000000000,nyashanekutenda
0 days 00:04:17.000000000,Price1113
0 days 00:04:18.000000000,Sasha51950016
0 days 00:04:18.000000000,1hotyogamama
0 days 00:04:39.000000000,_mikestyle_
0 days 00:04:51.000000000,TrentJanezich
0 days 00:04:58.000000000,JakeScu11y
0 days 00:05:04.000000000,jasonbmerrill
0 days 00:05:22.000000000,JacqueButch
0 days 00:05:23.000000000,bluezazoo
0 days 00:05:31.000000000,Afifi___
0 days 00:05:38.000000000,gregorioseptimo
0 days 00:05:42.000000000,waynebarton1960
0 days 00:05:45.000000000,richandnena
0 days 00:05:49.000000000,Definitely_1D
0 days 00:05:52.000000000,NancySCaplan
0 days 00:06:13.000000000,collinstonya41
0 days 00:06:28.000000000,kalindasmall
0 days 00:06:34.000000000,fyte4urlyf
0 days 00:06:39.000000000,mocco9072
0 days 00:06:49.000000000,gublermueller
0 days 00:07:15.000000000,SugarGretel
0 days 00:07:37.000000000,GabitahMX
0 days 00:07:47.000000000,AbbyLaneReger
0 days 00:07:58.000000000,MeloKabir
0 days 00:08:13.000000000,SamyakSibasish
0 days 00:08:20.000000000,foreverthedream
0 days 00:08:20.000000000,briannawillson6
0 days 00:08:29.000000000,marayahonfiyahx
0 days 00:08:50.000000000,kass_alem21
0 days 00:08:51.000000000,Eagles_Lifer
0 days 00:09:03.000000000,naughtnatt_
0 days 00:09:19.000000000,cloudsara_
0 days 00:09:50.000000000,DuvinWine
0 days 00:10:02.000000000,ifuseekcinthia
0 days 00:10:37.000000000,MiniDan96
0 days 00:10:57.000000000,NicoleCLDay
0 days 00:11:11.000000000,oriontrr99
0 days 00:11:23.000000000,Carlyjc1
0 days 00:11:25.000000000,yungtrapbitch
0 days 00:11:27.000000000,jasminedanglay
0 days 00:11:38.000000000,ThePimpala
0 days 00:11:39.000000000,SlaveForGillies
0 days 00:12:25.000000000,MsNitaLove
0 days 00:13:00.000000000,WASAGOAT
0 days 00:13:05.000000000,ItsStephPhD
0 days 00:13:14.000000000,destbols
0 days 00:13:17.000000000,paintedparrot
0 days 00:13:30.000000000,Oh_Monsters
0 days 00:13:31.000000000,travisray10
0 days 00:13:54.000000000,infinityyella
0 days 00:14:02.000000000,tant1ne
0 days 00:14:05.000000000,BecketAI
0 days 00:14:21.000000000,morningstttr
0 days 00:14:33.000000000,ctk_tweets
0 days 00:14:56.000000000,bethlen6
0 days 00:14:58.000000000,AdtDo
0 days 00:15:03.000000000,BklynMiddleton
0 days 00:16:05.000000000,guptast1c
0 days 00:16:32.000000000,HardThotLife
0 days 00:16:48.000000000,tankney13
0 days 00:17:08.000000000,dinathedude
0 days 00:17:24.000000000,loveyourlight2
0 days 00:17:38.000000000,pillapriscllla
0 days 00:17:38.000000000,brittanyrenee99
0 days 00:17:43.000000000,scott_mccain_
0 days 00:18:34.000000000,greysbelike
0 days 00:19:01.000000000,iangarlick
0 days 00:19:07.000000000,Blowntech1
0 days 00:19:54.000000000,ConnorDetty
0 days 00:20:38.000000000,sharonadada
0 days 00:21:00.000000000,OhOkayRyan
0 days 00:21:01.000000000,bhendricks72013
0 days 00:21:56.000000000,IMI__Sensors
0 days 00:21:59.000000000,jill_jello1234
0 days 00:21:59.000000000,Pease_J
0 days 00:22:07.000000000,exit61music
0 days 00:22:13.000000000,Cyntastick1
0 days 00:22:15.000000000,MapleSyrupPod
0 days 00:22:22.000000000,DeetaPN4
0 days 00:22:32.000000000,KarinaCastllllo
0 days 00:23:04.000000000,sjayva
0 days 00:23:15.000000000,jk20142014
0 days 00:23:15.000000000,jackiemilli0n
0 days 00:23:27.000000000,aspenzzzz
0 days 00:23:36.000000000,GSVLLY
0 days 00:23:41.000000000,MlevlnBorrows
0 days 00:24:06.000000000,WadeWillsun
0 days 00:24:22.000000000,Cludent
0 days 00:24:32.000000000,ballasholker
0 days 00:24:46.000000000,xocynthiax2
0 days 00:25:07.000000000,sevenslide
0 days 00:25:28.000000000,BeLikeBritney
0 days 00:26:02.000000000,BrackenJG
0 days 00:26:16.000000000,jnsmith79
0 days 00:26:48.000000000,ffxv_prompto
0 days 00:27:00.000000000,abigail_sonora
0 days 00:27:03.000000000,LuxhoRdz
0 days 00:27:10.000000000,HedgeKnight84
0 days 00:27:18.000000000,Mike_Oxlonggg
0 days 00:28:06.000000000,gellmored
0 days 00:28:42.000000000,kamilaGemllang
0 days 00:28:49.000000000,DafyddJ
0 days 00:28:51.000000000,Reenieswine
0 days 00:28:52.000000000,TastyGrxnt332
0 days 00:29:12.000000000,bryanXmorales
0 days 00:29:13.000000000,mycharleee
0 days 00:29:16.000000000,__YonnieBell
0 days 00:29:30.000000000,AngelaLaurenM
0 days 00:29:54.000000000,Crewella
0 days 00:30:07.000000000,JGoods242
0 days 00:30:20.000000000,thevainaddict
0 days 00:30:22.000000000,magdalini_s
0 days 00:30:48.000000000,vinipoha
0 days 00:31:20.000000000,BangerzForAll
0 days 00:31:22.000000000,Mercapto_SL
0 days 00:32:00.000000000,JBrums27
0 days 00:32:24.000000000,MurkFlawz
0 days 00:33:23.000000000,schlongacre
0 days 00:33:59.000000000,RatchetJesus525
0 days 00:35:05.000000000,elisaaruizz
0 days 00:35:33.000000000,marieveebee
0 days 00:36:05.000000000,yokozunakyle
0 days 00:37:22.000000000,VivaLaTwix
0 days 00:37:24.000000000,Parentella
0 days 00:37:32.000000000,AOalphamale
0 days 00:37:43.000000000,Aldo_JR1995
0 days 00:37:58.000000000,Rachel_OLeary
0 days 00:38:34.000000000,Yuvkyy
0 days 00:38:34.000000000,GetD0wnIndy
0 days 00:40:01.000000000,DTA_MARKOEM
0 days 00:40:45.000000000,KERNDOGG82
0 days 00:41:05.000000000,warnett95
0 days 00:41:10.000000000,DJMadCrunk
0 days 00:41:20.000000000,krazikate
0 days 00:42:01.000000000,Phoebe_Darling
0 days 00:42:48.000000000,famicomputer
0 days 00:43:16.000000000,Tevo72
0 days 00:43:27.000000000,BriProulx
0 days 00:43:43.000000000,JaimieLovely
0 days 00:43:54.000000000,AWK1283
0 days 00:44:32.000000000,IAmChefDave
0 days 00:44:38.000000000,Das_Booot
0 days 00:45:13.000000000,anltacheatham
0 days 00:45:48.000000000,cheeriously
0 days 00:46:11.000000000,LeslyeMerida
0 days 00:46:31.000000000,AmandaHallson
0 days 00:46:39.000000000,BeallisBased
0 days 00:46:57.000000000,kimredskin
0 days 00:47:52.000000000,jamesthorpey
0 days 00:48:09.000000000,2Ddangerously
0 days 00:48:20.000000000,Lemony_world
0 days 00:48:24.000000000,DanWebster1111
0 days 00:49:23.000000000,smulligan31
0 days 00:49:31.000000000,smulligan31
0 days 00:50:11.000000000,luv_h3r
0 days 00:50:47.000000000,TheMadSpin
0 days 00:50:47.000000000,TinalouD
0 days 00:51:54.000000000,sadyah1234
0 days 00:51:58.000000000,super_smashed
0 days 00:52:06.000000000,Bito0228
0 days 00:53:10.000000000,Yanks_Nation
0 days 00:53:10.000000000,titansatemysoul
0 days 00:54:32.000000000,xoxo_auri
0 days 00:54:48.000000000,karenclarke2010
0 days 00:55:06.000000000,madeintheamy
0 days 00:56:20.000000000,Linamonte_19
0 days 00:57:30.000000000,mmesquita07
0 days 00:57:42.000000000,CiCi7773
0 days 00:57:53.000000000,SamSperlingg
0 days 00:58:31.000000000,joeltrapp
0 days 00:59:13.000000000,bjv4418
0 days 00:59:52.000000000,kaes_so
0 days 01:01:22.000000000,CandiceofCatan
0 days 01:01:45.000000000,DemarkusDickey
0 days 01:02:51.000000000,menhalladar
0 days 01:03:40.000000000,nolalove25
0 days 01:03:48.000000000,Olivia_Clapp
0 days 01:03:58.000000000,lornemaxwell
0 days 01:03:59.000000000,JeremyFrost_
0 days 01:04:10.000000000,HeatherJoyDixon
0 days 01:05:58.000000000,rmrbiggs1
0 days 01:06:00.000000000,i_am_mrs_jones
0 days 01:06:00.000000000,amazingheath
0 days 01:06:00.000000000,i_am_mrs_jones
0 days 01:06:11.000000000,LaVidaLomba
0 days 01:06:12.000000000,Juun_Kee
0 days 01:06:41.000000000,__babygirlinc
0 days 01:07:47.000000000,petrichorelixir
0 days 01:08:34.000000000,Matheus_Bel
0 days 01:08:54.000000000,StarLordSwanson
0 days 01:08:55.000000000,j_elam22
0 days 01:08:59.000000000,JackMayne4
0 days 01:10:03.000000000,bennylad15
0 days 01:10:23.000000000,Frankenyank
0 days 01:11:07.000000000,ntongerz
0 days 01:11:24.000000000,annawd84
0 days 01:11:27.000000000,LaurenPeachey
0 days 01:12:21.000000000,JBost21
0 days 01:12:30.000000000,gaadegoke
0 days 01:14:40.000000000,ChuckFinnn
0 days 01:16:15.000000000,jleeker23
0 days 01:16:27.000000000,joshjoyce68_
0 days 01:16:55.000000000,TriComStorm
0 days 01:17:26.000000000,WhosYourMady420
0 days 01:17:50.000000000,EJDiamond21
0 days 01:18:23.000000000,SWieneke21
0 days 01:19:01.000000000,Jaysgirlfandom
0 days 01:19:31.000000000,KylenFlyer13
0 days 01:20:21.000000000,ParkerBerry1
0 days 01:20:49.000000000,1BrittonMatt1
0 days 01:20:59.000000000,lisasuthy
0 days 01:22:08.000000000,huevos4321
0 days 01:22:09.000000000,Sunny6977
0 days 01:23:27.000000000,Jetal_Patel
0 days 01:24:27.000000000,redcup72
0 days 01:24:33.000000000,preenaidk
0 days 01:24:58.000000000,Romiiinax
0 days 01:25:27.000000000,GloriaGamori19
0 days 01:25:47.000000000,OmarMagana
0 days 01:26:04.000000000,syunjw
0 days 01:26:47.000000000,_eiszeit
0 days 01:26:55.000000000,TopBAMF
0 days 01:27:42.000000000,kendra_olson98
0 days 01:27:57.000000000,MattsonRae
0 days 01:28:12.000000000,kschiels
0 days 01:29:19.000000000,TommySailer
0 days 01:29:31.000000000,getm0dified
0 days 01:30:50.000000000,levongodfrey
0 days 01:30:51.000000000,meganholmes21
0 days 01:32:32.000000000,JFFitzsimmons
0 days 01:32:32.000000000,ajabs4258
0 days 01:32:37.000000000,Hcsanchez2
0 days 01:32:38.000000000,czull
0 days 01:32:39.000000000,_ImABigEffinDea
0 days 01:33:00.000000000,LewisAshley_
0 days 01:33:05.000000000,shanegavitt
0 days 01:33:09.000000000,picone12
0 days 01:34:08.000000000,taKE_MY_wRAth
0 days 01:34:08.000000000,MrIanAiken
0 days 01:34:37.000000000,queenhoneyv
0 days 01:34:58.000000000,HootieSmurf
0 days 01:35:17.000000000,robbmilford
0 days 01:36:28.000000000,AndrewRuste
0 days 01:38:47.000000000,Sddipiet
0 days 01:40:30.000000000,ElTina86
0 days 01:41:05.000000000,adamtquate
0 days 01:41:27.000000000,_deevine
0 days 01:41:34.000000000,FolushoLawall
0 days 01:42:10.000000000,jaspertubay
0 days 01:43:35.000000000,KGanten
0 days 01:44:05.000000000,oolawuyi_
0 days 01:44:48.000000000,r_romenesko
0 days 01:45:28.000000000,joedassaro
0 days 01:46:59.000000000,megan124yea
0 days 01:47:13.000000000,Krs3712
0 days 01:47:23.000000000,HockeyCAK
0 days 01:47:24.000000000,YANKEEMAN9
0 days 01:49:26.000000000,TheMadST0RK
0 days 01:51:24.000000000,Anabel_Hdz1
0 days 01:53:15.000000000,OhYouMaadHuh
0 days 01:56:59.000000000,kaydebabyy_
0 days 01:57:45.000000000,blackmold_
0 days 01:59:14.000000000,Lordoftheyeahh
0 days 01:59:17.000000000,_SalvatoreQueen
0 days 02:00:24.000000000,NotEvenHispanic
0 days 02:00:39.000000000,MissCooki3
0 days 02:01:19.000000000,love4smoldy
0 days 02:01:21.000000000,X_I_V_I
0 days 02:02:37.000000000,Sam_wazorko
0 days 02:03:04.000000000,Vanney27
0 days 02:03:52.000000000,lilyramj
0 days 02:04:05.000000000,eugenieINABOTTO
0 days 02:04:39.000000000,christnenickell
0 days 02:05:29.000000000,SerenaaaaR
0 days 02:07:05.000000000,aoifewhitexox
0 days 02:07:14.000000000,JSRockyAnderson
0 days 02:08:03.000000000,Louella_W
0 days 02:08:08.000000000,courtneyymcrain
0 days 02:08:29.000000000,__sherylle
0 days 02:09:11.000000000,thcxpcp
0 days 02:09:38.000000000,Niko_Jerry
0 days 02:10:25.000000000,thisisnotmeg
0 days 02:10:29.000000000,jayservo
0 days 02:12:24.000000000,peonyturd
0 days 02:12:25.000000000,DanielSMurphy
0 days 02:14:51.000000000,craigp18964
0 days 02:16:17.000000000,charissegibsonx
0 days 02:16:34.000000000,antking53
0 days 02:17:18.000000000,cjay_clarke
