Time Difference,Retweet Count
00:00:13,1
00:00:33,3
00:00:33,4
00:00:42,6
00:00:44,7
00:00:49,8
00:00:52,9
00:00:53,10
00:00:57,12
00:01:00,13
00:01:01,14
00:01:04,15
00:01:04,16
00:01:05,17
00:01:07,18
00:01:07,19
00:01:15,20
00:01:18,21
00:01:21,23
00:01:39,27
00:01:45,28
00:01:50,31
00:01:51,32
00:01:55,33
00:01:57,34
00:01:57,35
00:01:57,37
00:01:58,39
00:02:04,42
00:02:05,43
00:02:06,44
00:02:08,45
00:02:09,46
00:02:10,47
00:02:13,48
00:02:14,49
00:02:15,51
00:02:16,52
00:02:19,53
00:02:19,54
00:02:20,55
00:02:20,56
00:02:21,57
00:02:22,58
00:02:22,58
00:02:23,59
00:02:23,59
00:02:25,61
00:02:25,62
00:02:26,63
00:02:27,63
00:02:28,64
00:02:33,69
00:02:34,70
00:02:35,71
00:02:36,73
00:02:39,76
00:02:39,77
00:02:41,78
00:02:41,79
00:02:42,80
00:02:46,81
00:02:49,82
00:02:50,83
00:02:52,84
00:02:53,85
00:02:55,86
00:02:56,86
00:02:57,88
00:02:57,89
00:03:08,94
00:03:10,96
00:03:13,97
00:03:14,98
00:03:16,99
00:03:23,104
00:03:23,104
00:03:28,106
00:03:28,107
00:03:29,108
00:03:31,109
00:03:33,110
00:03:35,112
00:03:38,113
00:03:38,114
00:03:48,119
00:03:51,121
00:03:53,122
00:04:00,125
00:04:00,126
00:04:00,127
00:04:01,128
00:04:01,128
00:04:03,131
00:04:03,132
00:04:03,133
00:04:04,134
00:04:04,134
00:04:05,136
00:04:05,137
00:04:06,138
00:04:07,139
00:04:07,140
00:04:08,141
00:04:12,142
00:04:15,143
00:04:16,144
00:04:17,146
00:04:18,147
00:04:22,150
00:04:44,152
00:04:47,155
00:04:50,156
00:04:57,158
00:05:01,160
00:05:07,162
00:05:12,163
00:05:17,164
00:05:21,165
00:05:21,166
00:05:24,170
00:05:25,171
00:05:27,173
00:05:27,174
00:05:30,175
00:05:34,177
00:05:34,178
00:05:34,178
00:05:35,180
00:05:35,181
00:05:36,182
00:05:40,184
00:05:40,185
00:05:42,187
00:05:47,190
00:05:48,191
00:05:50,193
00:05:51,194
00:05:53,196
00:05:54,197
00:05:57,199
00:06:00,200
00:06:10,202
00:06:11,203
00:06:11,204
00:06:28,207
00:06:29,209
00:06:29,210
00:06:31,211
00:06:32,212
00:06:35,214
00:06:42,216
00:06:48,217
00:06:53,220
00:06:55,221
00:06:57,222
00:06:59,224
00:07:08,225
00:07:10,226
00:07:12,227
00:07:15,229
00:07:16,230
00:07:17,231
00:07:19,234
00:07:26,236
00:07:30,237
00:07:30,238
00:07:33,240
00:07:33,239
00:07:37,242
00:07:38,243
00:07:41,244
00:07:44,245
00:07:46,247
00:07:54,250
00:08:01,252
00:08:02,253
00:08:02,253
00:08:06,256
00:08:06,257
00:08:08,258
00:08:11,259
00:08:12,260
00:08:13,261
00:08:18,263
00:08:19,264
00:08:21,268
00:08:26,269
00:08:27,270
00:08:29,271
00:08:29,273
00:08:33,274
00:08:33,275
00:08:35,276
00:08:35,277
00:08:37,278
00:08:39,279
00:08:43,280
00:08:43,281
00:08:49,282
00:08:49,283
00:08:57,286
00:08:59,287
00:09:00,288
00:09:00,288
00:09:01,290
00:09:04,292
00:09:12,293
00:09:12,294
00:09:14,296
00:09:14,296
00:09:14,296
00:09:16,299
00:09:24,301
00:09:24,302
00:09:27,303
00:09:30,304
00:09:34,305
00:09:36,306
00:09:59,309
00:10:02,310
00:10:07,312
00:10:12,313
00:10:15,314
00:10:15,315
00:10:21,316
00:10:22,317
00:10:26,318
00:10:28,319
00:10:28,320
00:10:37,321
00:10:40,323
00:10:42,325
00:10:43,327
00:10:44,328
00:10:44,329
00:10:48,330
00:10:50,330
00:10:51,331
00:10:56,333
00:11:00,335
00:11:11,336
