Time Difference,Retweet Count
00:02:10,33
00:02:26,40
00:09:13,152
00:13:17,205
00:14:50,230
00:16:22,266
00:21:47,341
00:30:04,438
00:32:31,453
02:24:05,768
02:30:30,782
02:49:46,813
03:01:49,839
03:30:35,879
03:59:59,922
05:00:48,1037
00:00:48,40
00:01:07,82
00:01:20,114
00:01:49,153
00:02:54,229
00:05:40,368
00:05:55,379
00:06:15,394
00:06:20,399
00:09:15,510
00:12:08,606
00:13:54,660
00:15:08,697
00:15:29,716
00:17:09,775
00:18:50,817
00:23:06,909
00:25:25,964
00:25:42,971
00:26:30,982
00:27:36,1002
00:28:14,1022
00:28:42,1033
00:36:38,1140
00:41:22,1218
00:48:46,1306
00:48:46,1307
00:51:07,1336
00:59:08,1423
01:02:59,1463
01:09:10,1512
01:11:13,1526
01:11:21,1528
01:12:45,1549
01:14:52,1569
01:18:44,1602
01:21:18,1621
01:25:05,1650
01:34:29,1712
01:42:45,1766
01:46:53,1794
01:50:17,1836
02:05:16,2014
02:06:15,2026
02:08:02,2039
02:10:48,2056
02:12:02,2063
02:37:59,2216
02:49:52,2292
04:19:09,2374
05:23:31,2402
05:35:32,2400
00:01:00,77
00:01:26,114
00:04:10,329
00:06:33,513
00:08:10,621
00:08:42,659
00:08:46,666
00:11:00,852
00:11:11,868
00:12:42,984
00:13:33,1049
00:13:59,1082
00:14:05,1090
00:15:16,1191
00:18:45,1414
00:25:08,1682
00:29:36,1810
00:32:49,1927
00:33:58,1960
00:49:54,2400
00:52:11,2457
00:54:32,2520
01:01:43,2694
01:08:40,2837
01:12:08,2890
01:15:16,2936
01:33:12,3205
01:57:55,3462
02:06:16,3525
02:08:45,3543
02:17:22,3621
02:19:28,3635
02:24:54,3680
02:33:53,3750
02:35:10,3761
02:35:13,3762
02:37:20,3773
02:43:58,3813
03:40:04,4082
03:53:18,4134
04:02:48,4165
04:40:26,4271
04:41:22,4276
05:07:20,4369
05:27:36,4415
05:31:32,4430
00:02:46,22
00:03:43,44
00:05:27,99
00:05:56,122
00:10:11,243
00:11:34,281
00:13:25,346
00:13:30,347
00:17:29,448
00:23:24,576
00:27:51,620
00:29:50,653
00:40:19,768
00:43:57,801
00:55:49,874
01:27:00,991
01:36:23,1020
02:08:25,1090
02:27:01,1140
02:56:48,1194
02:57:46,1196
03:15:17,1211
03:44:24,1236
00:03:06,39
00:08:34,268
00:08:43,271
00:09:10,287
00:09:21,301
00:11:23,390
00:11:39,403
00:12:35,437
00:14:37,513
00:15:16,527
00:16:42,539
00:18:11,565
00:19:24,589
00:20:23,615
00:22:57,672
00:28:51,758
00:31:02,780
00:31:07,781
00:32:30,799
00:39:07,846
01:43:43,1062
01:55:45,1092
01:57:50,1094
04:02:12,1264
00:00:45,6
00:01:03,25
00:02:08,53
00:02:13,56
00:03:46,109
00:04:35,140
00:05:41,170
00:05:48,173
00:06:27,193
00:06:33,196
00:10:44,304
00:12:48,342
00:13:58,356
00:16:50,400
00:21:29,452
00:22:47,462
00:25:11,489
00:26:32,509
00:36:07,606
00:43:39,656
01:10:49,801
01:13:48,817
02:24:50,1105
02:29:28,1138
02:32:01,1148
02:32:38,1152
02:36:48,1174
02:41:29,1202
02:41:57,1207
02:42:06,1209
02:50:35,1256
02:54:14,1275
03:13:50,1333
03:18:22,1346
03:19:33,1353
03:20:14,1359
03:20:16,1360
03:35:15,1408
03:38:01,1414
03:38:07,1415
03:43:47,1438
04:12:48,1487
04:26:13,1507
04:43:16,1524
04:43:25,1525
00:00:17,16
00:00:18,17
00:00:25,27
00:00:29,33
00:00:31,37
00:01:10,53
00:01:24,61
00:01:29,67
00:01:33,69
00:01:42,73
00:01:44,76
00:01:55,85
00:02:51,124
00:03:09,136
00:03:13,142
00:04:45,207
00:05:56,246
00:08:51,312
00:09:06,319
00:10:03,347
00:10:17,356
00:11:23,393
00:11:51,409
00:12:01,415
00:14:42,492
00:15:28,508
00:15:44,515
00:16:39,533
00:17:06,543
00:18:04,546
00:20:38,591
00:23:10,630
00:24:11,648
00:25:51,671
00:26:27,677
00:27:04,690
00:27:47,704
00:28:22,714
00:30:13,746
00:30:30,750
00:35:59,796
00:36:38,806
00:40:30,830
00:40:42,833
00:41:26,841
00:45:46,861
00:47:39,874
00:56:44,915
01:06:33,946
01:15:50,980
01:47:01,1088
01:51:47,1102
01:59:30,1122
02:05:49,1136
