Time Difference,user.screen_name
0 days 00:02:10.000000000,labour_zone
0 days 00:13:17.000000000,AhouaouMustapha
0 days 00:14:50.000000000,Eve_Talling
0 days 00:30:04.000000000,EnerziKo
0 days 00:32:31.000000000,WadNEne
0 days 03:30:35.000000000,BobbieBuchanan1
0 days 03:59:59.000000000,brianed4
0 days 00:01:20.000000000,OhioRod
0 days 00:01:49.000000000,adrianabanana13
0 days 00:05:40.000000000,plumbcat
0 days 00:05:55.000000000,crazydudestore
0 days 00:06:15.000000000,robertoc33
0 days 00:06:20.000000000,MarkBusching
0 days 00:13:54.000000000,CizocDref
0 days 00:15:29.000000000,Cin_Reds_Fan
0 days 00:18:50.000000000,Epic_Phiter
0 days 00:23:06.000000000,contests2016
0 days 00:25:25.000000000,Chaseberry_10
0 days 00:25:42.000000000,jkkohio
0 days 00:26:30.000000000,tyler_perry
0 days 00:27:36.000000000,LuckBeALady777
0 days 00:41:22.000000000,vegamip
0 days 00:48:46.000000000,MartyBechtold
0 days 00:48:46.000000000,xblChew
0 days 00:59:08.000000000,Jbut7206
0 days 01:11:21.000000000,wvuspencer_
0 days 01:12:45.000000000,Heckmam_14
0 days 01:25:05.000000000,lovetowinstuff
0 days 01:46:53.000000000,massiou1981
0 days 01:50:17.000000000,llegopapaoaphim
0 days 02:05:16.000000000,sarah_boykin
0 days 02:06:15.000000000,fococlone
0 days 02:08:02.000000000,datdudejdub2018
0 days 02:49:52.000000000,PaulCaudill2A
0 days 04:19:09.000000000,Jackson_W7
0 days 00:01:26.000000000,shamelesslams
0 days 00:06:33.000000000,EzUrbanLogic
0 days 00:08:46.000000000,OfficialYMF
0 days 00:11:00.000000000,ShannaEatBanana
0 days 00:11:11.000000000,Trich1228
0 days 00:12:42.000000000,thelostangel35
0 days 00:14:05.000000000,JeanneBourgault
0 days 00:15:16.000000000,MobiusMalik
0 days 00:25:08.000000000,themandaweir
0 days 00:29:36.000000000,shlbywt
0 days 00:54:32.000000000,jorgenunez
0 days 01:15:16.000000000,shangrila002
0 days 01:33:12.000000000,Kathy555Kathy
0 days 02:19:28.000000000,andy27986728
0 days 02:35:10.000000000,tanhaoChicago
0 days 03:40:04.000000000,Q1ller
0 days 04:02:48.000000000,KarenLConnell
0 days 05:07:20.000000000,socal1397
0 days 05:31:32.000000000,traci_maslanka
0 days 00:02:46.000000000,nelsondiazmoch
0 days 00:11:34.000000000,zainsuleman1128
0 days 00:23:24.000000000,tyvickie22
0 days 00:40:19.000000000,AbdullahSaleeem
0 days 02:27:01.000000000,ac12_0307
0 days 02:56:48.000000000,BenLondon44
0 days 02:57:46.000000000,ivangutie
0 days 00:09:10.000000000,paulinaap98
0 days 00:16:42.000000000,katsclaryfray
0 days 00:19:24.000000000,ecampo12
0 days 00:20:23.000000000,htx_angelina
0 days 00:00:45.000000000,blessfuljdb
0 days 00:02:08.000000000,TimGodsey7
0 days 00:05:41.000000000,carlo_ivan22
0 days 00:05:48.000000000,AnaisLeskovar
0 days 00:16:50.000000000,zaxhaiqal
0 days 00:26:32.000000000,s_dneyd
0 days 00:36:07.000000000,WiseCat_11
0 days 01:10:49.000000000,SoDamnTruueee
0 days 02:24:50.000000000,AstralisGHG
0 days 02:29:28.000000000,Thomas_Ermisch
0 days 02:41:29.000000000,exoticniko00
0 days 02:50:35.000000000,Wendytjehhh
0 days 03:13:50.000000000,faustschlaq
0 days 03:19:33.000000000,marlonduckd
0 days 03:20:16.000000000,gilspauline
0 days 03:38:07.000000000,triestmari
0 days 04:12:48.000000000,bauer_mika
0 days 04:43:16.000000000,BKaterbau
0 days 00:00:18.000000000,Fernand47059842
0 days 00:00:25.000000000,ConnorFairclou4
0 days 00:00:31.000000000,gabepro19
0 days 00:01:24.000000000,MotivateGG
0 days 00:01:29.000000000,WWELiveComment
0 days 00:01:33.000000000,EnzymeCustom
0 days 00:01:44.000000000,MysticDapper
0 days 00:02:51.000000000,Donnawescott2
0 days 00:03:13.000000000,hadrothefirst
0 days 00:10:03.000000000,black_ohi
0 days 00:11:23.000000000,_Nastia_B
0 days 00:11:51.000000000,Yeongilife
0 days 00:12:01.000000000,E_Torres97
0 days 00:16:39.000000000,voiletsareblue
0 days 00:17:06.000000000,minnies_bakery
0 days 00:20:38.000000000,Jen_N_Russ
0 days 00:24:11.000000000,FootBallAtic13
0 days 00:27:47.000000000,bridgettlthomp
0 days 00:30:13.000000000,JunaidSegun2
0 days 00:36:38.000000000,CoghillKacey
0 days 00:40:30.000000000,metropolis2
0 days 00:41:26.000000000,drakeadmin
0 days 00:47:39.000000000,darrell_dls
0 days 00:56:44.000000000,woodstock_dave
0 days 01:15:50.000000000,J_e_r_e_m_y_V
0 days 01:47:01.000000000,liamT625
0 days 01:51:47.000000000,pyckynn
0 days 02:05:49.000000000,604_9705
