,Time Difference,user.screen_name
47,0 days 00:00:15.000000000,mikedahlen
49,0 days 00:00:15.000000000,DarkShard_
65,0 days 00:00:16.000000000,APaezT
70,0 days 00:00:17.000000000,ritfortat
92,0 days 00:00:18.000000000,RobotCockatoo
99,0 days 00:00:19.000000000,ReadyBasher01
103,0 days 00:00:19.000000000,jpizzle569
108,0 days 00:00:19.000000000,gillaman21
124,0 days 00:00:20.000000000,miamiblackatl
140,0 days 00:00:21.000000000,defernandez
150,0 days 00:00:21.000000000,ayushdg
173,0 days 00:00:22.000000000,whatthewillus
179,0 days 00:00:22.000000000,Uffie360
188,0 days 00:00:23.000000000,Liimero
192,0 days 00:00:23.000000000,007Antonm
211,0 days 00:00:24.000000000,JDverster16
218,0 days 00:00:24.000000000,Lepa911
219,0 days 00:00:24.000000000,OscarOropeza7
232,0 days 00:00:25.000000000,Rudbacken
233,0 days 00:00:25.000000000,varunjajala
235,0 days 00:00:25.000000000,agamms10
246,0 days 00:00:25.000000000,Edward_Pellew
266,0 days 00:00:26.000000000,MarcoGadotti
267,0 days 00:00:27.000000000,MalcolmTCat
278,0 days 00:00:27.000000000,rurre17
281,0 days 00:00:27.000000000,mitran__
286,0 days 00:00:27.000000000,Tsmitty223
288,0 days 00:00:28.000000000,elijahprice11
302,0 days 00:00:28.000000000,AaronNarwhon
331,0 days 00:00:29.000000000,suhitbaxi
339,0 days 00:00:30.000000000,jlopez1698
343,0 days 00:00:21.000000000,ayushdg
353,0 days 00:00:30.000000000,Rithdor73
356,0 days 00:00:30.000000000,Niss187
362,0 days 00:00:31.000000000,syedbdusa
364,0 days 00:00:31.000000000,igorekdrug
365,0 days 00:00:31.000000000,harshav59369022
373,0 days 00:00:29.000000000,R_Y_O_M_V
374,0 days 00:00:32.000000000,JZoze
381,0 days 00:00:32.000000000,Banzhie
394,0 days 00:00:33.000000000,MolenaarVincent
397,0 days 00:00:33.000000000,chrispens4
410,0 days 00:00:33.000000000,ConorWalton_
411,0 days 00:00:34.000000000,akshaykumar2806
420,0 days 00:00:34.000000000,britishbornA
427,0 days 00:00:34.000000000,matti_on_ice
431,0 days 00:00:34.000000000,vunica4real
440,0 days 00:00:35.000000000,tonytrujillo
442,0 days 00:00:35.000000000,_JackLanglois
456,0 days 00:00:36.000000000,DavenFerranco
474,0 days 00:00:37.000000000,FightingPanda19
484,0 days 00:00:37.000000000,fandersonmaciel
489,0 days 00:00:37.000000000,HD460
492,0 days 00:00:37.000000000,shanshajith
526,0 days 00:00:39.000000000,pvan85
531,0 days 00:00:39.000000000,drjays70
537,0 days 00:00:40.000000000,AadilZaki07
539,0 days 00:00:40.000000000,bal_aran
543,0 days 00:00:40.000000000,havgrimur
597,0 days 00:00:43.000000000,faheemnadeem
615,0 days 00:00:45.000000000,Dr_Nathan_G
618,0 days 00:00:45.000000000,zmbhntr45
623,0 days 00:00:45.000000000,ratsyknuf22
630,0 days 00:00:46.000000000,JoelWahlqvist
642,0 days 00:00:46.000000000,CrutchleyLuke
661,0 days 00:00:47.000000000,Pharanite
682,0 days 00:00:49.000000000,FertichJosef
691,0 days 00:00:50.000000000,SpunkyTheCat1
715,0 days 00:00:52.000000000,Mattnuttall18
722,0 days 00:00:52.000000000,JoeFarr22002824
737,0 days 00:00:53.000000000,chimmoes
745,0 days 00:00:54.000000000,BoatengNY
765,0 days 00:00:56.000000000,Marsbenit
768,0 days 00:00:56.000000000,ryanosaurus03
785,0 days 00:00:58.000000000,SamratJinagouda
790,0 days 00:00:58.000000000,hussam_amoody
800,0 days 00:00:59.000000000,zez1992
817,0 days 00:01:01.000000000,leonwolf77
843,0 days 00:01:03.000000000,alex_yunda
844,0 days 00:01:03.000000000,ActualRyan_
858,0 days 00:01:04.000000000,YoeranS
859,0 days 00:01:04.000000000,Bhins_
869,0 days 00:01:05.000000000,ExplainDesign
892,0 days 00:01:07.000000000,Chnc
902,0 days 00:01:07.000000000,ruchitdesai92
903,0 days 00:01:07.000000000,RamKondaveeti
911,0 days 00:01:09.000000000,prccinko
929,0 days 00:01:10.000000000,andrei_micsa
930,0 days 00:01:05.000000000,HabballO
966,0 days 00:01:14.000000000,kwiatkowski00
967,0 days 00:01:14.000000000,mohamedn_nasser
972,0 days 00:01:15.000000000,ChalissaLove
985,0 days 00:01:17.000000000,antonis_bal
992,0 days 00:01:17.000000000,AminImran95
998,0 days 00:01:18.000000000,obesegorilla
1007,0 days 00:01:19.000000000,IamDS96
1010,0 days 00:01:19.000000000,santoshgongala
1013,0 days 00:01:19.000000000,charliedeane1
1015,0 days 00:01:20.000000000,CreepMania_
1023,0 days 00:01:20.000000000,nickv1098
1027,0 days 00:01:21.000000000,mriduljerath
1040,0 days 00:01:22.000000000,andybaughmanart
1049,0 days 00:01:23.000000000,crankdrop
1071,0 days 00:01:25.000000000,DexterQiii
1117,0 days 00:01:30.000000000,Javierlb97
1126,0 days 00:01:31.000000000,JaksonKallioUMD
1149,0 days 00:01:34.000000000,2005EZ296
1157,0 days 00:01:35.000000000,Th3SkyKing
1168,0 days 00:01:36.000000000,gamergeorgeno1
1171,0 days 00:01:37.000000000,kevmaar
1176,0 days 00:01:38.000000000,jesus_9r
1178,0 days 00:01:38.000000000,storedjd
1202,0 days 00:01:41.000000000,StripedWolf16
1204,0 days 00:01:41.000000000,SamuelYerkes
1209,0 days 00:01:42.000000000,nimitsethi
1221,0 days 00:01:43.000000000,loyo12
