,Time Difference,user.screen_name
2,0 days 00:00:08.000000000,DonVegito
7,0 days 00:00:11.000000000,henrysbigbeard
11,0 days 00:00:11.000000000,QuentiinCarlier
15,0 days 00:00:12.000000000,gmor32
19,0 days 00:00:12.000000000,waqastweeteth
24,0 days 00:00:13.000000000,brayden_pond
29,0 days 00:00:13.000000000,UNhipandUNfunny
42,0 days 00:00:15.000000000,RikEskes
46,0 days 00:00:15.000000000,victorvansande
51,0 days 00:00:16.000000000,namgniw
63,0 days 00:00:16.000000000,Siul789
75,0 days 00:00:17.000000000,Gr33n_Giant_
84,0 days 00:00:18.000000000,Pelkeyyyy
87,0 days 00:00:18.000000000,iRateVII
89,0 days 00:00:18.000000000,MuscularLeaf
111,0 days 00:00:19.000000000,AlexFromHabbo
112,0 days 00:00:19.000000000,RITESH_RV
118,0 days 00:00:20.000000000,ricardovector1
121,0 days 00:00:20.000000000,paul_bisal
143,0 days 00:00:21.000000000,incredibleAero
144,0 days 00:00:21.000000000,iraloyola21
157,0 days 00:00:21.000000000,DaleySpear
158,0 days 00:00:21.000000000,KidsaN_d
165,0 days 00:00:22.000000000,will_taylor1310
168,0 days 00:00:22.000000000,detcyber
171,0 days 00:00:22.000000000,persicko
180,0 days 00:00:22.000000000,krsjoseph
220,0 days 00:00:24.000000000,montezwalk
223,0 days 00:00:25.000000000,molnarbotond002
237,0 days 00:00:25.000000000,Pinomiliano
241,0 days 00:00:25.000000000,Samatar_Ahmed
252,0 days 00:00:26.000000000,Chikichumba
287,0 days 00:00:28.000000000,quotas_
300,0 days 00:00:28.000000000,ayushsharma95
305,0 days 00:00:28.000000000,abdullahkm2000
321,0 days 00:00:29.000000000,SystemOberload
338,0 days 00:00:29.000000000,BryceBestYT
345,0 days 00:00:30.000000000,CloudedJungle
352,0 days 00:00:30.000000000,alxclrk
367,0 days 00:00:24.000000000,hisyamstark
368,0 days 00:00:30.000000000,vrtul_locc
376,0 days 00:00:32.000000000,pinguj97
377,0 days 00:00:32.000000000,Crispy_Moments
386,0 days 00:00:32.000000000,OwenG24G
393,0 days 00:00:33.000000000,JamesKeirnan
398,0 days 00:00:33.000000000,TheRoyalJake
402,0 days 00:00:33.000000000,Wazi_Rafid
409,0 days 00:00:33.000000000,ANRLandwehr
413,0 days 00:00:34.000000000,hadorhuorn
417,0 days 00:00:34.000000000,BatisteErdmann
422,0 days 00:00:34.000000000,ragz92
430,0 days 00:00:34.000000000,JonHakon02
453,0 days 00:00:35.000000000,HDJ_Drifter
457,0 days 00:00:36.000000000,chrisdkim7
469,0 days 00:00:36.000000000,GavinMcRaven
488,0 days 00:00:37.000000000,DroidMelon
494,0 days 00:00:37.000000000,TehGamersCreed
495,0 days 00:00:38.000000000,Torsopher
515,0 days 00:00:38.000000000,cydranic
517,0 days 00:00:39.000000000,CorbinBecker
525,0 days 00:00:39.000000000,Toby_Dev_Drane
533,0 days 00:00:39.000000000,ChelseaaFrown
557,0 days 00:00:41.000000000,doesntsingh
568,0 days 00:00:41.000000000,TruMarley89
580,0 days 00:00:42.000000000,j_jsam
