,Time Difference,user.screen_name
0,,MKBHD
1,0 days 00:00:07.000000000,BackwardsFlow
3,0 days 00:00:09.000000000,temepartanen
4,0 days 00:00:09.000000000,Dashing_NYK
5,0 days 00:00:10.000000000,ayrtoneme
6,0 days 00:00:11.000000000,flapjack21
8,0 days 00:00:11.000000000,NBT88YT
9,0 days 00:00:11.000000000,SayoJoYT
10,0 days 00:00:11.000000000,Fooolformendes
12,0 days 00:00:11.000000000,fervidcomic
13,0 days 00:00:11.000000000,davidmeier3
14,0 days 00:00:12.000000000,nanoxd
16,0 days 00:00:11.000000000,keyawnce
17,0 days 00:00:12.000000000,wintobi
18,0 days 00:00:12.000000000,adnano7
20,0 days 00:00:12.000000000,j_musters
21,0 days 00:00:13.000000000,pitttman90
22,0 days 00:00:13.000000000,jrabascal32
23,0 days 00:00:13.000000000,embay34
25,0 days 00:00:13.000000000,Jus2Run
26,0 days 00:00:13.000000000,ShekharVlogs
27,0 days 00:00:13.000000000,Saifudalhat
28,0 days 00:00:13.000000000,notchrispy
30,0 days 00:00:14.000000000,Brandomonium91
31,0 days 00:00:14.000000000,JoelDScout
32,0 days 00:00:14.000000000,Weybiss
33,0 days 00:00:14.000000000,MMoaaz
34,0 days 00:00:14.000000000,hungjui3
35,0 days 00:00:14.000000000,zanitie23
36,0 days 00:00:12.000000000,nanoxd
37,0 days 00:00:14.000000000,Jaro876
38,0 days 00:00:14.000000000,kevthekrazy
39,0 days 00:00:15.000000000,TheBasedGosh
40,0 days 00:00:15.000000000,makoosh
41,0 days 00:00:15.000000000,_AlphaZulu_
43,0 days 00:00:15.000000000,famous47
44,0 days 00:00:15.000000000,Alphachruch
45,0 days 00:00:15.000000000,gandhiavishal
48,0 days 00:00:15.000000000,TrentWhetsel
50,0 days 00:00:15.000000000,ajlemm
53,0 days 00:00:16.000000000,VictorRundstrom
54,0 days 00:00:16.000000000,AliDabbir
55,0 days 00:00:16.000000000,mattURL
56,0 days 00:00:16.000000000,Delgadooo_
57,0 days 00:00:16.000000000,cervantesjc1007
59,0 days 00:00:16.000000000,AleMiragoli
60,0 days 00:00:16.000000000,TerrorSquad08
61,0 days 00:00:16.000000000,Dustin_Supreme
62,0 days 00:00:16.000000000,brycehck
64,0 days 00:00:16.000000000,aniket4182
66,0 days 00:00:16.000000000,_bp011
67,0 days 00:00:16.000000000,Mzr7_
68,0 days 00:00:16.000000000,thecolemosley
69,0 days 00:00:16.000000000,DanielCHillier
72,0 days 00:00:17.000000000,NawalAh82997281
73,0 days 00:00:17.000000000,_VinceDaPrincE_
74,0 days 00:00:17.000000000,parkrbrown
76,0 days 00:00:17.000000000,516efbe4b11d49b
77,0 days 00:00:17.000000000,cquallo
78,0 days 00:00:17.000000000,FrancisOmede
79,0 days 00:00:17.000000000,jaydogg691
80,0 days 00:00:17.000000000,kaihandberg
81,0 days 00:00:17.000000000,Abraham_Miguel
82,0 days 00:00:17.000000000,mmrkharmeelay
83,0 days 00:00:17.000000000,Roscopcoletrain
85,0 days 00:00:18.000000000,michaelasper
86,0 days 00:00:18.000000000,Bharat___Sharma
88,0 days 00:00:18.000000000,travisauruss
90,0 days 00:00:18.000000000,adamomac
91,0 days 00:00:18.000000000,JV34420
93,0 days 00:00:18.000000000,Bryant_Vuong
94,0 days 00:00:18.000000000,Alex_Olsson99
95,0 days 00:00:18.000000000,MMitchell119
96,0 days 00:00:18.000000000,thomas_pepall
97,0 days 00:00:19.000000000,jibincj
