Time Difference,Retweet Count
00:05:19,95
00:05:44,103
00:06:02,106
00:07:25,130
00:07:50,136
00:08:58,150
00:09:16,153
00:09:49,161
00:12:59,193
00:14:31,222
00:15:45,255
00:16:11,262
00:17:21,286
00:21:30,335
00:22:53,355
00:24:14,373
00:24:31,376
00:24:50,378
00:24:52,379
00:26:38,393
00:27:46,406
00:29:12,420
00:29:14,421
00:31:10,448
00:40:28,500
01:09:14,611
01:14:56,624
01:19:00,634
01:19:45,636
01:21:03,637
01:31:55,672
01:40:29,694
01:48:11,709
01:57:53,730
02:05:53,742
02:14:13,756
02:35:39,793
02:44:37,807
03:06:36,847
03:11:18,849
03:18:14,861
03:41:28,900
03:47:32,911
04:06:54,941
04:11:26,949
04:24:50,975
00:00:22,3
00:00:34,12
00:00:39,17
00:01:02,66
00:01:03,71
00:01:28,125
00:01:29,126
00:01:39,138
00:02:18,186
00:02:36,207
00:03:11,242
00:03:12,243
00:03:15,246
00:03:45,272
00:04:15,298
00:04:17,301
00:04:29,315
00:05:32,364
00:05:56,380
00:06:47,413
00:07:16,433
00:07:24,439
00:09:06,501
00:09:08,503
00:09:17,512
00:09:23,517
00:09:37,525
00:10:49,567
00:12:16,612
00:13:15,635
00:13:37,645
00:14:02,664
00:14:02,665
00:14:29,677
00:14:36,682
00:15:12,700
00:15:15,704
00:16:13,744
00:18:23,804
00:18:33,809
00:19:03,822
00:20:39,859
00:23:16,914
00:24:07,932
00:24:35,941
00:24:39,944
00:26:57,993
00:28:02,1016
00:28:15,1023
00:28:27,1028
00:29:55,1050
00:30:37,1060
00:31:00,1067
00:37:12,1145
00:40:03,1201
00:40:51,1210
00:40:55,1213
00:41:00,1215
00:45:07,1257
00:54:33,1378
00:54:52,1381
01:06:32,1491
01:08:06,1502
01:09:14,1514
01:11:05,1524
01:17:11,1591
01:20:14,1611
01:22:33,1627
01:22:42,1628
01:25:36,1653
01:29:20,1681
01:38:19,1743
01:43:33,1772
01:44:28,1780
01:44:46,1783
01:48:54,1806
01:49:41,1819
01:49:49,1823
01:50:36,1845
01:55:06,1914
02:13:12,2069
02:21:11,2120
02:28:17,2164
02:30:30,2179
02:31:25,2186
02:34:52,2208
02:47:22,2272
03:05:50,2308
05:08:40,2400
05:25:01,2404
00:00:40,38
00:00:49,51
00:00:50,56
00:00:56,68
00:01:01,80
00:01:02,81
00:01:03,84
00:01:05,88
00:01:16,101
00:01:31,124
00:01:32,124
00:01:39,137
00:01:57,165
00:02:14,190
00:02:17,192
00:02:44,232
00:02:49,240
00:02:53,246
00:03:11,267
00:03:21,275
00:03:27,281
00:03:51,308
00:04:01,322
00:04:20,342
00:04:27,352
00:04:47,385
00:04:49,387
00:04:53,392
00:05:03,410
00:05:39,448
00:06:05,474
00:06:14,488
00:06:17,494
00:06:30,511
00:06:52,536
00:07:19,559
00:07:41,590
00:08:27,637
00:08:30,641
00:08:36,652
00:08:46,666
00:08:51,674
00:09:40,758
00:09:47,765
00:10:03,788
00:10:13,797
00:10:18,808
00:11:35,901
00:12:00,926
00:12:07,935
00:12:14,943
00:12:18,952
00:12:37,975
00:12:33,969
00:12:45,990
00:12:49,995
00:13:33,1049
00:13:43,1061
00:13:44,1061
00:13:55,1074
00:13:57,1078
00:14:04,1089
00:14:06,1093
00:14:44,1139
00:14:50,1149
00:14:53,1154
00:14:56,1165
00:15:20,1198
00:15:20,1199
00:15:43,1223
00:15:51,1230
00:15:52,1232
00:15:52,1232
00:15:59,1245
00:16:13,1265
00:16:19,1273
00:16:23,1277
00:16:25,1280
00:17:15,1334
00:17:15,1334
00:17:21,1337
00:17:21,1337
00:18:02,1377
00:18:02,1377
00:18:13,1388
00:18:24,1402
00:18:41,1409
00:18:45,1413
