Time Difference,Retweet Count
0:00:18,4
0:00:38,10
0:00:45,13
0:00:54,16
0:01:04,19
0:01:10,21
0:01:21,22
0:01:30,24
0:01:35,25
0:02:01,30
0:02:09,32
0:02:10,34
0:02:14,35
0:02:23,38
0:02:46,43
0:02:59,47
0:03:01,48
0:03:03,49
0:03:04,50
0:03:21,55
0:03:39,58
0:03:47,62
0:03:49,63
0:04:05,67
0:04:15,71
0:04:23,76
0:04:23,77
0:04:42,81
0:04:43,82
0:04:46,83
0:05:10,90
0:05:15,92
0:05:16,93
0:05:32,99
0:05:36,101
0:05:44,104
0:06:10,110
0:06:21,113
0:06:35,118
0:06:44,119
0:06:46,120
0:06:56,123
0:07:06,126
0:07:14,128
0:07:21,129
0:07:41,134
0:07:47,135
0:07:54,138
0:08:13,140
0:08:38,147
0:08:41,148
0:09:19,154
0:10:53,172
0:11:29,176
0:11:41,177
0:12:02,180
0:12:18,184
0:12:30,187
0:12:32,188
0:13:02,195
0:13:08,199
0:13:08,199
0:13:17,204
0:13:18,206
0:13:27,207
0:13:42,209
0:13:47,213
0:13:49,214
0:13:54,216
0:13:54,216
0:13:58,216
0:14:05,218
0:14:12,219
0:14:13,220
0:14:34,223
0:14:59,232
0:15:03,234
0:15:23,241
0:15:25,242
0:15:27,243
0:15:30,244
0:15:37,246
0:15:37,246
0:15:41,251
0:15:45,255
0:15:57,257
0:16:11,260
0:16:27,268
0:16:27,269
0:16:33,273
0:17:05,280
0:17:06,281
0:18:30,293
0:19:04,297
0:18:52,294
0:19:09,299
0:19:19,302
0:19:38,305
0:20:21,315
0:20:21,314
0:20:27,318
0:21:02,328
0:21:16,332
0:21:19,333
0:21:37,338
0:21:40,339
0:21:46,340
0:21:48,342
0:22:28,349
0:22:50,354
0:23:11,358
0:23:34,363
0:24:03,371
0:24:14,374
0:24:30,374
0:24:30,374
0:26:00,385
0:26:17,387
0:26:18,388
0:26:23,389
0:27:01,395
0:27:07,397
0:27:11,399
0:27:12,401
0:27:33,405
0:28:06,411
0:28:08,412
0:28:18,415
0:29:28,422
0:29:35,425
0:29:38,426
0:29:43,428
0:29:48,430
0:30:06,439
0:30:25,443
0:32:11,452
0:32:56,456
0:33:24,458
0:33:59,460
0:34:07,461
0:34:14,462
0:34:46,464
0:35:30,471
0:35:47,473
0:36:48,474
0:37:27,478
0:37:31,479
0:38:02,483
0:38:40,486
0:39:25,491
0:40:10,496
0:40:18,498
0:40:26,499
0:41:05,504
0:41:27,506
0:41:31,507
0:41:35,508
0:41:57,511
0:43:20,516
0:44:01,523
0:44:06,524
0:44:32,527
0:44:41,530
0:45:11,531
0:45:20,533
0:45:50,537
0:46:52,541
0:47:45,544
0:48:36,550
0:48:54,552
0:49:06,554
0:49:37,560
0:49:38,561
0:49:49,562
0:51:08,567
0:51:09,568
0:52:07,571
0:53:52,575
0:55:06,581
0:55:52,582
0:57:07,585
0:58:10,588
0:58:42,590
0:58:44,591
1:01:17,595
1:01:54,596
1:02:05,598
1:04:27,603
1:04:52,605
1:07:23,608
1:07:52,609
1:08:15,610
1:09:29,613
1:10:39,616
1:10:43,617
1:14:45,622
1:14:50,623
1:16:10,627
1:16:16,628
1:18:18,633
1:26:23,652
1:28:07,658
1:29:37,662
1:31:49,671
1:33:05,676
1:33:07,677
1:35:06,680
1:38:20,688
1:41:40,697
1:41:56,698
1:42:01,699
1:45:04,701
1:46:18,703
1:47:28,706
1:49:49,712
1:49:49,713
1:52:38,719
1:57:36,729
1:58:36,732
2:00:01,734
2:04:52,741
2:11:06,752
2:17:16,758
2:19:12,762
2:20:15,763
2:25:03,769
2:29:49,779
2:31:03,784
2:32:20,786
2:35:36,792
2:36:07,794
2:37:09,796
2:39:45,800
2:40:43,802
2:42:14,805
2:42:29,805
2:48:16,810
2:49:32,812
2:50:14,814
2:51:35,818
2:53:24,819
2:54:44,825
2:55:47,826
2:58:29,832
2:58:51,834
3:01:37,838
3:02:42,842
3:03:43,843
3:04:05,844
3:08:04,847
3:11:47,850
3:14:55,855
3:18:42,864
3:19:49,868
3:25:42,875
3:29:41,878
3:31:52,880
3:33:21,883
3:35:42,890
3:38:52,895
3:39:04,896
3:42:25,903
3:45:48,906
3:45:58,907
3:48:36,912
3:59:04,920
4:01:31,925
4:03:27,929
4:03:29,930
4:05:18,937
4:08:54,946
4:11:59,951
4:19:03,964
4:20:59,967
4:21:21,968
4:22:35,971
4:24:56,976
4:27:15,982
4:30:02,989
4:32:39,994
4:35:49,1000
4:35:54,1001
4:36:37,1005
4:38:58,1010
4:40:39,1011
4:44:20,1018
4:46:22,1020
4:49:13,1022
4:52:44,1028
4:53:09,1029
4:56:00,1031
4:56:34,1033
4:59:31,1036
5:02:00,1040
5:03:29,1043
5:10:48,1047
5:14:05,1051
5:16:08,1054
5:18:33,1056
5:21:49,1059
5:33:24,1066
5:33:43,1067
5:34:35,1068
5:37:50,1069
5:37:59,1070
5:39:08,1074
5:50:21,1080
5:53:14,1083
5:58:46,1089
5:59:31,1090
0:00:35,14
0:00:35,15
0:00:37,16
0:00:40,19
0:00:42,23
0:00:43,27
0:00:43,27
0:00:43,28
0:00:44,31
0:00:45,34
0:00:47,39
0:00:49,43
0:00:51,44
0:00:53,47
0:00:55,51
0:00:55,52
0:00:57,53
0:01:01,63
0:01:02,66
0:01:02,67
0:01:05,78
0:01:05,78
0:01:07,82
0:01:07,84
0:01:08,86
0:01:08,88
0:01:10,92
0:01:13,97
0:01:14,102
0:01:22,119
0:01:27,123
0:01:28,123
0:01:40,139
0:01:41,140
0:01:41,142
0:01:43,144
0:01:51,155
0:01:52,157
0:01:58,162
0:02:00,164
0:02:00,164
0:02:00,166
0:02:04,172
0:02:04,173
0:02:07,177
0:02:09,179
0:02:12,183
0:02:16,184
0:02:19,186
0:02:20,189
0:02:21,192
0:02:21,193
0:02:28,197
0:02:30,200
0:02:38,210
0:02:42,216
0:02:48,219
0:02:50,221
0:02:53,227
0:02:59,234
0:03:06,239
0:03:13,245
0:03:22,248
0:03:23,249
0:03:35,262
0:03:43,270
0:03:47,275
0:03:52,278
0:03:53,281
0:04:00,289
0:04:08,294
0:04:16,300
0:04:22,304
0:04:22,305
0:04:24,307
0:04:28,312
0:04:29,315
0:04:33,320
0:04:52,332
0:05:01,337
0:05:06,343
0:05:11,347
0:05:13,350
0:05:21,354
0:05:24,355
0:05:24,356
0:05:27,358
0:05:36,367
0:05:40,369
0:05:48,372
0:06:00,382
0:06:13,391
0:06:14,392
0:06:15,393
0:06:15,394
0:06:22,400
0:06:27,402
0:06:38,407
0:06:39,409
0:06:52,415
0:06:53,416
0:07:05,424
0:07:05,425
0:07:06,427
0:07:10,431
0:07:20,436
0:07:22,438
0:07:26,441
0:07:46,453
0:07:50,457
0:07:56,458
0:08:04,465
0:08:11,469
0:08:22,474
0:08:22,475
0:08:25,477
0:08:26,478
0:08:26,479
0:08:30,480
0:08:32,484
0:08:39,487
0:08:42,490
0:08:55,492
0:08:59,494
0:09:00,495
0:09:04,499
0:09:05,500
0:09:06,501
0:09:10,505
0:09:12,506
0:09:20,516
0:09:33,521
0:09:35,523
0:09:36,524
0:09:37,525
0:09:39,529
0:09:47,532
0:09:58,534
0:10:12,547
0:10:18,548
0:10:29,555
0:10:47,564
0:10:48,566
0:10:51,568
0:10:56,570
0:10:58,573
0:11:00,574
0:11:07,576
0:11:17,578
0:11:34,586
0:11:37,590
0:11:40,592
0:11:45,594
0:11:52,598
0:11:58,600
0:12:05,604
0:12:09,607
0:12:10,608
0:12:11,609
0:12:11,609
0:12:16,612
0:12:21,616
0:12:26,617
0:12:30,619
0:12:51,630
0:12:58,631
0:13:03,632
0:13:10,633
0:13:34,644
0:13:45,651
0:13:54,658
0:13:58,661
0:14:00,662
0:14:02,665
0:14:10,669
0:14:13,670
0:14:25,674
0:14:32,679
0:14:38,683
0:14:43,684
0:14:51,688
0:14:55,692
0:15:14,703
0:15:17,707
0:15:17,707
0:15:21,712
0:15:23,715
0:15:29,717
0:15:37,721
0:15:40,726
0:15:48,730
0:16:02,736
0:16:05,738
0:16:11,741
0:16:13,744
0:16:17,748
0:16:41,763
0:16:51,767
0:16:56,769
0:17:01,771
0:17:28,783
0:17:31,784
0:17:37,786
0:17:48,791
0:17:50,792
0:17:53,794
0:18:24,805
0:18:28,806
0:18:29,807
0:18:30,808
0:18:39,813
0:18:52,819
0:19:03,822
0:19:09,825
0:19:23,829
0:19:31,833
0:19:38,835
0:19:39,836
0:19:48,838
0:19:50,839
0:19:50,840
0:19:59,841
0:20:00,842
0:20:01,844
0:20:02,845
0:20:05,847
0:20:17,850
0:20:22,851
0:20:29,853
0:20:29,854
0:20:37,857
0:20:37,857
0:20:47,861
0:20:51,862
0:21:08,868
0:21:11,871
0:21:15,872
0:21:18,873
0:21:39,880
0:21:55,884
0:22:11,888
0:22:17,890
0:22:42,900
0:22:45,902
0:22:54,904
0:23:07,910
0:23:15,913
0:23:30,918
0:23:32,919
0:23:34,920
0:23:37,921
0:23:45,926
0:23:53,929
0:24:11,933
0:24:50,948
0:25:07,953
0:25:27,966
0:25:39,970
0:26:12,975
0:26:15,976
0:26:17,977
0:26:19,979
0:26:25,981
0:26:41,986
0:27:34,1001
0:27:40,1007
0:27:50,1011
0:27:50,1011
0:27:53,1014
0:28:04,1018
0:28:06,1020
0:28:34,1030
0:28:40,1031
0:28:41,1032
0:29:40,1044
0:29:47,1046
0:29:50,1048
0:29:54,1049
0:29:59,1055
0:30:33,1058
0:30:58,1065
0:30:59,1066
0:31:23,1072
0:31:25,1074
0:31:31,1076
0:31:33,1077
0:31:33,1078
0:31:38,1079
0:32:07,1085
0:32:13,1089
0:32:22,1092
0:33:07,1099
0:33:25,1102
0:33:27,1104
0:33:33,1105
0:34:24,1111
0:34:49,1113
0:34:59,1115
0:35:15,1117
0:35:24,1119
0:35:44,1126
0:35:44,1127
0:35:55,1131
0:36:00,1132
0:36:58,1141
0:37:02,1142
0:37:07,1143
0:37:12,1145
0:37:16,1150
0:37:38,1160
0:37:57,1163
0:37:57,1163
0:38:05,1165
0:38:07,1166
0:38:09,1168
0:38:18,1170
0:38:22,1171
0:38:32,1173
0:38:48,1178
0:38:48,1178
0:39:05,1181
0:39:15,1187
0:39:21,1189
0:39:32,1191
0:39:40,1193
0:39:41,1194
0:39:48,1195
0:39:49,1196
0:39:51,1197
0:40:16,1202
0:40:36,1207
0:41:11,1217
0:41:58,1223
0:42:05,1224
0:42:25,1229
0:42:40,1231
0:42:40,1231
0:42:46,1234
0:42:59,1235
0:43:08,1238
0:43:16,1239
0:43:20,1240
0:43:23,1241
0:43:35,1242
0:44:18,1247
0:44:31,1250
0:44:53,1255
0:46:01,1268
0:46:29,1272
0:47:05,1283
0:47:47,1291
0:48:13,1297
0:48:16,1298
0:48:48,1309
0:49:00,1312
