Time Difference,user.screen_name
0 days 00:00:18.000000000,clarey56
0 days 00:00:38.000000000,vlcurrie
0 days 00:00:45.000000000,labour_west
0 days 00:00:54.000000000,chelsadler
0 days 00:01:04.000000000,martinatwo
0 days 00:01:10.000000000,ac_seventhree
0 days 00:01:21.000000000,Ecky_Thump_TV
0 days 00:01:30.000000000,G_in_London
0 days 00:01:35.000000000,mazzashrew
0 days 00:02:01.000000000,davidmeek1975
0 days 00:02:09.000000000,LucyMPowell
0 days 00:02:10.000000000,kevindonnelly95
0 days 00:02:14.000000000,JSilk
0 days 00:02:23.000000000,KellyMae36
0 days 00:02:26.000000000,RichardC_Chi
0 days 00:02:46.000000000,redstrots
0 days 00:02:59.000000000,HelenCallis
0 days 00:03:01.000000000,CAFCUAMN74T
0 days 00:03:03.000000000,fizz239
0 days 00:03:04.000000000,JRogan3000
0 days 00:03:21.000000000,ines_adeogun
0 days 00:03:39.000000000,PaulHutchinson
0 days 00:03:47.000000000,IngridBlanchett
0 days 00:03:49.000000000,HellieDuPreez
0 days 00:04:05.000000000,USUncut
0 days 00:04:15.000000000,skylarelindley
0 days 00:04:23.000000000,pattybravosa
0 days 00:04:23.000000000,BattleLord17
0 days 00:04:42.000000000,GusMartinezG
0 days 00:04:43.000000000,RHHassall
0 days 00:04:46.000000000,emma10gtz
0 days 00:05:10.000000000,Smwallace06
0 days 00:05:15.000000000,MercedesKills
0 days 00:05:16.000000000,Mrs_jenx
0 days 00:05:32.000000000,davelawson35
0 days 00:05:36.000000000,docdenbow
0 days 00:05:44.000000000,sophierobson24
0 days 00:06:10.000000000,ShafLdn
0 days 00:06:21.000000000,ChinaGregory
0 days 00:06:35.000000000,stoneyrocks
0 days 00:06:44.000000000,jblvndino
0 days 00:06:46.000000000,Photogenic8
0 days 00:06:56.000000000,thatresolves
0 days 00:07:06.000000000,oederoliva
0 days 00:07:14.000000000,micmicmic1
0 days 00:07:21.000000000,clampdownunit
0 days 00:07:41.000000000,SenGoku_Varsus
0 days 00:07:47.000000000,Luna_may
0 days 00:07:54.000000000,UnlikelyWorlds
0 days 00:08:13.000000000,jerryhomskeeze
0 days 00:08:38.000000000,BanjoHfuhruhur
0 days 00:08:41.000000000,geekzter
0 days 00:09:13.000000000,hannibaal12
0 days 00:09:19.000000000,tomservo10
0 days 00:10:53.000000000,SusanGLH
0 days 00:11:29.000000000,hapspop
0 days 00:11:41.000000000,paulmcmullin1
0 days 00:12:02.000000000,erikooh
0 days 00:12:18.000000000,ellagreeneyes
0 days 00:12:30.000000000,uhhlawndra
0 days 00:12:32.000000000,lastbabymensa
0 days 00:13:02.000000000,FordieC
0 days 00:13:08.000000000,MacbethSC
0 days 00:13:08.000000000,MsDafneRuiz
0 days 00:13:17.000000000,Foonerisms
0 days 00:13:18.000000000,greyc23
0 days 00:13:27.000000000,Domicima
0 days 00:13:42.000000000,Kreyks1
0 days 00:13:47.000000000,LouisiaVdb
0 days 00:13:49.000000000,danw1979
0 days 00:13:54.000000000,UnofficialBill
0 days 00:13:54.000000000,UnofficialBill
0 days 00:13:58.000000000,CharlieAHolt
0 days 00:14:05.000000000,ve278
0 days 00:14:12.000000000,Tim_Kowal
0 days 00:14:13.000000000,MtuPombe
0 days 00:14:34.000000000,mae69mae
0 days 00:14:59.000000000,MrSimoon
0 days 00:15:03.000000000,daisthehale
0 days 00:15:23.000000000,yokoaoki
0 days 00:15:25.000000000,Nave_the_Brave
0 days 00:15:27.000000000,SleepyVole
0 days 00:15:30.000000000,AllanSkerratt
0 days 00:15:37.000000000,IamJaffery
0 days 00:15:37.000000000,anxabb
0 days 00:15:41.000000000,fournierwire
0 days 00:15:45.000000000,TrumpsterTrash
0 days 00:15:57.000000000,zombiewizard45
0 days 00:16:11.000000000,savethemouse
0 days 00:16:22.000000000,DarlingtonFrim
0 days 00:16:27.000000000,Nerf_Mittens
0 days 00:16:27.000000000,KyleSiler
0 days 00:16:33.000000000,paulin_peter
0 days 00:17:05.000000000,Outoftweet123
0 days 00:17:06.000000000,AbubakarTweets
0 days 00:18:30.000000000,didimae
0 days 00:19:04.000000000,AndreiBoariu
0 days 00:18:52.000000000,fuckusnep
0 days 00:19:09.000000000,gilbutrono
0 days 00:19:19.000000000,MaevaCanto
0 days 00:19:38.000000000,BenDeetoy
0 days 00:20:21.000000000,Sha_Elise24
0 days 00:20:21.000000000,supervillian95
0 days 00:20:27.000000000,Gisane_Araujo
0 days 00:21:02.000000000,mcornielle28
0 days 00:21:16.000000000,_MideG
0 days 00:21:19.000000000,MyraPark01
0 days 00:21:37.000000000,NastyWomanHonda
0 days 00:21:40.000000000,JMe1905
0 days 00:21:46.000000000,DerExperte007
0 days 00:21:47.000000000,YoungTameeka
0 days 00:21:48.000000000,landrypg
0 days 00:22:28.000000000,WayUpJazii
0 days 00:22:50.000000000,TruthsOftoday
0 days 00:23:11.000000000,HBarnes444
0 days 00:23:34.000000000,marthaMcwykes
0 days 00:24:03.000000000,revdkath
0 days 00:24:14.000000000,akuz007
0 days 00:24:30.000000000,Owenonymous
0 days 00:24:30.000000000,BURIMRVDONI
0 days 00:26:00.000000000,GJoellui
0 days 00:26:17.000000000,pinkstix
0 days 00:26:18.000000000,CarolineMurote
0 days 00:26:23.000000000,Birkybullufc
0 days 00:27:01.000000000,Allyaiono
0 days 00:27:07.000000000,frieda_strachan
0 days 00:27:11.000000000,motheradamplay
0 days 00:27:12.000000000,PumpkinSpider
0 days 00:27:33.000000000,SchenkJeanette
0 days 00:28:06.000000000,Je_suis_Gemeaux
0 days 00:28:08.000000000,bartramsgob
0 days 00:28:18.000000000,jpjeffery
0 days 00:29:28.000000000,ThoughtsbyGabe
0 days 00:29:35.000000000,climpeter
0 days 00:29:38.000000000,Celia3D
0 days 00:29:43.000000000,aagerholm
