Folder,Retweet Count,Time Difference,Estimated Time,Total Retweeted,Retweeted Followers
data1022,2.0,0 days 00:00:12.000000000,6.0,1612.0,93095.0
data1030,1.0,0 days 00:00:13.000000000,13.0,2848.0,93102.0
data1054,1.0,0 days 00:00:08.000000000,8.0,4722.0,321855.0
data1067,4.0,0 days 00:00:25.000000000,6.25,20782.0,51820.0
data1086,3.0,0 days 00:00:23.000000000,7.666666666,1649.0,24740.0
data1090,3.0,0 days 00:00:10.000000000,3.333333333,3474.0,321938.0
data1092,5.0,0 days 00:00:15.000000000,3.0,1242.0,141209.0
data1105,2.0,0 days 00:00:15.000000000,7.5,3057.0,155435.0
data1107,5.0,0 days 00:07:21.000000000,88.2,2772.0,123834.0
data1149,1.0,0 days 00:00:08.000000000,8.0,1465.0,38362.0
data1169,4.0,0 days 00:00:26.000000000,6.5,1309.0,24807.0
data1177,6.0,0 days 00:00:38.000000000,6.333333333,1067.0,51959.0
data1183,1.0,0 days 00:00:18.000000000,18.0,4411.0,51972.0
data863,1.0,0 days 00:00:11.000000000,11.0,8047.0,51080.0
data992,1.0,0 days 01:04:30.000000000,3870.0,2068.0,5524.0
