Time Difference,Retweet Count
00:00:17,11
00:00:33,38
00:00:37,42
00:00:43,50
00:00:45,52
00:01:06,88
00:01:39,117
00:01:47,129
00:02:24,173
00:02:25,174
00:02:25,174
00:02:46,205
00:03:10,235
00:03:24,251
00:03:59,290
00:04:00,292
00:04:35,324
00:04:41,332
00:05:05,354
00:05:26,371
00:05:31,378
00:05:34,382
00:05:36,385
00:06:19,421
00:06:38,440
00:06:39,441
00:06:44,445
00:06:45,447
00:07:18,471
00:07:43,496
00:07:54,506
00:08:03,519
00:08:03,520
00:08:04,521
00:08:15,529
00:08:49,562
00:08:52,565
00:09:12,585
00:09:13,588
00:09:27,604
00:09:34,608
00:10:17,656
00:10:25,665
00:10:45,689
00:12:01,766
00:12:05,770
00:12:12,778
00:12:17,786
00:12:27,795
00:12:32,802
00:12:35,806
00:13:06,834
00:13:57,883
00:14:27,909
00:14:55,931
00:14:58,936
00:15:05,943
00:15:16,953
00:15:56,987
00:16:03,992
00:16:18,1008
00:16:20,1012
00:16:23,1019
00:16:27,1021
00:16:38,1028
00:17:21,1061
00:17:38,1070
00:17:48,1081
00:17:59,1093
00:18:00,1095
00:18:06,1100
00:18:06,1100
00:18:30,1126
00:18:34,1130
00:18:44,1143
00:18:57,1155
00:19:39,1198
00:19:52,1208
00:19:55,1211
00:19:56,1212
00:20:26,1243
00:20:39,1254
00:22:32,1333
00:22:46,1345
00:22:47,1346
00:22:53,1348
00:23:43,1395
00:24:50,1443
00:25:48,1484
00:26:15,1503
00:27:05,1526
00:27:12,1530
00:28:27,1557
00:28:36,1563
00:29:14,1584
00:29:41,1605
00:29:46,1609
00:30:40,1631
00:30:49,1633
00:30:53,1634
00:30:59,1637
00:31:11,1642
00:31:38,1651
00:32:12,1669
00:32:40,1684
00:32:44,1685
00:32:46,1688
00:33:51,1722
00:34:30,1746
00:35:12,1768
00:35:26,1774
00:35:56,1789
00:35:57,1791
00:36:11,1799
00:36:49,1818
00:36:52,1819
00:37:47,1836
00:37:55,1840
00:38:13,1848
00:38:24,1852
00:38:50,1865
00:39:02,1869
00:39:53,1888
00:40:16,1896
00:40:47,1913
00:41:07,1919
00:41:29,1935
00:41:41,1942
00:41:47,1944
00:41:49,1946
00:42:10,1957
00:42:11,1959
00:42:22,1964
00:44:07,2011
00:44:10,2015
00:44:30,2028
00:44:46,2037
00:44:47,2038
00:44:49,2041
00:46:32,2069
00:46:55,2084
00:47:39,2104
00:47:39,2105
00:49:09,2141
00:49:50,2153
00:50:45,2174
00:51:35,2185
00:51:47,2194
00:51:48,2195
00:52:01,2200
00:52:19,2207
00:53:00,2224
00:54:17,2251
00:55:56,2286
00:56:03,2290
00:56:51,2310
00:57:47,2343
00:58:33,2363
00:58:35,2365
00:58:58,2378
00:58:58,2380
00:59:45,2398
00:59:55,2403
01:00:06,2409
01:00:12,2412
01:00:52,2428
01:01:05,2431
01:01:23,2437
01:02:25,2458
01:03:02,2471
01:05:43,2523
01:05:52,2527
01:06:55,2553
01:07:48,2574
01:08:15,2587
01:08:17,2588
01:08:34,2599
01:08:41,2601
01:08:54,2607
01:10:26,2640
01:10:39,2648
01:10:47,2653
01:11:03,2659
01:11:54,2669
01:12:08,2674
01:13:00,2695
01:13:02,2697
01:13:30,2703
01:13:46,2707
01:14:36,2724
01:15:16,2736
01:15:35,2746
01:15:48,2749
01:16:44,2775
01:16:50,2777
01:17:04,2785
01:17:24,2790
01:19:12,2831
01:20:41,2858
01:21:06,2868
01:22:38,2898
01:23:54,2928
01:24:49,2951
01:26:46,3016
01:27:48,3050
01:28:28,3062
01:29:39,3088
01:30:21,3106
01:30:33,3111
01:30:48,3119
01:31:11,3136
01:31:27,3142
01:31:57,3153
01:32:18,3164
01:32:49,3174
01:34:29,3211
01:35:08,3223
01:37:52,3284
01:37:56,3287
01:38:11,3293
01:39:19,3321
01:39:20,3323
01:39:39,3329
01:39:49,3339
01:40:06,3346
01:40:57,3363
01:41:54,3384
01:41:58,3387
01:42:02,3388
01:44:53,3441
01:44:53,3442
01:46:02,3459
01:46:21,3465
01:47:10,3483
01:47:12,3485
01:47:46,3501
01:47:46,3502
01:47:49,3503
01:48:04,3507
01:48:45,3526
01:48:46,3527
01:49:11,3539
01:50:02,3550
01:50:04,3553
01:51:09,3592
01:51:31,3602
01:51:45,3609
01:52:05,3622
01:52:07,3624
01:52:45,3630
01:53:14,3638
01:53:33,3644
01:54:10,3657
01:54:15,3660
01:54:22,3663
01:55:03,3669
01:56:15,3694
01:56:23,3695
01:56:52,3710
01:57:16,3719
01:57:36,3726
01:58:19,3742
01:58:30,3746
01:58:34,3748
01:58:50,3756
01:59:35,3770
01:59:36,3771
02:00:28,3792
02:00:40,3798
02:00:52,3801
02:01:08,3806
02:01:18,3812
02:01:53,3827
02:02:42,3841
02:02:43,3842
02:03:12,3851
02:03:37,3865
02:03:45,3866
02:04:48,3886
02:05:05,3890
02:05:12,3891
02:05:20,3894
02:06:38,3923
02:08:15,3948
02:09:00,3969
02:09:11,3972
02:11:03,4010
02:11:52,4025
02:12:02,4028
02:13:28,4057
02:13:37,4061
02:13:41,4062
02:13:57,4064
02:14:57,4077
02:15:56,4100
02:16:17,4109
02:17:04,4121
02:19:02,4163
02:19:57,4171
02:20:29,4179
02:20:54,4182
02:21:34,4194
02:22:03,4206
02:23:01,4221
02:23:37,4238
02:24:13,4249
02:25:36,4282
02:25:40,4287
02:26:33,4304
02:27:19,4316
02:27:45,4324
02:30:17,4383
02:30:51,4401
02:31:20,4411
02:31:50,4424
02:33:08,4445
02:33:37,4449
02:33:48,4451
02:34:33,4465
02:35:32,4480
02:35:57,4487
02:36:58,4505
02:38:31,4522
02:42:23,4574
02:44:17,4604
