Time Difference,Retweet Count
00:00:45,52
00:02:46,205
00:03:24,251
00:03:59,290
00:06:39,441
00:06:44,445
00:07:18,471
00:08:03,519
00:08:04,521
00:08:52,565
00:09:27,604
00:12:17,786
00:14:55,931
00:14:58,936
00:16:03,992
00:16:23,1019
00:16:27,1021
00:17:38,1070
00:18:34,1130
00:18:44,1143
00:20:39,1254
00:24:50,1443
00:25:48,1484
00:26:15,1503
00:29:46,1609
00:32:40,1684
00:33:51,1722
00:34:30,1746
00:35:26,1774
00:36:11,1799
00:36:52,1819
00:37:47,1836
00:37:55,1840
00:38:24,1852
00:39:53,1888
00:41:49,1946
00:42:22,1964
00:44:07,2011
00:44:10,2015
00:44:46,2037
00:44:47,2038
00:46:55,2084
00:47:39,2105
00:49:09,2141
00:49:50,2153
00:50:45,2174
00:51:35,2185
00:51:47,2194
00:52:19,2207
00:53:00,2224
00:54:17,2251
00:57:47,2343
00:58:33,2363
00:58:35,2365
01:01:23,2437
01:05:52,2527
01:08:15,2587
01:08:34,2599
01:10:39,2648
01:10:47,2653
01:11:54,2669
01:13:00,2695
01:13:30,2703
01:15:16,2736
01:15:35,2746
01:16:44,2775
01:17:04,2785
01:21:06,2868
01:22:38,2898
01:23:54,2928
01:24:49,2951
01:30:33,3111
01:34:29,3211
01:37:52,3284
01:40:06,3346
01:40:57,3363
01:42:02,3388
01:47:10,3483
01:47:12,3485
01:49:11,3539
01:51:31,3602
01:52:05,3622
01:52:07,3624
01:53:14,3638
01:54:22,3663
01:55:03,3669
01:57:36,3726
01:58:30,3746
01:58:34,3748
01:58:50,3756
02:00:28,3792
02:01:08,3806
02:01:53,3827
02:03:45,3866
02:08:15,3948
02:09:00,3969
02:09:11,3972
02:11:03,4010
02:13:37,4061
02:15:56,4100
02:26:33,4304
02:27:45,4324
02:31:20,4411
02:34:33,4465
03:02:09,4887
03:09:42,4972
03:13:24,5019
03:24:15,5192
03:25:21,5208
03:27:32,5248
03:28:12,5256
03:34:15,5352
03:41:25,5483
03:54:48,5626
04:22:55,5988
04:40:15,6136
04:54:14,6306
04:54:27,6311
05:06:22,6456
05:12:31,6508
06:04:56,6812
06:26:05,6949
07:38:24,7289
07:57:18,7378
08:18:47,7562
08:33:12,7663
09:20:11,7923
09:25:27,7959
09:28:26,7976
01:49:18,930
01:56:04,966
02:00:40,981
03:24:22,1134
03:52:15,1173
04:48:56,1261
00:00:51,28
00:08:39,219
00:09:32,238
00:12:47,330
00:13:13,337
00:13:47,349
00:16:52,427
00:29:07,605
00:29:52,615
00:35:21,667
00:36:49,688
00:37:46,704
00:38:24,709
01:25:46,1026
01:41:56,1083
01:53:25,1148
04:28:04,1541
00:06:52,166
00:07:14,174
00:14:57,349
00:15:27,355
00:19:07,411
00:19:52,425
00:22:23,471
00:23:49,500
00:30:07,626
00:36:54,737
00:38:18,759
00:39:12,771
00:39:23,778
00:39:54,790
00:43:08,863
00:44:22,886
00:44:44,891
00:58:00,1078
01:13:36,1278
01:21:29,1336
01:26:40,1392
01:36:29,1467
02:15:42,1873
