Time Difference,User
0 days 00:00:45.000000000,hasnopants
0 days 00:02:46.000000000,AmericasInPeril
0 days 00:03:24.000000000,MatrixJacker
0 days 00:03:59.000000000,damonbrown827
0 days 00:06:39.000000000,FridgeVice
0 days 00:06:44.000000000,qt4shrt
0 days 00:07:18.000000000,dek6media
0 days 00:08:03.000000000,thatgirlsandra5
0 days 00:08:04.000000000,GStashko
0 days 00:08:52.000000000,GLENCOLLINS_
0 days 00:09:27.000000000,JerrodRenner
0 days 00:12:17.000000000,Mcrick03
0 days 00:14:55.000000000,DMHord1
0 days 00:14:58.000000000,MatthewJinx
0 days 00:16:03.000000000,EdithConkey
0 days 00:16:23.000000000,chucknelson1969
0 days 00:16:27.000000000,MitraBasaula
0 days 00:17:38.000000000,letradoarmando1
0 days 00:18:34.000000000,JLLammy
0 days 00:18:44.000000000,Lyle_Willis
0 days 00:20:39.000000000,lobecohmngbird
0 days 00:24:50.000000000,lancasterwhims
0 days 00:25:48.000000000,ElectionDayPoll
0 days 00:26:15.000000000,tzanneng
0 days 00:29:46.000000000,iKneelForNoMan
0 days 00:32:40.000000000,pinksugar61
0 days 00:33:51.000000000,jacksonpeters05
0 days 00:34:30.000000000,roddy202620
0 days 00:35:26.000000000,Yanktanker1
0 days 00:36:11.000000000,vesterrrr
0 days 00:36:52.000000000,Glory_Patriot
0 days 00:37:47.000000000,BrookNatalie10
0 days 00:37:55.000000000,zghzgly
0 days 00:38:24.000000000,dave_deplorable
0 days 00:39:53.000000000,_ShonkJ
0 days 00:41:49.000000000,lisainco
0 days 00:42:22.000000000,Murlgirl1
0 days 00:44:07.000000000,elaine_lazenby
0 days 00:44:10.000000000,exitandobserve
0 days 00:44:46.000000000,NLTCNY
0 days 00:44:47.000000000,IndigoJewelry
0 days 00:46:55.000000000,JerryNi84431179
0 days 00:47:39.000000000,workingwoman911
0 days 00:49:09.000000000,mamoobonnie
0 days 00:49:50.000000000,CaballeroOHara
0 days 00:50:45.000000000,VintechG
0 days 00:51:35.000000000,ElizabethVlaho1
0 days 00:51:47.000000000,donnalea1788
0 days 00:52:19.000000000,KroekerTony
0 days 00:53:00.000000000,CharliSixx
0 days 00:54:17.000000000,Mike_Sand_Man
0 days 00:57:47.000000000,DoreenParrish
0 days 00:58:33.000000000,ALobo2372
0 days 00:58:35.000000000,edinatoz
0 days 01:01:23.000000000,SteveC_USA
0 days 01:05:52.000000000,antonimorodrigo
0 days 01:08:15.000000000,BertiniJohn
0 days 01:08:34.000000000,Daisies55
0 days 01:10:39.000000000,burk9
0 days 01:10:47.000000000,JamesGreenBayWI
0 days 01:11:54.000000000,debbi139
0 days 01:13:00.000000000,Cate66
0 days 01:13:30.000000000,Wondering_Muse
0 days 01:15:16.000000000,MelanieKReese
0 days 01:15:35.000000000,ReneeCarrollPhx
0 days 01:16:44.000000000,NBCNightlyLies
0 days 01:17:04.000000000,chally1946
0 days 01:21:06.000000000,JanLaduron
0 days 01:22:38.000000000,Pitako1340
0 days 01:23:54.000000000,ladydwall
0 days 01:24:49.000000000,Jeffsright
0 days 01:30:33.000000000,martinmarcus21
0 days 01:34:29.000000000,zabeyou
0 days 01:37:52.000000000,myworkshop
0 days 01:40:06.000000000,GrammerSherry
0 days 01:40:57.000000000,ArlTratlo
0 days 01:42:02.000000000,MrsWunami
0 days 01:47:10.000000000,Grandtheauto4
0 days 01:47:12.000000000,Grandtheauto4
0 days 01:49:11.000000000,lulujoy6101
0 days 01:51:31.000000000,badtweetbot
0 days 01:52:05.000000000,lmaxir1
0 days 01:52:07.000000000,WashAmeriCom
0 days 01:53:14.000000000,MichaelSartorSr
0 days 01:54:22.000000000,deannaguillory
0 days 01:55:03.000000000,avalanch_brkdwn
0 days 01:57:36.000000000,goodinplenty1
0 days 01:58:30.000000000,Claudia4Trump
0 days 01:58:34.000000000,tnted96
0 days 01:58:50.000000000,tigerandbuck
0 days 02:00:28.000000000,LeeksM
0 days 02:01:08.000000000,jcpeanut2345
0 days 02:01:53.000000000,kthawkins8
0 days 02:03:45.000000000,TreaureHunters
0 days 02:08:15.000000000,EastYorksTroop
0 days 02:09:00.000000000,mungamLI
0 days 02:09:11.000000000,ramke28
0 days 02:11:03.000000000,NanaOxford
0 days 02:13:37.000000000,AgentDeplorable
0 days 02:15:56.000000000,trumpwins2
0 days 02:26:33.000000000,alcarlos13
0 days 02:27:45.000000000,luka_light
0 days 02:31:20.000000000,solmartpropert1
0 days 02:34:33.000000000,Josephjmontele2
0 days 03:02:09.000000000,caden807
0 days 03:09:42.000000000,717ontheprairie
0 days 03:13:24.000000000,clintonchineduc
0 days 03:24:15.000000000,astanad
0 days 03:25:21.000000000,tmguadagno
0 days 03:27:32.000000000,pello4497
0 days 03:28:12.000000000,elaniecardenas
0 days 03:34:15.000000000,Johnoha02978265
0 days 03:41:25.000000000,kagu19
0 days 03:54:48.000000000,wrs1260
0 days 04:22:55.000000000,JJGERL
0 days 04:40:15.000000000,JulieEveretts
0 days 04:54:14.000000000,KatherineWolfr2
0 days 04:54:27.000000000,onecrzygirl
0 days 05:06:22.000000000,m_frushour
0 days 05:12:31.000000000,JoyfulAmbitions
0 days 06:04:56.000000000,SkinnyScents
0 days 06:26:05.000000000,Jeffrey74749980
0 days 07:38:24.000000000,JeffTwinsFan
0 days 07:57:18.000000000,LA_JuneX
0 days 08:18:47.000000000,babyjacksmom09
0 days 08:33:12.000000000,jhorne24746260
0 days 09:20:11.000000000,604_9705
0 days 09:25:27.000000000,CHRISTINA2A12
0 days 09:28:26.000000000,beldandolo
0 days 01:49:18.000000000,LyleVernon
0 days 01:56:04.000000000,stivbator1
0 days 02:00:40.000000000,andrewmpro
0 days 03:24:22.000000000,mamoobonnie
0 days 03:52:15.000000000,avalanch_brkdwn
0 days 04:48:56.000000000,Augustus1683AD
0 days 00:00:51.000000000,ailuy7
0 days 00:08:39.000000000,djcoryminto
0 days 00:09:32.000000000,francishumes
0 days 00:12:47.000000000,tansenryua
0 days 00:13:13.000000000,TorchPelletier
0 days 00:13:47.000000000,davideades11n
0 days 00:16:52.000000000,DesdeFlorida
0 days 00:29:07.000000000,Thundergrips
0 days 00:29:52.000000000,Jarod23409143
0 days 00:35:21.000000000,JRknickolas
0 days 00:36:49.000000000,galleydiana5
0 days 00:37:46.000000000,TeamTrumpTeX
0 days 00:38:24.000000000,TeamTrumpTeX
0 days 01:25:46.000000000,ladydwall
0 days 01:41:56.000000000,odumechbueze1
0 days 01:53:25.000000000,donvrjr1
0 days 04:28:04.000000000,evollonian
0 days 00:06:52.000000000,KGHASKINS1
0 days 00:07:14.000000000,missme61510256
0 days 00:14:57.000000000,AmericasInPeril
0 days 00:15:27.000000000,The_Rambling1
0 days 00:19:07.000000000,SELLA1CRACK
0 days 00:19:52.000000000,saveusrepublic2
0 days 00:22:23.000000000,Thundergrips
0 days 00:23:49.000000000,Jarod23409143
0 days 00:30:07.000000000,galleydiana5
0 days 00:36:54.000000000,Scrufey21Me
0 days 00:38:18.000000000,charlottewiggs
0 days 00:39:12.000000000,lifestrials2
0 days 00:39:23.000000000,JenJustjen515
0 days 00:39:54.000000000,itsnebulaz
0 days 00:43:08.000000000,dayna__bennett
0 days 00:44:22.000000000,alwaystimothy
0 days 00:44:44.000000000,Lyle_Willis
0 days 00:58:00.000000000,TroyKotaSan
0 days 01:13:36.000000000,ladydwall
0 days 01:21:29.000000000,lulujoy6101
0 days 01:26:40.000000000,larrydye1952
0 days 01:36:29.000000000,mllnola
0 days 02:15:42.000000000,FatFatsigi
0 days 02:26:37.000000000,celetinoha
0 days 02:43:39.000000000,fat_joe92
0 days 02:50:17.000000000,Excal_Gray
0 days 02:54:53.000000000,michele_keiffer
0 days 02:56:49.000000000,DougWallysboy
0 days 03:07:58.000000000,JennyIzzle007
0 days 04:41:11.000000000,tina_starley
0 days 05:17:21.000000000,Sofia03336
0 days 00:00:27.000000000,Ironstar_K5
0 days 00:01:06.000000000,AJhappy2
0 days 00:01:44.000000000,uncleSaul1
0 days 00:04:28.000000000,RadicalStoic
0 days 00:05:36.000000000,crazyferret237
0 days 00:06:08.000000000,conny204
0 days 00:06:59.000000000,SaulusSedai
0 days 00:09:42.000000000,MUNNAUNICORN
0 days 00:11:08.000000000,ddc1168
0 days 00:11:21.000000000,JosephwLucas80
0 days 00:14:44.000000000,PLAGUEDDC5
0 days 00:17:37.000000000,MrsDutchTulip
0 days 00:19:53.000000000,rjimenez3940
0 days 00:22:28.000000000,5ikyu
0 days 00:28:35.000000000,DavidCConca
0 days 00:29:16.000000000,ptsd1471
0 days 00:35:02.000000000,arirangxx
0 days 00:35:50.000000000,PatrickOstler
0 days 00:41:50.000000000,jayizzo50
0 days 00:42:18.000000000,NurseOnThis
0 days 00:43:39.000000000,corwindesheim
0 days 00:45:57.000000000,ChidiebereEze9
0 days 00:48:01.000000000,HoraceMaye
0 days 00:51:06.000000000,EdMalchiodi
0 days 00:54:33.000000000,BlessingOkpiri
0 days 00:56:09.000000000,uwais_baba
0 days 00:57:07.000000000,rabbi_tech
0 days 00:58:29.000000000,ElizabethVlaho1
0 days 00:58:36.000000000,pedroma2712
0 days 01:02:49.000000000,LukeSlade2
