created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.id,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 13:54:37 +0000 2016,795987896176099329,,,,,,A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #voted #myvote2016,51080,50,39483303,EastwoodUSA
Tue Nov 08 13:54:48 +0000 2016,795987940744773633,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,1,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,152,173,757220239453061120,DeplorableElite
Tue Nov 08 13:54:49 +0000 2016,795987943299182593,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,2,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,19,50,860665718,jbnnonfly
Tue Nov 08 13:54:50 +0000 2016,795987949561188352,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,3,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,188,237,36106531,jrsmits
Tue Nov 08 13:54:51 +0000 2016,795987952023326720,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,4,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,550,1364,779570065012318208,AnthonyMo1990
Tue Nov 08 13:54:51 +0000 2016,795987953784881152,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,5,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,43,179,783494805221441536,mark_alley68
Tue Nov 08 13:54:52 +0000 2016,795987955819151361,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,6,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,144,110,89015115,DjDeala
Tue Nov 08 13:54:52 +0000 2016,795987957802999812,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,7,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,219,401,2555807096,byny124
Tue Nov 08 13:54:53 +0000 2016,795987961221414916,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,8,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,88,238,751249410412126208,28594Jeep
Tue Nov 08 13:54:53 +0000 2016,795987963536502784,Tue Nov 08 13:54:37 +0000 2016,795987896176099329,9,51080,39483303,RT @EastwoodUSA: A letter signed by over 200 countries plead for America not to vote Hillary as they want peace not war... #ElectionDay #vo…,2490,4552,754593649376186368,RocyJ7399
