Time Difference,user.screen_name
0 days 00:00:11.000000000,DeplorableElite
0 days 00:00:12.000000000,jbnnonfly
0 days 00:00:14.000000000,mark_alley68
0 days 00:00:15.000000000,byny124
0 days 00:00:16.000000000,RocyJ7399
0 days 00:00:17.000000000,Auxranch
0 days 00:00:17.000000000,steelman14711
0 days 00:00:18.000000000,DeplorableTexan
0 days 00:00:20.000000000,UCFmum1
0 days 00:00:20.000000000,hollytcollins
0 days 00:00:20.000000000,Chas4Trump
0 days 00:00:20.000000000,superyayadize
0 days 00:00:22.000000000,ChristopherCl25
0 days 00:00:21.000000000,AndyAshby1
0 days 00:00:23.000000000,odleybodley
0 days 00:00:24.000000000,EricBKauffman
0 days 00:00:25.000000000,wakeuppeopleSOS
0 days 00:00:27.000000000,rangertx08008
0 days 00:00:27.000000000,davisheatherg
0 days 00:00:30.000000000,mikeaker88
0 days 00:00:31.000000000,Linda__Idaho
0 days 00:00:31.000000000,DD8328
0 days 00:00:31.000000000,oleoacreswv
0 days 00:00:32.000000000,JStoddardYoung1
0 days 00:00:33.000000000,eoffranch
0 days 00:00:34.000000000,all3els
0 days 00:00:37.000000000,pam_nicholsmpz1
0 days 00:00:39.000000000,bekalu2u
0 days 00:00:40.000000000,jmac6094
0 days 00:00:40.000000000,allen_nanci
0 days 00:00:41.000000000,OxcartUav
0 days 00:00:42.000000000,Dan4VA
0 days 00:00:43.000000000,bearspear
0 days 00:00:43.000000000,StryderSR
0 days 00:00:46.000000000,mwekow100
0 days 00:00:46.000000000,GiordanSergio
0 days 00:00:46.000000000,Travdine1
0 days 00:00:46.000000000,SNWeidick
0 days 00:00:47.000000000,Noralaughlin2
0 days 00:00:48.000000000,asomorph
0 days 00:00:49.000000000,y_PenDraig
0 days 00:00:49.000000000,carolgdillon
0 days 00:00:50.000000000,r_r59r
0 days 00:00:51.000000000,RoseLeo
0 days 00:00:52.000000000,FlockhoundJeff
0 days 00:00:52.000000000,GiveMeTheV
0 days 00:00:52.000000000,AlbertoSardo3
0 days 00:00:54.000000000,sel0619
0 days 00:00:55.000000000,JKelela2011
0 days 00:00:56.000000000,TheReloadingTec
0 days 00:00:56.000000000,seeker1791
0 days 00:00:56.000000000,Benzztech
0 days 00:00:57.000000000,JLD_SC
0 days 00:00:59.000000000,mamagrizzly99
0 days 00:01:01.000000000,704Livin
0 days 00:01:02.000000000,lily_paxton
0 days 00:01:02.000000000,patsyrn63
0 days 00:01:03.000000000,RastelliMichael
0 days 00:01:03.000000000,FFangel4u
0 days 00:01:04.000000000,Laura_K69
0 days 00:01:05.000000000,UGottaBelieve74
0 days 00:01:06.000000000,BonnieGranny
0 days 00:01:06.000000000,BrianKirkland5
0 days 00:01:07.000000000,NewYork_Paris_
0 days 00:01:10.000000000,BarryKathyJ
0 days 00:01:14.000000000,sumit5ue
0 days 00:01:14.000000000,JenniferStefano
0 days 00:01:18.000000000,Georgeyy88
0 days 00:01:20.000000000,robibrose
0 days 00:01:23.000000000,KogojSlavko
0 days 00:01:27.000000000,kathy_platan
0 days 00:01:29.000000000,2sharpe2
0 days 00:01:30.000000000,Senka43
0 days 00:01:30.000000000,plumz7389
0 days 00:01:33.000000000,LindaKe2756
0 days 00:01:33.000000000,AMOAMS
0 days 00:01:34.000000000,Linda04770255
0 days 00:01:34.000000000,logandmar
0 days 00:01:35.000000000,Thiru_0914
0 days 00:01:38.000000000,ursulazmiejko
0 days 00:01:39.000000000,Marecare20
0 days 00:01:41.000000000,CindyDay1
0 days 00:01:41.000000000,Francis_Marion
0 days 00:01:42.000000000,dreadnaught151
0 days 00:01:42.000000000,MandyShaq
0 days 00:01:42.000000000,belleartiste
0 days 00:01:45.000000000,holly7194
0 days 00:01:45.000000000,misskellyaudrey
0 days 00:01:46.000000000,gmomo33
0 days 00:01:47.000000000,happinessjoy134
0 days 00:01:48.000000000,VolkerChristina
0 days 00:01:49.000000000,IB4UT2
0 days 00:01:50.000000000,Shanemichaelon2
0 days 00:01:51.000000000,Co0ontje
0 days 00:01:52.000000000,Justitia_16
0 days 00:01:53.000000000,JohnHowardLewi1
0 days 00:01:54.000000000,Presley48R
0 days 00:01:56.000000000,vronieca
0 days 00:01:59.000000000,bigkirch88
0 days 00:02:00.000000000,Witte2Witte
0 days 00:02:02.000000000,Belv2998
0 days 00:02:02.000000000,bettyneels134
0 days 00:02:03.000000000,acidentalheaven
0 days 00:02:04.000000000,LBenton21
0 days 00:02:05.000000000,skiptowne61
0 days 00:02:07.000000000,TrudieFaith
0 days 00:02:08.000000000,liberalsRracist
0 days 00:02:10.000000000,JanineDrum
0 days 00:02:10.000000000,Misskate3839
0 days 00:02:10.000000000,kodypie
0 days 00:02:12.000000000,lapiors
0 days 00:02:13.000000000,vadertx
0 days 00:02:17.000000000,skyz4me
0 days 00:02:17.000000000,LarryZhou1
0 days 00:02:18.000000000,SeaBiscuit73
0 days 00:02:19.000000000,Dylanesque2604
0 days 00:02:20.000000000,aclarkwhitman
0 days 00:02:21.000000000,plcellach_kelly
0 days 00:02:24.000000000,RadioFreeUnite
0 days 00:02:24.000000000,strauss2512
0 days 00:02:25.000000000,steve2noriko
0 days 00:02:27.000000000,aaron_pilson
0 days 00:02:27.000000000,CAm4Trump
0 days 00:02:27.000000000,ShazzyC3
0 days 00:02:29.000000000,Sailingflyingd
0 days 00:02:29.000000000,mama_verite
0 days 00:02:29.000000000,hankkohl
0 days 00:02:25.000000000,steve2noriko
0 days 00:02:32.000000000,lizzmizz85
0 days 00:02:32.000000000,AZGuy45
0 days 00:02:33.000000000,zeus4ever
0 days 00:02:33.000000000,chelseaqqqq
0 days 00:02:33.000000000,meatmufin
0 days 00:02:34.000000000,HooverEdina
0 days 00:02:34.000000000,JohnStutsman77
0 days 00:02:37.000000000,srrabon_
0 days 00:02:38.000000000,clspitler
0 days 00:02:39.000000000,4fathers4life
0 days 00:02:39.000000000,wenzforfreedom
0 days 00:02:40.000000000,cstan2667
0 days 00:02:40.000000000,satch367
0 days 00:02:43.000000000,amadmavworld
0 days 00:02:44.000000000,G_rock73
0 days 00:02:44.000000000,delanemassey
0 days 00:02:47.000000000,JGBowhunter
0 days 00:02:47.000000000,SerboCanada
0 days 00:02:49.000000000,12aptor
0 days 00:02:54.000000000,kevindillon801
0 days 00:02:55.000000000,EugenNault
0 days 00:02:58.000000000,TipsySkunk
0 days 00:02:59.000000000,Jraptor11
0 days 00:02:59.000000000,MommaLeones
0 days 00:03:01.000000000,TUNOROCKEAS
0 days 00:03:03.000000000,CiraVO
0 days 00:03:05.000000000,Walker92Walker
0 days 00:03:06.000000000,pppatticake
0 days 00:03:07.000000000,piercebboop
0 days 00:03:08.000000000,selwynfun2010
0 days 00:03:09.000000000,maryannemercog
0 days 00:03:09.000000000,saphil2108
0 days 00:03:10.000000000,fedupdeplorable
0 days 00:03:10.000000000,ThisIsBoomer
0 days 00:03:12.000000000,GiaBarger
0 days 00:03:16.000000000,13sjwWalker
0 days 00:03:17.000000000,MichiganTaxes
0 days 00:03:18.000000000,Draco_defens
0 days 00:03:18.000000000,jesweatman
0 days 00:03:24.000000000,BentleyforTrump
0 days 00:03:29.000000000,6stringbling
0 days 00:03:30.000000000,jeffrey_cowie
0 days 00:03:31.000000000,an7361
0 days 00:03:31.000000000,giatav
0 days 00:03:38.000000000,MitziAdams16
0 days 00:03:38.000000000,Deplorable27
0 days 00:03:39.000000000,RefiningTimes
0 days 00:03:40.000000000,mrsdanhilliard
0 days 00:03:42.000000000,Terri22997972
0 days 00:03:42.000000000,KatieHaleGA
0 days 00:03:43.000000000,feniljdedhia
0 days 00:03:46.000000000,leilaibi
0 days 00:03:47.000000000,gurby1
0 days 00:03:47.000000000,pleiades486cy
0 days 00:03:48.000000000,ninjazeebs
0 days 00:03:48.000000000,suryantonio
0 days 00:03:49.000000000,ASeckora
0 days 00:03:52.000000000,AntiquesBaroque
0 days 00:03:53.000000000,DecksDarkAlien
0 days 00:03:53.000000000,virenemann
0 days 00:03:55.000000000,KQueener2
0 days 00:03:55.000000000,shann1997
0 days 00:03:56.000000000,reitamie
0 days 00:03:57.000000000,ElephantLeva
0 days 00:03:59.000000000,rodweb1
0 days 00:04:00.000000000,papischlumpf
0 days 00:04:00.000000000,jajulierangelo
0 days 00:04:00.000000000,karengilly
0 days 00:04:04.000000000,bootsiecampbell
0 days 00:04:04.000000000,SP4Z313
0 days 00:04:08.000000000,Krrot
0 days 00:04:11.000000000,kyletillman
0 days 00:04:14.000000000,gupdiver
0 days 00:04:19.000000000,American3333
0 days 00:04:22.000000000,Jack0126Cross
0 days 00:04:23.000000000,VTRaiderBooster
0 days 00:04:24.000000000,miomiomio11151
0 days 00:04:24.000000000,1AmericanWoman
0 days 00:04:25.000000000,TrumpTrainOnly
0 days 00:04:26.000000000,laurahudg
0 days 00:04:24.000000000,stormestone
0 days 00:04:28.000000000,bigbucks198
0 days 00:04:28.000000000,iamvivaaa
0 days 00:04:28.000000000,DanaLeaB1
0 days 00:04:28.000000000,abidingjones
0 days 00:04:35.000000000,BenBarnes1Fan
0 days 00:04:35.000000000,tomltoml
0 days 00:04:37.000000000,MrsDinoD
0 days 00:04:38.000000000,boanerges7000
0 days 00:04:38.000000000,SalCantarella
0 days 00:04:39.000000000,gothicreader
0 days 00:04:39.000000000,lnobrien2015
0 days 00:04:41.000000000,HindmanDebra
0 days 00:04:42.000000000,amyringley
0 days 00:04:43.000000000,IsaTotah
0 days 00:04:45.000000000,BrianWelke1
0 days 00:04:45.000000000,40Ironmike
0 days 00:04:49.000000000,NrOpines
0 days 00:04:50.000000000,ramey52
0 days 00:04:50.000000000,jbeatty19
0 days 00:04:51.000000000,dgw54321
0 days 00:04:53.000000000,SpitfireSuzy
0 days 00:04:53.000000000,KatrinaGrau
0 days 00:04:58.000000000,Amandaelrod86
0 days 00:05:01.000000000,guillermohinoj1
0 days 00:05:04.000000000,miariely7
0 days 00:05:05.000000000,BElaine1015
0 days 00:05:05.000000000,smiln32
0 days 00:05:10.000000000,BallerBrosman
0 days 00:05:18.000000000,The3rdstooge
0 days 00:05:21.000000000,MashallTheMeek
0 days 00:05:22.000000000,EdJHendershott
0 days 00:05:22.000000000,Alainke2
0 days 00:05:23.000000000,YocumElaine
0 days 00:05:23.000000000,meklove
0 days 00:05:23.000000000,skipgodfrey
0 days 00:05:25.000000000,AhearnTim
0 days 00:05:26.000000000,broncospirit13
0 days 00:05:27.000000000,RangerJoe79
0 days 00:05:28.000000000,FabriceBonin
0 days 00:05:28.000000000,TimChessman
0 days 00:05:26.000000000,Tjsk6058
0 days 00:05:29.000000000,chucksheets83
0 days 00:05:29.000000000,kimbenner11
0 days 00:05:30.000000000,cnthrasher
0 days 00:05:31.000000000,myboss2007
0 days 00:05:31.000000000,SallyAnneTaylor
0 days 00:05:32.000000000,wallewisdom
0 days 00:05:32.000000000,SAChance1970
0 days 00:05:34.000000000,SoCalConserv16
0 days 00:05:35.000000000,WhitedogMagic
0 days 00:05:36.000000000,Iceman7112
0 days 00:05:36.000000000,dondero_haley
0 days 00:05:37.000000000,Sheilas11
0 days 00:05:39.000000000,ladykatrina3
0 days 00:05:40.000000000,Rodriguez1Stacy
0 days 00:05:47.000000000,PatrickFN63
0 days 00:05:51.000000000,EdinTheSSJ2
0 days 00:05:54.000000000,LoxLB
0 days 00:05:54.000000000,MarkStoval
0 days 00:05:54.000000000,sgtcity
0 days 00:05:55.000000000,esme35975435
0 days 00:05:55.000000000,matere85
0 days 00:05:56.000000000,mimiminniti
0 days 00:06:01.000000000,WarHammer1776
0 days 00:06:04.000000000,gitgim
0 days 00:06:05.000000000,simplicitylife3
0 days 00:06:04.000000000,pyrat3
0 days 00:06:08.000000000,CarlKenner
0 days 00:06:09.000000000,PapaKelch
0 days 00:06:12.000000000,lindsmit58
0 days 00:06:13.000000000,audio_squash
0 days 00:06:16.000000000,gulfmiss
0 days 00:06:18.000000000,PowrRangr
0 days 00:06:18.000000000,fonsecaalfredo
0 days 00:06:19.000000000,SamSmith_2016
0 days 00:06:23.000000000,DanMallone
0 days 00:06:24.000000000,kathrynmoore57
0 days 00:06:25.000000000,fibarda
0 days 00:06:25.000000000,SandraMarlowe7
0 days 00:06:25.000000000,ViralWeather
0 days 00:06:25.000000000,mike_cothran
0 days 00:06:26.000000000,scrvens
0 days 00:06:28.000000000,GMLucarelli10
0 days 00:06:25.000000000,mike_cothran
0 days 00:06:33.000000000,MurphyDan
0 days 00:06:33.000000000,YosefMel
0 days 00:06:35.000000000,ArtiesOther
0 days 00:06:38.000000000,CaseyMakitRains
0 days 00:06:38.000000000,AvenidaTrinidad
0 days 00:06:41.000000000,PiratesFaithful
0 days 00:06:41.000000000,ricko1735
0 days 00:06:42.000000000,Viewtiful1337
0 days 00:06:45.000000000,ChristiD724
0 days 00:06:45.000000000,kickedinyo
0 days 00:06:46.000000000,Lukephillies11
0 days 00:06:49.000000000,BLISSaus
0 days 00:06:50.000000000,SapientMgmt
0 days 00:06:55.000000000,jemccauleyjr
0 days 00:06:55.000000000,AbbyKPace
0 days 00:06:57.000000000,8reallyisenough
0 days 00:07:02.000000000,Grant503
0 days 00:07:03.000000000,deplorable_dad
0 days 00:07:06.000000000,MWepare
0 days 00:07:11.000000000,OurLastVote
0 days 00:07:13.000000000,donniecraig
0 days 00:07:13.000000000,AltAussie
0 days 00:07:15.000000000,jlynna222
0 days 00:07:15.000000000,MONAKatOILS
0 days 00:07:15.000000000,hahail
0 days 00:07:16.000000000,abird06
0 days 00:07:17.000000000,bobzulka
0 days 00:07:19.000000000,Fozzzi
0 days 00:07:19.000000000,Trytousebrain
0 days 00:07:20.000000000,2daysatthespa
0 days 00:07:21.000000000,ItsBushTime
0 days 00:07:22.000000000,whynergirl
0 days 00:07:23.000000000,Women_4_TRUMP
0 days 00:07:26.000000000,Servant1512
0 days 00:07:26.000000000,DannyMe74211087
0 days 00:07:26.000000000,WilliamBrownay
0 days 00:07:26.000000000,247LovingLife
0 days 00:07:27.000000000,Eigenmetric
0 days 00:07:23.000000000,Women_4_TRUMP
0 days 00:07:28.000000000,November_8_2016
0 days 00:07:32.000000000,gautenerife
0 days 00:07:36.000000000,rdick2475
0 days 00:07:40.000000000,spectaa
0 days 00:07:40.000000000,mhocker10
0 days 00:07:41.000000000,devinchic777
0 days 00:07:43.000000000,Thomaspayne1776
0 days 00:07:43.000000000,WillMelton2
0 days 00:07:43.000000000,allthingssoft1
0 days 00:07:45.000000000,terry7531
0 days 00:07:46.000000000,netcynergy
0 days 00:07:47.000000000,Grant503
0 days 00:07:49.000000000,klaliberte1121
0 days 00:07:50.000000000,missy_12080
