Folder,Retweet Count,Time Difference,Estimated Time,Total Retweeted,Followers,,,00:00:07,1172,,00:00:06,3140
,1,00:00:07,00:00:07,1172,118409,,,00:00:08,1924,,00:00:06,3140
data1193,1,00:00:07,00:00:07,1172,118301,,,00:00:08,1465,,00:00:07,79092
,1,00:00:08,00:00:08,1924,321756,,,00:00:08,4722,,00:00:07,79092
,1,00:00:08,00:00:08,1465,38362,,,00:00:08,1924,,00:00:08,1937
data1054,1,00:00:08,00:00:08,4722,321855,,,00:00:08,1465,,00:00:08,1937
data1031,1,00:00:08,00:00:08,1924,321757,,,00:00:08,4722,,00:00:10,1090
data1149,1,00:00:08,00:00:08,1465,38362,,,00:00:10,1620,,00:00:10,1090
,1,00:00:08,00:00:08,4722,322666,,,00:00:10,1620,,00:00:12,1612
,1,00:00:10,00:00:10,1620,118031,,,00:00:11,2026,,00:00:12,1612
data1023,1,00:00:10,00:00:10,1620,118031,,,00:00:11,8047,,00:00:15,3057
,1,00:00:11,00:00:11,2026,32233,,,00:00:11,2026,,00:00:15,3057
data863,1,00:00:11,00:00:11,8047,51080,,,00:00:11,8047,,00:00:27,1680
data1074,1,00:00:11,00:00:11,2026,32189,,,00:00:13,2848,,00:00:27,1680
,1,00:00:11,00:00:11,8047,51080,,,00:00:13,3197,,00:00:28,6277
,1,00:00:13,00:00:13,2848,5168,,,00:00:13,2848,,00:00:40,1544
data850,1,00:00:13,00:00:13,3197,8135780,,,00:00:13,3197,,00:00:40,1154
data1030,1,00:00:13,00:00:13,2848,93102,,,00:00:14,1720,,00:00:48,1058
,1,00:00:13,00:00:13,3197,8135767,,,00:00:14,1720,,00:00:48,1058
,1,00:00:14,00:00:14,1720,52136,,,00:00:16,1273,,,
data1106,1,00:00:14,00:00:14,1720,51848,,,00:00:16,1289,,,
,1,00:00:16,00:00:16,1273,376029,,,00:00:16,1289,,,
,1,00:00:16,00:00:16,1289,38288,,,00:00:16,1273,,,
data986,1,00:00:16,00:00:16,1289,38295,,,00:00:18,4411,,,
data935,1,00:00:16,00:00:16,1273,376029,,,00:00:18,4411,,,
data1183,1,00:00:18,00:00:18,4411,51972,,,00:00:23,1145,,,
,1,00:00:18,00:00:18,4411,52137,,,00:00:23,1145,,,
,1,00:00:23,00:00:23,1145,16194,,,00:03:21,1468,,,
data985,1,00:00:23,00:00:23,1145,16194,,,00:03:21,1468,,,
,1,00:03:21,00:03:21,1468,1793,,,01:04:30,2068,,,
data877,1,00:03:21,00:03:21,1468,1799,,,01:04:30,2068,,,
data992,1,01:04:30,01:04:30,2068,5524,,,,,,,
,1,01:04:30,01:04:30,2068,5524,,,,,,,
data1171,2,00:00:06,00:00:03,3140,586797,,,,,,,
,2,00:00:06,00:00:03,3140,587977,,,,,,,
,2,00:00:07,00:00:03,79092,825648,,,,,,,
data1125,2,00:00:07,00:00:04,79092,812753,,,,,,,
,2,00:00:08,00:00:04,1937,322669,,,,,,,
data1176,2,00:00:08,00:00:04,1937,322216,,,,,,,
,2,00:00:10,00:00:05,1090,118409,,,,,,,
data1073,2,00:00:10,00:00:05,1090,118091,,,,,,,
data1022,2,00:00:12,00:00:06,1612,93095,,,,,,,
,2,00:00:12,00:00:06,1612,93095,,,,,,,
data1105,2,00:00:15,00:00:08,3057,155435,,,,,,,
,2,00:00:15,00:00:08,3057,155435,,,,,,,
,2,00:00:27,00:00:13,1680,14658,,,,,,,
data1037,2,00:00:27,00:00:14,1680,14660,,,,,,,
,2,00:00:28,00:00:14,6277,7204,,,,,,,
data1083,2,00:00:40,00:00:20,1544,1186,,,,,,,
,2,00:00:40,00:00:20,1154,1200,,,,,,,
data1158,2,00:00:48,00:00:24,1058,24784,,,,,,,
,2,00:00:48,00:00:24,1058,24974,,,,,,,
,3,00:00:10,00:00:03,3474,322661,,,,,,,
data1090,3,00:00:10,00:00:03,3474,321938,,,,,,,
,3,00:00:12,00:00:04,4448,214041,,,,,,,
data1048,3,00:00:12,00:00:04,4448,212895,,,,,,,
,3,00:00:19,00:00:06,1602,25775,,,,,,,
data1043,3,00:00:19,00:00:06,1602,22908,,,,,,,
data1028,3,00:00:22,00:00:07,2407,593461,,,,,,,
,3,00:00:22,00:00:07,2407,593442,,,,,,,
,3,00:00:23,00:00:08,1649,24972,,,,,,,
data1086,3,00:00:23,00:00:08,1649,24740,,,,,,,
data1072,3,00:00:30,00:00:10,1165,141204,,,,,,,
,3,00:00:30,00:00:10,1165,141332,,,,,,,
,3,00:00:33,00:00:11,1297,31452,,,,,,,
data1056,3,00:00:33,00:00:11,1297,31407,,,,,,,
data1200,3,00:00:41,00:00:14,1195,21988,,,,,,,
,3,00:00:41,00:00:14,195,22001,,,,,,,
data1050,3,00:00:46,00:00:15,1287,266228,,,,,,,
,3,00:00:46,00:00:15,1287,266243,,,,,,,
data1181,4,00:00:14,00:00:04,1158,17586,,,,,,,
data1026,4,00:00:18,00:00:05,1090,274132,,,,,,,
data1067,4,00:00:25,00:00:06,20782,51820,,,,,,,
data1169,4,00:00:26,00:00:07,1309,24807,,,,,,,
data1140,4,00:02:27,00:00:37,2403,2201,,,,,,,
data1092,5,00:00:15,00:00:03,1242,141209,,,,,,,
data1107,5,00:07:21,00:01:28,2772,123834,,,,,,,
data1177,6,00:00:38,00:00:06,1067,51959,,,,,,,
data1127,8,00:00:23,00:00:03,1059,93200,,,,,,,
