FAKE,REAL,,,,,BOTH,FAKE,REAL,,,,,,,
AgentDeplorable,SuverenTommy,,X,TOTAL,,ladydwall,TennesseeTexan,shadilayylmao,,,mikedahlen,,,,
Augustus1683AD,tammywalt61,,X,197,,ddc1168,604_9705,shimla1989,,,DarkShard_,,,CTony14,SoCal4Trump
LA_JuneX,_ShonkJ,,X,0.219484882,,AgentDeplorable,JoyfulAmbitions,TarryNot,,,APaezT,,,?Trump_for_USA,?Trump_Videos
luka_light,USATopGuns,,X,,,Augustus1683AD,SteveC_USA,TheIdiotDonald,,,ritfortat,,,?jstinson22,?ChatByCC
Sofia03336,voiletsareblue,,X,,,Donnawescott2,tnted96,three60radio,,,RobotCockatoo,,,?Lioness_1970,?MELANIATRUMP
mllnola,clintonchineduc,,X,,,Grandtheauto4,AmericasInPeril,TrumpAlabama,,,ReadyBasher01,,,?Trump30144,?AnnCoulter
PLAGUEDDC5,14gunrites,,X,,,hasnopants,CharliSixx,UchennaNwabuez1,,,jpizzle569,,,?jimsx50,?RealBenCarson
randomsweede,MelanieKReese,,X,,,Jeffrey74749980,collette8888,CatherinEnciso,,,gillaman21,,,?mlonpolitics,?KellyannePolls
apphandae,feedchick,,X,,,JulieEveretts,dek6media,Wh1skyTngoFxtrt,,,miamiblackatl,,,?godlycapitalist,?mike_pence
DianeBBennett1,qt4shrt,,X,,,LA_JuneX,GrammerSherry,wyatt_culver,,,defernandez,,,?gone2300,?seanhannity
JLLammy,AllAmerican1126,,X,,,liszewsk,Johnoha02978265,YoumansBeth,,,ayushdg,,,?kfnMamaBear,?wikileaks
martinmarcus21,turopo99,,X,,,luka_light,Kellydanes1,Zhuykovv,,,whatthewillus,,,?DAILY_AMERICAN,?FoxNews
MelanieKReese,veganvecoh,,X,,,Sofia03336,KGHASKINS1,Zjonfh,,,Uffie360,,,?ScoutDrayton,?WhiteHouse
qt4shrt,LiberalCuration,,X,,,TroyKotaSan,kthawkins8,6eustacia,,,Liimero,,,?US_Army_Vet,?POTUS
remedialgenius,antonimorodrigo,,X,,,avalanch_brkdwn,lulach_cuardach,4955403,,,007Antonm,,,?marilynkj,?realDonaldTrump
Thundergrips,apphandae,,X,,,CaballeroOHara,mandersonhare1,_diesis,,,JDverster16,,,?Women4Trump,
GovnForThePpl,cmrose999,,X,,,Cate66,MatthewJinx,_luhquon,,,Lepa911,,,?4yourvets,
KingsleyAnah,JamesGreenBayWI,,X,,,Claudia4Trump,SaulusSedai,0to10Over,,,OscarOropeza7,,,?MiddleClazzMom,
KroekerTony,LA_JuneX,,X,,,JakielMirka,717ontheprairie,1_kamamul,,,Rudbacken,,,?TrumpTran,
LiberalCuration,Debhneal,,X,,,jayizzo50,adamadozen,100degreebot,,,varunjajala,,,?misterdish69,
lijiayaya,amspeed13,,X,,,Jeffsright,af737digger,abruno444,,,agamms10,,,?MAGA_Len,
mikon751,JoanneTarpon07,,X,,,Josephjmontele2,AJhappy2,1D_Officer,,,Edward_Pellew,,,?roycan79,
odumechbueze1,ElectionDayPoll,,X,,,Lyle_Willis,ALobo2372,1damsel,,,MarcoGadotti,,,?ChineseAZ,
RobertD89815787,lmaxir1,,X,,,Mike_Sand_Man,astanad,1Daspoken,,,MalcolmTCat,,,?misstozak,
roqchrisy,lulujoy6101,,X,,,mllnola,babyjacksmom09,2001Sheykina,,,rurre17,,,?truth_pray,
terrydvl,GovnForThePpl,,X,,,PhyllisHart16,badtweetbot,530081215Beau,,,mitran__,,,?Love4Military,
umehizuh73,NelsonWoldsen,,X,,,PLAGUEDDC5,Barb138,5887qkk,,,Tsmitty223,,,?Ms1Scs,
TennesseeTexan,SkippyManuel,,X,,,randomsweede,BobbyfiferCarol,8Bit_Inserty,,,elijahprice11,,,?123jerryv123,
604_9705,Sophie012075,,X,,,rickybobby90210,chally1946,aaptp63,,,AaronNarwhon,,,?dochartdc,
SteveC_USA,ladydwall,,X,,,thatgirlsandra5,Chess_Facts,aaronnichol2021,,,suhitbaxi,,,?steingal2,
CharliSixx,celetinoha,,X,,,wrs1260,ChidiebereEze9,Aautomobile2013,,,jlopez1698,,,?DHecei,
Kellydanes1,martinmarcus21,,X,,,_ShonkJ,Coalition4Trump,ninivepenajr,,,ayushdg,,,?scotthwk62,
mandersonhare1,mary44614,,X,,,aatmanjal,crazyferret237,AleshiaRodrigu6,,,Rithdor73,,,?TraceyTheisen,
babyjacksmom09,mllnola,,X,,,amspeed13,Daisies55,PepenFuhrer,,,Niss187,,,?MONAKatOILS,
BobbyfiferCarol,aatmanjal,,X,,,AngryCitizen8,damonbrown827,AbCarrymar,,,syedbdusa,,,?Eyes_of_justice,
damonbrown827,AcroAman,,X,,,antonimorodrigo,deannaguillory,actingismypeace,,,igorekdrug,,,?CourageOfWisdom,
DMHord1,roqchrisy,,X,,,apphandae,debbi139,adymerica,,,harshav59369022,,,?VetApologist,
ElizabethVlaho1,randomsweede,,X,,,BelisaDavis,deezerdeezer,AestheticArya,,,R_Y_O_M_V,,,?EternalRiteWing,
FatFatsigi,RiddlewpmSheri,,X,,,BertiniJohn,digino69,agbworlds,,,JZoze,,,?WA4Trump,
GLENCOLLINS_,solmartpropert1,,X,,,bridgettlthomp,DMHord1,AgunwaFrancis,,,Banzhie,,,?MooiachiRios,
Imagin3_dragons,terrydvl,,X,,,BrookNatalie10,donvrjr1,aimee_rick,,,MolenaarVincent,,,?angryamerican97,
j_PAUL2282,alcarlos13,,X,,,burk9,EastYorksTroop,AmyFlyHigh11,,,chrispens4,,,?ForTrump,
mungamLI,lestherneck001,,X,,,caden807,EdMalchiodi,AgnesGinn,,,ConorWalton_,,,?NonSnowflake,
NanaOxford,WolfensPride,,X,,,clintonchineduc,eke325xz,AlbertineElled1,,,akshaykumar2806,,,?king_sparc,
workingwoman911,ArlTratlo,,X,,,dave_deplorable,ElizabethVlaho1,ale010500,,,britishbornA,,,?LdyGuin,
401_9163,rhbaseball15,,X,,,DianeBBennett1,exitandobserve,aleexvausee,,,matti_on_ice,,,?SongBird4Trump,
affixthecreator,banks_joel,,X,,,DkneuteSJU,FatFatsigi,AleishaSessoms,,,vunica4real,,,?PatriotBrother,
alphacreature1,AngryCitizen8,,X,,,DoreenParrish,FridgeVice,AlejandroAmbr1z,,,tonytrujillo,,,?ppv_tahoe,
AstralisGHG,Augustus1683AD,,X,,,elaniecardenas,galleydiana5,alejitazorrita,,,_JackLanglois,,,?Trumptbird,
AZ49ersfan,avalanch_brkdwn,,X,,,ElectionDayPoll,GLENCOLLINS_,AletaGingras,,,DavenFerranco,,,?mikepeterman,
B_Green159,BertiniJohn,,X,,,gary_cardio1501,goodinplenty1,AlexisMautoneRC,,,FightingPanda19,,,?ResidentOfFL,
bar_ba_papa,BelisaDavis,,X,,,Glory_Patriot,GoykhmanAlla,aliceeleach,,,fandersonmaciel,,,?abitx2u,
beldandolo,BeyondBelief12,,X,,,itsFranco,Graftedin2truth,AlleyJacquelynn,,,HD460,,,?ReTRUMPlican_US,
bentimonsen,bhayes2016,,X,,,itsnebulaz,grammybijou3,alligatorclan,,,shanshajith,,,?survivingplan,
BN_Politik,Mike_Sand_Man,,X,,,Jake_Venger,GStashko,Allips94,,,pvan85,,,?kinni00,
BroodingPelican,Boom_Cheung,,X,,,JanLaduron,Hermesdon,AllisonTurnage,,,drjays70,,,?esqonfire,
CaptureTheSky82,bridgettlthomp,,X,,,Jarod23409143,iKneelForNoMan,allyJ32,,,AadilZaki07,,,?Kajuncook519,
carlo_ivan22,caden807,,X,,,JeffTwinsFan,Imagin3_dragons,alvaro_crespo,,,bal_aran,,,?USAneedsTRUMP,
cary_thurm,BrookNatalie10,,X,,,JenJustjen515,IndigoJewelry,alw2000gamer,,,havgrimur,,,?tomtomokie,
charlottewiggs,budthespuddy,,X,,,Jennife52613581,Iron_Patriot76,alyciaaward,,,faheemnadeem,,,?Trumpism,
chopanini,BunkerBlast,,X,,,JerrodRenner,j_PAUL2282,amberlocke_4,,,Dr_Nathan_G,,,?movement_trump,
ClabornJay,Britt_kayleen,,X,,,jhorne24746260,jacksonpeters05,AsburyNeely,,,zmbhntr45,,,?FriendlyJMC,
