Time Difference,user.screen_name
,EastwoodUSA
0 days 00:00:13.000000000,jrsmits
0 days 00:00:14.000000000,AnthonyMo1990
0 days 00:00:15.000000000,DjDeala
0 days 00:00:16.000000000,28594Jeep
0 days 00:00:18.000000000,M_Leone2
0 days 00:00:18.000000000,ThePerezShow101
0 days 00:00:23.000000000,scoobymamadooby
0 days 00:00:24.000000000,Theclaw66
0 days 00:00:32.000000000,raw_1982
0 days 00:00:34.000000000,nocbc
0 days 00:00:39.000000000,GustavVader1
0 days 00:00:46.000000000,TeeKay32600
0 days 00:00:54.000000000,grodgeo
0 days 00:00:56.000000000,LindaJoh11
0 days 00:00:56.000000000,SOS_EUROPE_SOS
0 days 00:00:58.000000000,SusanaCanabal
0 days 00:01:00.000000000,RandallRiecke
0 days 00:01:01.000000000,TellaCrosby
0 days 00:01:02.000000000,bakadesusenpai1
0 days 00:01:11.000000000,DonaldJRooseve1
0 days 00:01:15.000000000,Trumpetteco
0 days 00:01:20.000000000,Bite18155048
0 days 00:01:30.000000000,RobH5927
0 days 00:01:32.000000000,Kevin850M
0 days 00:01:32.000000000,chazzldazzl
0 days 00:01:36.000000000,jlizza1
0 days 00:01:46.000000000,ProudofUSA_76
0 days 00:01:47.000000000,j4MtehZign4L
0 days 00:01:47.000000000,bobnlydia
0 days 00:01:56.000000000,SassyFrassy81
0 days 00:01:56.000000000,LJB1752
0 days 00:02:06.000000000,kcamoberry
0 days 00:02:09.000000000,pinchlynch13
0 days 00:02:10.000000000,sheepzipper
0 days 00:02:11.000000000,keeganjames6005
0 days 00:02:13.000000000,WANAGL
0 days 00:02:15.000000000,Bill65936833
0 days 00:02:19.000000000,Eagle_Eye1776
0 days 00:02:21.000000000,NYCTemplar
0 days 00:02:23.000000000,DrGripMD
0 days 00:02:24.000000000,Trevorchew101
0 days 00:02:27.000000000,valtellez59
0 days 00:02:28.000000000,a_adev
0 days 00:02:36.000000000,AnnieAl72107182
0 days 00:02:42.000000000,bobbie_stelmach
0 days 00:02:44.000000000,pavanreddi123
0 days 00:02:47.000000000,KevinMcMahonNFL
0 days 00:02:49.000000000,TmislandsMary
0 days 00:02:49.000000000,Lizutd
0 days 00:02:56.000000000,beecharming
0 days 00:02:57.000000000,steve_glusica
0 days 00:02:57.000000000,Maga3xTrump
0 days 00:02:58.000000000,jmperagine
0 days 00:03:07.000000000,kadin001
0 days 00:03:11.000000000,ladydark770
0 days 00:03:14.000000000,koolhandluke74
0 days 00:03:15.000000000,rigobs72
0 days 00:03:15.000000000,j_khazen
0 days 00:03:16.000000000,HillaryIsRacist
0 days 00:03:22.000000000,romansun
0 days 00:03:27.000000000,John_S_33
0 days 00:03:28.000000000,RickAndKim30yrs
0 days 00:03:32.000000000,Gary_Davis_7807
0 days 00:03:33.000000000,PattyCa55857833
0 days 00:03:35.000000000,odinsonthor22
0 days 00:03:39.000000000,AshleighHoleman
0 days 00:03:40.000000000,Pittstock1
0 days 00:03:44.000000000,Nicole72inFL
0 days 00:03:50.000000000,LeeGuillaume2
0 days 00:04:01.000000000,basilard18
0 days 00:04:03.000000000,Corporatocrazy
0 days 00:04:07.000000000,bernardinoborza
0 days 00:04:11.000000000,Bosworth108
0 days 00:04:13.000000000,belive76
0 days 00:04:16.000000000,Megaaaaaannnn
0 days 00:04:24.000000000,jondoepolitics
0 days 00:04:31.000000000,Snoopysmama1
