Time Difference,user.screen_name,Column1
0 days 01:22:10.000000000,aspiesmom,14
0 days 01:23:35.000000000,aspiesmom,14
0 days 01:30:35.000000000,aspiesmom,14
0 days 01:42:29.000000000,aspiesmom,14
0 days 02:00:19.000000000,aspiesmom,14
0 days 02:10:53.000000000,aspiesmom,14
0 days 02:23:16.000000000,aspiesmom,14
0 days 01:22:10.000000000,aspiesmom,14
0 days 01:23:35.000000000,aspiesmom,14
0 days 01:30:35.000000000,aspiesmom,14
0 days 01:42:29.000000000,aspiesmom,14
0 days 02:00:19.000000000,aspiesmom,14
0 days 02:10:53.000000000,aspiesmom,14
0 days 02:23:16.000000000,aspiesmom,14
0 days 00:51:47.000000000,armitageblogger,10
0 days 01:14:15.000000000,armitageblogger,10
0 days 01:41:17.000000000,armitageblogger,10
0 days 02:17:22.000000000,armitageblogger,10
0 days 08:21:17.000000000,armitageblogger,10
0 days 00:51:47.000000000,armitageblogger,10
0 days 01:14:15.000000000,armitageblogger,10
0 days 01:41:17.000000000,armitageblogger,10
0 days 02:17:22.000000000,armitageblogger,10
0 days 08:21:17.000000000,armitageblogger,10
0 days 00:59:45.000000000,nattuurlijk,8
0 days 05:28:06.000000000,nattuurlijk,8
0 days 02:00:18.000000000,nattuurlijk,8
0 days 02:58:58.000000000,nattuurlijk,8
0 days 00:08:42.000000000,nattuurlijk,8
0 days 01:32:55.000000000,nattuurlijk,8
0 days 00:14:29.000000000,nattuurlijk,8
0 days 00:59:45.000000000,nattuurlijk,8
0 days 02:02:43.000000000,RockNHot1,7
0 days 02:05:05.000000000,RockNHot1,7
0 days 02:17:04.000000000,RockNHot1,7
0 days 00:19:18.000000000,RockNHot1,7
0 days 02:02:43.000000000,RockNHot1,7
0 days 02:05:05.000000000,RockNHot1,7
0 days 02:17:04.000000000,RockNHot1,7
0 days 00:47:15.000000000,TheTruthhTeller,7
0 days 00:34:56.000000000,TheTruthhTeller,7
0 days 00:07:12.000000000,TheTruthhTeller,7
0 days 01:16:04.000000000,TheTruthhTeller,7
0 days 00:05:57.000000000,TheTruthhTeller,7
0 days 00:36:17.000000000,TheTruthhTeller,7
0 days 00:47:15.000000000,TheTruthhTeller,7
0 days 00:25:37.000000000,AdrianScully13,6
0 days 00:25:37.000000000,AdrianScully13,6
0 days 02:23:38.000000000,AdrianScully13,6
0 days 02:45:21.000000000,AdrianScully13,6
0 days 00:25:37.000000000,AdrianScully13,6
0 days 00:25:37.000000000,AdrianScully13,6
0 days 00:10:16.000000000,Ddonfon,6
0 days 01:40:45.000000000,Ddonfon,6
0 days 00:44:23.000000000,Ddonfon,6
0 days 00:18:05.000000000,Ddonfon,6
