Time Difference,Retweet Count
00:03:39,43
00:03:55,46
00:11:53,96
00:22:14,152
00:29:34,180
00:30:15,184
00:32:46,190
00:46:37,226
00:51:34,241
01:01:08,298
01:03:06,316
01:06:38,350
01:22:08,420
01:22:57,426
01:32:54,456
01:40:37,488
01:43:24,498
01:55:43,538
02:10:52,579
02:16:07,594
02:19:32,596
02:20:39,600
02:27:03,620
02:58:22,688
03:19:52,728
03:36:54,751
03:45:15,758
03:54:25,777
04:08:22,800
05:16:47,880
07:49:40,992
00:00:18,4
00:00:36,13
00:00:37,14
00:02:52,62
00:03:11,68
00:03:36,85
00:04:41,108
00:05:55,136
00:10:55,203
00:11:01,205
00:16:02,251
00:17:01,259
00:18:56,277
00:21:00,296
00:23:24,310
00:24:38,312
00:25:48,320
00:28:19,332
00:28:55,334
00:30:13,338
00:34:17,351
00:35:28,359
00:37:51,366
00:39:27,373
00:47:18,401
00:47:28,403
00:50:20,411
00:56:09,432
00:56:21,434
00:56:48,437
01:00:17,459
01:00:34,462
01:03:23,470
01:04:23,473
01:11:22,502
01:11:53,507
01:26:13,576
01:26:51,581
01:29:52,596
01:33:15,609
01:37:02,631
01:46:32,659
01:50:10,672
01:50:25,674
01:55:25,685
01:58:49,692
02:06:26,704
02:55:10,749
03:11:34,767
03:11:43,768
03:28:54,791
03:31:56,794
03:33:43,796
03:52:21,824
04:18:56,841
04:22:23,844
05:35:15,909
05:39:11,911
07:28:35,963
07:30:04,975
07:30:25,979
07:43:16,1032
07:51:14,1045
07:59:02,1055
08:09:55,1091
08:34:19,1136
08:53:15,1146
09:05:14,1171
00:01:11,27
00:01:19,31
00:01:38,37
00:01:48,46
00:02:15,59
00:02:37,71
00:02:37,72
00:03:14,115
00:03:25,126
00:03:30,131
00:03:48,145
00:04:14,157
00:04:59,185
00:05:01,186
00:06:15,228
00:06:18,231
00:07:43,275
00:08:52,301
00:09:03,306
00:09:19,316
00:09:22,317
00:09:23,318
00:09:26,319
00:10:06,335
00:10:49,347
00:10:51,348
00:10:53,349
00:12:08,379
00:12:36,393
00:13:25,406
00:14:09,416
00:14:12,418
00:14:53,428
00:15:22,435
00:16:08,448
00:16:08,448
00:16:31,456
00:16:37,458
00:16:43,460
00:17:10,466
00:17:21,470
00:18:08,483
00:18:35,490
00:18:39,492
00:18:57,496
00:19:18,501
00:19:36,506
00:20:22,515
00:20:23,516
00:21:04,529
00:22:10,543
00:22:45,549
00:22:52,551
00:23:17,559
00:24:25,571
00:26:11,585
00:26:17,586
00:26:55,592
00:26:59,593
00:27:13,597
00:28:00,604
00:29:31,617
00:29:37,620
00:30:06,627
00:32:01,643
00:32:43,648
00:33:14,654
00:34:57,677
00:36:00,685
00:36:11,689
00:36:56,704
00:40:02,727
00:40:04,728
00:40:27,734
