Time Difference,Retweet Count
00:03:55,46
00:29:34,180
01:22:08,420
01:22:57,426
01:40:37,488
02:27:03,620
02:58:22,688
03:45:15,758
00:00:18,4
00:03:11,68
00:04:41,108
00:05:55,136
00:10:55,203
00:16:02,251
00:18:56,277
00:23:24,310
00:24:38,312
00:25:48,320
00:28:19,332
00:30:13,338
00:56:21,434
01:00:17,459
01:00:34,462
01:03:23,470
01:33:15,609
01:50:10,672
01:50:25,674
02:06:26,704
03:28:54,791
03:31:56,794
04:18:56,841
07:30:25,979
08:34:19,1136
00:01:38,37
00:02:15,59
00:02:37,71
00:02:37,72
00:05:01,186
00:06:15,228
00:09:23,318
00:10:06,335
00:10:49,347
00:10:51,348
00:15:22,435
00:16:43,460
00:17:10,466
00:17:21,470
00:20:22,515
00:20:23,516
00:24:25,571
00:26:11,585
00:26:17,586
00:32:43,648
00:36:11,689
00:41:42,744
00:53:51,875
00:55:13,888
00:58:17,920
00:59:43,933
01:01:23,948
01:20:21,1089
01:23:09,1114
01:26:00,1136
01:27:41,1150
01:37:13,1233
01:37:56,1236
01:37:59,1237
01:39:29,1248
01:39:34,1251
01:42:06,1280
01:42:26,1284
01:51:44,1334
01:54:11,1349
01:59:27,1387
02:03:34,1416
02:05:18,1436
02:07:23,1450
02:17:03,1520
02:17:16,1523
02:29:45,1577
02:33:08,1603
02:44:22,1689
02:47:03,1710
02:48:46,1726
02:51:55,1746
02:53:48,1757
02:56:08,1771
02:57:40,1778
03:03:18,1798
03:06:33,1817
03:08:21,1824
03:19:49,1874
03:25:00,1885
03:27:30,1894
03:29:44,1905
03:34:50,1930
03:38:17,1950
03:42:20,1968
03:55:37,2020
04:04:54,2104
04:09:06,2135
04:18:15,2176
04:38:10,2257
05:09:38,2426
06:04:16,2589
06:05:00,2592
06:23:23,2634
06:54:01,2699
07:18:10,2728
07:40:57,2750
07:43:30,2752
08:07:44,2776
09:00:30,2852
10:31:50,2939
00:04:02,19
00:05:08,29
00:19:39,148
00:25:51,192
00:31:30,231
00:37:28,264
00:48:52,329
00:50:50,337
00:52:19,350
00:59:02,396
01:06:26,439
01:22:52,508
01:24:04,515
01:25:23,525
01:44:35,620
01:52:42,660
01:53:29,664
01:55:29,675
02:12:18,751
02:14:14,761
02:18:21,781
02:28:25,832
02:53:23,956
03:02:51,977
03:05:31,993
03:07:37,1005
00:02:55,24
00:03:36,35
00:11:38,111
00:23:36,201
00:26:54,216
00:32:33,253
00:37:41,282
00:43:11,307
00:47:02,335
00:53:03,375
00:55:55,394
01:07:46,477
01:09:02,486
01:11:10,500
01:13:27,517
01:16:48,533
01:21:07,564
01:50:38,732
01:55:09,761
02:00:19,792
02:01:27,794
02:06:02,813
02:07:10,821
02:07:56,827
02:12:39,856
02:26:54,938
02:30:28,952
02:34:55,980
02:44:33,1012
02:55:46,1069
03:02:35,1100
03:03:34,1105
03:05:19,1114
03:11:17,1152
03:17:40,1170
03:23:49,1194
03:24:51,1199
04:14:23,1326
04:35:26,1376
04:54:58,1439
05:34:28,1552
06:29:57,1697
06:36:35,1767
07:07:32,1965
07:11:41,1977
07:17:55,1996
07:32:30,2033
07:50:41,2166
07:56:27,2193
08:01:10,2221
08:12:06,2248
08:19:11,2265
00:00:59,38
00:01:27,55
00:05:08,127
00:05:15,129
00:08:44,180
00:11:19,218
00:13:06,236
00:14:01,252
00:33:26,427
00:41:45,499
00:49:26,559
00:50:50,575
00:50:59,577
00:51:33,580
00:54:02,599
01:05:18,663
01:10:10,698
01:17:11,746
01:19:31,765
01:27:31,800
01:30:14,818
01:33:05,838
01:39:38,873
01:44:11,895
01:48:36,911
01:53:18,923
02:10:15,993
02:14:38,1011
02:19:28,1025
02:30:52,1055
02:54:08,1246
03:13:07,1340
03:13:09,1341
03:13:12,1342
03:14:21,1359
03:14:35,1366
03:15:11,1374
03:33:32,1492
04:06:24,1650
04:22:06,1712
04:47:47,1830
05:16:37,1903
06:32:11,2061
06:34:47,2070
07:29:44,2151
07:42:12,2164
08:38:04,2213
07:04:35,1078
00:47:44,31
01:03:44,54
01:14:00,114
01:14:46,126
01:14:56,132
01:16:39,180
01:20:29,262
01:21:12,287
01:21:40,302
01:21:59,314
01:22:55,344
01:23:31,363
01:23:58,374
01:27:01,462
01:28:06,487
01:28:15,491
01:31:02,561
01:31:17,570
01:34:11,636
01:43:53,810
01:50:16,921
01:51:21,939
01:59:18,1040
01:59:27,1041
02:00:33,1055
02:00:44,1059
02:02:31,1074
02:09:54,1142
02:14:31,1180
02:15:22,1188
02:25:07,1249
02:29:54,1291
02:35:41,1349
02:39:35,1381
02:39:44,1384
02:47:25,1450
02:58:24,1515
03:31:08,1754
03:36:02,1775
04:03:15,1884
04:31:46,1982
05:00:00,2079
06:16:29,2281
07:17:38,2382
00:02:02,4
00:03:52,16
00:08:59,56
00:09:14,59
00:22:53,102
00:27:16,148
00:28:59,174
00:33:59,224
00:37:05,268
00:38:09,280
00:47:53,382
00:53:21,457
00:54:57,483
01:05:38,599
01:13:52,677
01:17:24,717
01:19:22,741
01:20:58,758
01:22:21,773
01:23:07,778
01:47:46,990
01:55:00,1039
01:56:36,1055
02:09:45,1154
02:10:35,1161
02:14:38,1185
02:21:45,1222
02:23:21,1233
02:32:00,1279
02:44:18,1335
02:46:43,1352
02:50:02,1365
02:55:38,1390
