Time Difference,user.screen_name,Appearances
0 days 02:03:34.000000000,roqchrisy,18
0 days 02:00:19.000000000,roqchrisy,18
0 days 06:34:47.000000000,roqchrisy,18
0 days 01:23:54.000000000,roqchrisy,18
0 days 01:24:16.000000000,roqchrisy,18
0 days 01:38:53.000000000,roqchrisy,18
0 days 00:42:05.000000000,roqchrisy,18
0 days 04:31:50.000000000,roqchrisy,18
0 days 02:34:31.000000000,roqchrisy,18
0 days 02:03:34.000000000,roqchrisy,18
0 days 02:00:19.000000000,roqchrisy,18
0 days 06:34:47.000000000,roqchrisy,18
0 days 01:23:54.000000000,roqchrisy,18
0 days 01:24:16.000000000,roqchrisy,18
0 days 01:38:53.000000000,roqchrisy,18
0 days 00:42:05.000000000,roqchrisy,18
0 days 04:31:50.000000000,roqchrisy,18
0 days 02:34:31.000000000,roqchrisy,18
0 days 00:25:48.000000000,Mike_Sand_Man,16
0 days 00:20:23.000000000,Mike_Sand_Man,16
0 days 01:13:27.000000000,Mike_Sand_Man,16
0 days 00:56:22.000000000,Mike_Sand_Man,16
0 days 00:36:24.000000000,Mike_Sand_Man,16
0 days 00:55:06.000000000,Mike_Sand_Man,16
0 days 00:37:52.000000000,Mike_Sand_Man,16
0 days 00:00:50.000000000,Mike_Sand_Man,16
0 days 00:25:48.000000000,Mike_Sand_Man,16
0 days 00:20:23.000000000,Mike_Sand_Man,16
0 days 01:13:27.000000000,Mike_Sand_Man,16
0 days 00:56:22.000000000,Mike_Sand_Man,16
0 days 00:36:24.000000000,Mike_Sand_Man,16
0 days 00:55:06.000000000,Mike_Sand_Man,16
0 days 00:37:52.000000000,Mike_Sand_Man,16
0 days 00:00:50.000000000,Mike_Sand_Man,16
0 days 00:32:33.000000000,thatgirlsandra5,16
0 days 01:33:05.000000000,thatgirlsandra5,16
0 days 00:01:20.000000000,thatgirlsandra5,16
0 days 00:05:19.000000000,thatgirlsandra5,16
0 days 01:21:37.000000000,thatgirlsandra5,16
0 days 00:18:05.000000000,thatgirlsandra5,16
0 days 00:34:40.000000000,thatgirlsandra5,16
0 days 00:00:59.000000000,thatgirlsandra5,16
0 days 00:32:33.000000000,thatgirlsandra5,16
0 days 01:33:05.000000000,thatgirlsandra5,16
0 days 00:01:20.000000000,thatgirlsandra5,16
0 days 00:05:19.000000000,thatgirlsandra5,16
0 days 01:21:37.000000000,thatgirlsandra5,16
0 days 00:18:05.000000000,thatgirlsandra5,16
0 days 00:34:40.000000000,thatgirlsandra5,16
0 days 00:00:59.000000000,thatgirlsandra5,16
0 days 01:00:34.000000000,priorpat7,12
0 days 00:43:11.000000000,priorpat7,12
0 days 00:22:53.000000000,priorpat7,12
0 days 00:19:19.000000000,priorpat7,12
0 days 00:40:37.000000000,priorpat7,12
0 days 00:03:15.000000000,priorpat7,12
0 days 01:00:34.000000000,priorpat7,12
0 days 00:43:11.000000000,priorpat7,12
0 days 00:22:53.000000000,priorpat7,12
0 days 00:19:19.000000000,priorpat7,12
0 days 00:40:37.000000000,priorpat7,12
0 days 00:03:15.000000000,priorpat7,12
0 days 07:42:12.000000000,DianeBBennett1,10
0 days 03:55:36.000000000,DianeBBennett1,10
0 days 00:29:48.000000000,DianeBBennett1,10
0 days 01:47:57.000000000,DianeBBennett1,10
0 days 00:34:24.000000000,DianeBBennett1,10
0 days 07:42:12.000000000,DianeBBennett1,10
0 days 03:55:36.000000000,DianeBBennett1,10
0 days 00:29:48.000000000,DianeBBennett1,10
0 days 01:47:57.000000000,DianeBBennett1,10
0 days 00:34:24.000000000,DianeBBennett1,10
0 days 02:51:55.000000000,JamesGreenBayWI,10
0 days 01:44:11.000000000,JamesGreenBayWI,10
0 days 01:00:36.000000000,JamesGreenBayWI,10
0 days 03:01:19.000000000,JamesGreenBayWI,10
0 days 05:35:35.000000000,JamesGreenBayWI,10
0 days 02:51:55.000000000,JamesGreenBayWI,10
0 days 01:44:11.000000000,JamesGreenBayWI,10
0 days 01:00:36.000000000,JamesGreenBayWI,10
0 days 03:01:19.000000000,JamesGreenBayWI,10
0 days 05:35:35.000000000,JamesGreenBayWI,10
0 days 04:18:15.000000000,LA_JuneX,10
0 days 00:42:36.000000000,LA_JuneX,10
0 days 07:47:04.000000000,LA_JuneX,10
0 days 00:28:23.000000000,LA_JuneX,10
0 days 00:43:14.000000000,LA_JuneX,10
0 days 04:18:15.000000000,LA_JuneX,10
0 days 00:42:36.000000000,LA_JuneX,10
0 days 07:47:04.000000000,LA_JuneX,10
0 days 00:28:23.000000000,LA_JuneX,10
0 days 00:43:14.000000000,LA_JuneX,10
0 days 01:54:11.000000000,Paulahochman,10
0 days 01:50:38.000000000,Paulahochman,10
0 days 01:48:36.000000000,Paulahochman,10
0 days 01:15:58.000000000,Paulahochman,10
0 days 01:06:49.000000000,Paulahochman,10
0 days 01:54:11.000000000,Paulahochman,10
0 days 01:50:38.000000000,Paulahochman,10
0 days 01:48:36.000000000,Paulahochman,10
0 days 01:15:58.000000000,Paulahochman,10
0 days 01:06:49.000000000,Paulahochman,10
0 days 01:21:07.000000000,Sofia03336,10
0 days 01:17:11.000000000,Sofia03336,10
0 days 04:59:15.000000000,Sofia03336,10
0 days 01:08:39.000000000,Sofia03336,10
0 days 02:15:36.000000000,Sofia03336,10
0 days 01:21:07.000000000,Sofia03336,10
0 days 01:17:11.000000000,Sofia03336,10
0 days 04:59:15.000000000,Sofia03336,10
0 days 01:08:39.000000000,Sofia03336,10
0 days 02:15:36.000000000,Sofia03336,10
0 days 02:01:27.000000000,tzanneng,10
0 days 01:19:31.000000000,tzanneng,10
0 days 00:25:20.000000000,tzanneng,10
0 days 01:24:28.000000000,tzanneng,10
0 days 00:47:26.000000000,tzanneng,10
0 days 02:01:27.000000000,tzanneng,10
0 days 01:19:31.000000000,tzanneng,10
0 days 00:25:20.000000000,tzanneng,10
0 days 01:24:28.000000000,tzanneng,10
0 days 00:47:26.000000000,tzanneng,10
0 days 03:31:56.000000000,woitekj,10
0 days 03:13:07.000000000,woitekj,10
0 days 02:55:38.000000000,woitekj,10
0 days 00:52:06.000000000,woitekj,10
0 days 03:21:14.000000000,woitekj,10
0 days 03:31:56.000000000,woitekj,10
0 days 03:13:07.000000000,woitekj,10
0 days 02:55:38.000000000,woitekj,10
0 days 00:52:06.000000000,woitekj,10
0 days 03:21:14.000000000,woitekj,10
0 days 03:17:28.000000000,woodstock_dave,10
0 days 03:12:05.000000000,woodstock_dave,10
0 days 02:38:53.000000000,woodstock_dave,10
0 days 02:18:39.000000000,woodstock_dave,10
0 days 00:13:38.000000000,woodstock_dave,10
0 days 03:17:28.000000000,woodstock_dave,10
0 days 03:12:05.000000000,woodstock_dave,10
0 days 02:38:53.000000000,woodstock_dave,10
0 days 02:18:39.000000000,woodstock_dave,10
0 days 00:13:38.000000000,woodstock_dave,10
0 days 07:43:30.000000000,art888777,8
0 days 07:29:44.000000000,art888777,8
0 days 03:46:22.000000000,art888777,8
0 days 03:49:30.000000000,art888777,8
0 days 07:43:30.000000000,art888777,8
0 days 07:29:44.000000000,art888777,8
0 days 03:46:22.000000000,art888777,8
0 days 03:49:30.000000000,art888777,8
0 days 01:56:36.000000000,Cate66,8
0 days 01:50:18.000000000,Cate66,8
0 days 01:15:04.000000000,Cate66,8
0 days 00:53:12.000000000,Cate66,8
0 days 01:56:36.000000000,Cate66,8
0 days 01:50:18.000000000,Cate66,8
0 days 01:15:04.000000000,Cate66,8
0 days 00:53:12.000000000,Cate66,8
0 days 02:30:52.000000000,feedchick,8
