created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.id,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 19:48:00 +0000 2016,796076827299037185,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,7,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,529,489,615928172,blood220
Tue Nov 08 19:48:00 +0000 2016,796076827412463616,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,7,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1385,693,605573427,LILBADOULA
Tue Nov 08 19:48:08 +0000 2016,796076860845228033,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,10,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,2254,2219,3041446592,latroyanicole16
Tue Nov 08 19:48:09 +0000 2016,796076863781240832,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,11,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,8852,154,1358220085,thicccmani
Tue Nov 08 19:48:16 +0000 2016,796076895259373568,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,14,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1058,1310,1316557902,ianlvcs
Tue Nov 08 19:48:25 +0000 2016,796076931854794752,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,19,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,11652,431,30342583,ChannyyXOXO
Tue Nov 08 19:48:31 +0000 2016,796076957205168129,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,22,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,557,513,2733594370,VIRTUALBOYTOY
Tue Nov 08 19:48:33 +0000 2016,796076966529171456,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,24,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,359,157,1708371546,kamrynmichelle_
Tue Nov 08 19:48:37 +0000 2016,796076981418913792,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,27,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,907,409,53117546,mintberryjaz
Tue Nov 08 19:48:38 +0000 2016,796076987106422784,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,28,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1499,150,135585505,ahmedchoudhury
Tue Nov 08 19:48:38 +0000 2016,796076987303464962,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,28,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,91,72,2830448694,livbass_
Tue Nov 08 19:48:42 +0000 2016,796077004319850497,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,30,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,11557,273,3420426239,AkaWishes
Tue Nov 08 19:48:43 +0000 2016,796077007725592580,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,31,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,8993,308,232257395,Zxkween
Tue Nov 08 19:48:48 +0000 2016,796077028772548608,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,35,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,779,762,63085444,bganderzon
Tue Nov 08 19:48:51 +0000 2016,796077041208672257,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,39,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1062,1020,1155073574,thebbygrande
Tue Nov 08 19:49:02 +0000 2016,796077088071503872,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,42,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,747,330,3190011253,kareemfjx
Tue Nov 08 19:49:18 +0000 2016,796077154899476481,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,48,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,3964,1608,122996240,TMUKONIKA
Tue Nov 08 19:49:37 +0000 2016,796077234595319808,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,56,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,211,128,3021809216,rosedemps
Tue Nov 08 19:49:44 +0000 2016,796077261803786240,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,59,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,400,306,4690467684,jneslo
Tue Nov 08 19:49:59 +0000 2016,796077326811402242,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,66,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,4500,2556,35615827,__JuicyChanel
Tue Nov 08 19:50:11 +0000 2016,796077375771578368,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,70,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,611,467,3036808515,LittyNelly
Tue Nov 08 19:50:12 +0000 2016,796077381287022592,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,71,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,265,553,4863650373,Beatriz_M_2212
Tue Nov 08 19:50:18 +0000 2016,796077406276689920,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,74,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,290,88,4886662713,YassssBitchhh
Tue Nov 08 19:50:23 +0000 2016,796077427004964864,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,79,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,956,357,3959199251,marmitel0ver
Tue Nov 08 19:50:24 +0000 2016,796077431337680896,Tue Nov 08 19:47:01 +0000 2016,796076578665037824,80,14941,1972725774,RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs,1482,651,214550269,almightyell
