created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 12:09:29 +0000 2016,795961436279336960,,,,,,,,444148,304,213478296,UzoAduba
Tue Nov 08 12:09:42 +0000 2016,795961490088017921,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,1,444148,304,213478296,UzoAduba,2167,265,292578092,besideyouCory
Tue Nov 08 12:09:44 +0000 2016,795961500326330368,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,2,444148,304,213478296,UzoAduba,163,157,380717686,harvestmere
Tue Nov 08 12:09:47 +0000 2016,795961511860649984,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,3,444148,304,213478296,UzoAduba,916,1835,111690962,ManveerLochab
Tue Nov 08 12:09:49 +0000 2016,795961520127700992,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,4,444148,304,213478296,UzoAduba,804,2104,118073571,RanveerLochab
Tue Nov 08 12:10:02 +0000 2016,795961573810601986,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,5,444148,304,213478296,UzoAduba,343,544,355214111,MariFreitasReal
Tue Nov 08 12:10:06 +0000 2016,795961591879634945,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,7,444148,304,213478296,UzoAduba,69,79,166787694,mrplease49
Tue Nov 08 12:10:06 +0000 2016,795961594014371840,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,8,444145,304,213478296,UzoAduba,652,1191,2413548252,thearcherMC1R
Tue Nov 08 12:10:13 +0000 2016,795961621478785025,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,9,444148,304,213478296,UzoAduba,683,165,2377701134,MiniChikou
Tue Nov 08 12:10:19 +0000 2016,795961647965831168,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,10,444148,304,213478296,UzoAduba,1033,975,55133289,Merlange
Tue Nov 08 12:10:22 +0000 2016,795961658904432640,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,11,444145,304,213478296,UzoAduba,3925,5001,3435480864,theriseofgomez
Tue Nov 08 12:10:22 +0000 2016,795961659680587777,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,11,444148,304,213478296,UzoAduba,2065,1318,31810201,RoDRiGoGM
Tue Nov 08 12:10:30 +0000 2016,795961690949095424,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,13,444148,304,213478296,UzoAduba,882,688,2197053676,urbanxgypsy
Tue Nov 08 12:10:32 +0000 2016,795961700163997696,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,14,444148,304,213478296,UzoAduba,495,449,736256374104031232,GOLDADVICES
Tue Nov 08 12:10:33 +0000 2016,795961705369128960,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,15,444148,304,213478296,UzoAduba,316,296,38270795,llisone
Tue Nov 08 12:10:40 +0000 2016,795961734464999426,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,16,444148,304,213478296,UzoAduba,51165,1159,214622133,iSmashFizzle
Tue Nov 08 12:10:42 +0000 2016,795961744241922048,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,18,444148,304,213478296,UzoAduba,395,421,52352587,ArranNZ
Tue Nov 08 12:10:50 +0000 2016,795961776147988480,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,19,444148,304,213478296,UzoAduba,561,480,144204787,lghunt14
Tue Nov 08 12:11:02 +0000 2016,795961828530589696,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,20,444148,304,213478296,UzoAduba,441,367,219137328,jesimullins
Tue Nov 08 12:11:03 +0000 2016,795961832448081920,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,21,444148,304,213478296,UzoAduba,393,215,1337874181,katemcmillin13
Tue Nov 08 12:11:04 +0000 2016,795961834713055233,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,22,444148,304,213478296,UzoAduba,228,267,365487447,FeliciaRenee19
Tue Nov 08 12:11:05 +0000 2016,795961838303346689,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,23,444148,304,213478296,UzoAduba,595,487,104696833,WillKrisanda
Tue Nov 08 12:11:03 +0000 2016,795961832448081920,Tue Nov 08 12:09:29 +0000 2016,795961436279336960,21,444148,304,213478296,UzoAduba,393,215,1337874181,katemcmillin13
