user_id,id,cap,content_score,friend_score,network_score,sentiment_score,english_score,universal_score
282695161,282695161,0.005778301,0.4,0.9,0.5,0.3,0.06783457,0.119569867
1969847486.0,1969847486.0,,,,,,,
2601118704.0,2601118704.0,,,,,,,
283011172,283011172,0.22121616,4.8,3,3.8,4.8,0.771954233,0.654559646
181312554,181312554,0.002571044,1.3,0.7,1.4,1.1,0.041789835,0.056244912
788653445783887872,788653445783887872,0.145776203,0.7,2.3,1.1,0.9,0.360651907,0.576808656
781058453435449344,781058453435449344,0.005778301,1.4,0.8,0.4,1.1,0.079454653,0.119569867
2611087060,2611087060,0.00430424,1.7,0.8,2.6,1.3,0.135582577,0.095902762
1969469078.0,1969469078.0,,,,,,,
26686224,26686224,0.199882599,3.6,2.7,3.7,2.6,0.650690103,0.63570684
373011154,373011154,0.05430461,4.7,3.2,2.7,4.6,0.723800247,0.39374646
744717045162401793,744717045162401793,0.03867703,0.8,1.3,1.9,1.7,0.221806472,0.336555195
763056377187237888,763056377187237888,0.004725362,3.2,0.8,3.5,3.4,0.116795374,0.103285735
769533635976310785,769533635976310785,0.006431293,1.6,0.8,0.5,2.4,0.073433262,0.128515834
1970183604.0,1970183604.0,,,,,,,
4639100177,4639100177,0.116935967,2.8,1.5,2.9,2.1,0.421517259,0.536176148
7.439799796801372e+17,7.439799796801372e+17,,,,,,,
29302574,29302574,0.003940624,3.9,1.8,0.5,2,0.06783457,0.088995156
1969603532.0,1969603532.0,,,,,,,
133466157.0,133466157.0,,,,,,,
4898373774,4898373774,0.007183846,1.4,1,1,0.6,0.049183848,0.13802619
3050747122.0,3050747122.0,,,,,,,
3915941300.0,3915941300.0,,,,,,,
28034749,28034749,0.010164988,0.9,1.4,2.3,1.5,0.116795374,0.170132427
1969240746.0,1969240746.0,,,,,,,
717724339567611904,717724339567611904,0.003116818,0.8,0.9,1.5,0.8,0.049183848,0.070892573
1420981706.0,1420981706.0,,,,,,,
785241712952119296,785241712952119296,0.043420869,1.1,1.4,1.2,3,0.286212062,0.355186217
1970012150.0,1970012150.0,,,,,,,
619332307.0,619332307.0,,,,,,,
1604778206,1604778206,0.00272963,0.9,1.2,2.6,1.5,0.092866954,0.060780114
4274361,4274361,0.009037049,0.3,1.7,1.2,0.4,0.062633878,0.158817464
1969467084.0,1969467084.0,,,,,,,
851741624,851741624,0.006431293,1.4,1.6,1.6,1.6,0.092866954,0.128515834
1970179537.0,1970179537.0,,,,,,,
318694851,318694851,0.014565852,0.7,1.7,2.5,0.5,0.156855103,0.207905573
18720386,18720386,0.004725362,2.5,0.9,0.7,1,0.079454653,0.103285735
1969699898.0,1969699898.0,,,,,,,
4135399161,4135399161,0.010164988,1.7,2.6,1.1,1.9,0.236883777,0.170132427
1969941108.0,1969941108.0,,,,,,,
2744900304,2744900304,0.003626193,0.5,0.6,0.9,1,0.045343501,0.082539663
832250910,832250910,0.00272963,2.1,0.8,1.6,1.3,0.057807183,0.060780114
1969870494.0,1969870494.0,,,,,,,
25179492,25179492,0.00430424,0.3,1.9,0.5,0.3,0.125889289,0.095902762
7.729130998798295e+17,7.729130998798295e+17,,,,,,,
88765862,88765862,0.004725362,0.9,1.2,2.6,0.5,0.06783457,0.103285735
3116949109.0,3116949109.0,,,,,,,
2331065239,2331065239,0.003940624,0.5,0.8,1.2,0.7,0.038503445,0.088995156
69111539,69111539,0.002571044,0.4,0.3,0.7,0.8,0.041789835,0.056244912
767355839535456257,767355839535456257,0.012907437,4.1,0.9,3.7,2.2,0.322306022,0.194667737
41959688,41959688,0.003626193,1.7,0.8,2.5,2.2,0.062633878,0.082539663
2334326805,2334326805,0.003940624,1.9,1.6,2.2,1,0.079454653,0.088995156
2448161138.0,2448161138.0,,,,,,,
4822877171,4822877171,0.018599227,0.6,0.6,1.6,0.3,0.053331281,0.236336911
1969714890.0,1969714890.0,,,,,,,
3310027153,3310027153,0.016452305,0.4,0.9,2.8,0.5,0.108277007,0.221795688
2766239923,2766239923,0.083851147,4,1.7,2.7,3.3,0.569731783,0.474488541
1969324008.0,1969324008.0,,,,,,,
1969691101.0,1969691101.0,,,,,,,
427914702.0,427914702.0,,,,,,,
3433617016,3433617016,0.003626193,2.2,0.6,2.5,1.9,0.116795374,0.082539663
3430537311,3430537311,0.021041094,1.8,0.4,3.3,3,0.380551857,0.251523348
2949389615,2949389615,0.093608419,4,1.9,3.4,4.1,0.786626298,0.495057564
1970211150.0,1970211150.0,,,,,,,
702861324368408576,702861324368408576,0.008048111,1.1,0.7,0.6,2.5,0.079454653,0.148120708
930556002,930556002,0.014565852,1.7,1.6,1.9,1.9,0.207427967,0.207905573
834378378,834378378,0.016452305,3.8,1.7,3.5,1.2,0.135582577,0.221795688
1969833492.0,1969833492.0,,,,,,,
2447771388.0,2447771388.0,,,,,,,
1969288170.0,1969288170.0,,,,,,,
3909312929,3909312929,0.016452305,0.5,1.8,0.7,0.9,0.135582577,0.221795688
1969714802.0,1969714802.0,,,,,,,
356129526,356129526,0.002198441,0.5,0.6,0.9,0.5,0.03265991,0.044478832
3894966194,3894966194,0.018599227,1.4,0.9,2.4,0.7,0.303957332,0.236336911
3049844038.0,3049844038.0,,,,,,,
3095652353,3095652353,0.002431366,1.3,0.5,1.9,0.6,0.045343501,0.052029366
2485480569.0,2485480569.0,,,,,,,
783561210419642368,783561210419642368,0.093608419,4.4,1.6,2.5,4.4,0.740529101,0.495057564
214718478,214718478,0.006431293,1.1,1.6,1.7,0.4,0.116795374,0.128515834
3063766179.0,3063766179.0,,,,,,,
1969300424.0,1969300424.0,,,,,,,
501183240,501183240,0.007183846,0.9,0.7,1,0.7,0.085924,0.13802619
786785846892503040,786785846892503040,0.011448498,1.9,1.5,0.8,1,0.168473166,0.182079031
4900105512,4900105512,0.00430424,0.8,1.2,1.9,1.5,0.116795374,0.095902762
4388881763,4388881763,0.075193114,1.4,1.6,1.9,1.5,0.421517259,0.454005729
1970091427.0,1970091427.0,,,,,,,
616268072.0,616268072.0,,,,,,,
1969990262.0,1969990262.0,,,,,,,
3050183914.0,3050183914.0,,,,,,,
637096765,637096765,0.010164988,1.4,1.2,1.7,0.8,0.156855103,0.170132427
2443608560.0,2443608560.0,,,,,,,
1969391552.0,1969391552.0,,,,,,,
1969451875.0,1969451875.0,,,,,,,
1969779091.0,1969779091.0,,,,,,,
3043645838.0,3043645838.0,,,,,,,
615070316.0,615070316.0,,,,,,,
1969582224.0,1969582224.0,,,,,,,
1969588777.0,1969588777.0,,,,,,,
283015440,283015440,0.199882599,4.8,3,4.2,4.7,0.813871734,0.63570684
1970119404.0,1970119404.0,,,,,,,
705403933280305153,705403933280305153,0.034358494,1.1,3.1,1.9,2.1,0.286212062,0.318418856
3226766840.0,3226766840.0,,,,,,,
1970004146.0,1970004146.0,,,,,,,
1969920985.0,1969920985.0,,,,,,,
615137963.0,615137963.0,,,,,,,
3617733732.0,3617733732.0,,,,,,,
3055277836.0,3055277836.0,,,,,,,
1969831356.0,1969831356.0,,,,,,,
615162898.0,615162898.0,,,,,,,
3295715749.0,3295715749.0,,,,,,,
3050267626.0,3050267626.0,,,,,,,
813038929,813038929,0.003353677,0.7,1.8,0.8,2,0.06783457,0.076513107
3608463552.0,3608463552.0,,,,,,,
735524232948486145,735524232948486145,0.026940289,0.2,0.9,0.5,0.5,0.193749479,0.283782475
1969520508.0,1969520508.0,,,,,,,
3063543689.0,3063543689.0,,,,,,,
3060205455.0,3060205455.0,,,,,,,
1969599158.0,1969599158.0,,,,,,,
3372178235,3372178235,0.199882599,1.1,1.6,1,1.7,0.463592191,0.63570684
21943222,21943222,0.002100996,0.2,0.5,0.8,0.3,0.03265991,0.04110674
2161175960,2161175960,0.048615291,2.4,2.6,3.8,1.4,0.116795374,0.374266788
1969917642.0,1969917642.0,,,,,,,
129832823.0,129832823.0,,,,,,,
3770755153,3770755153,0.008048111,2.8,1.5,1.1,2.1,0.221806472,0.148120708
1084625558,1084625558,0.004725362,1.1,1,1,1.1,0.035465933,0.103285735
613605346,613605346,0.325413494,4.8,3.2,4.3,4.8,0.813871734,0.724840216
617602643.0,617602643.0,,,,,,,
261286446,261286446,0.026940289,3.5,1.7,3.3,2.4,0.236883777,0.283782475
189427379,189427379,0.002198441,0.8,0.9,0.5,0.3,0.038503445,0.044478832
1226512668,1226512668,0.004725362,0.5,0.6,2,0.8,0.073433262,0.103285735
703865902438047744,703865902438047744,0.060559163,3.7,1.6,1.1,2.7,0.380551857,0.413569898
3517210283,3517210283,0.009037049,2.3,0.9,2.9,1.5,0.057807183,0.158817464
1970272850.0,1970272850.0,,,,,,,
617676023.0,617676023.0,,,,,,,
614723896.0,614723896.0,,,,,,,
1970133871.0,1970133871.0,,,,,,,
1439822767,1439822767,0.007183846,3.3,2.2,3.2,4,0.252653217,0.13802619
615315822.0,615315822.0,,,,,,,
2561581740,2561581740,0.002431366,0.4,1.1,0.9,0.2,0.06783457,0.052029366
3059437977.0,3059437977.0,,,,,,,
1969557474.0,1969557474.0,,,,,,,
618566635.0,618566635.0,,,,,,,
1969566224.0,1969566224.0,,,,,,,
1969702165.0,1969702165.0,,,,,,,
3053631904.0,3053631904.0,,,,,,,
126967553.0,126967553.0,,,,,,,
635862661,635862661,0.048615291,1.2,2.1,1.5,0.9,0.421517259,0.374266788
709040768,709040768,0.002910297,1.2,1.3,0.9,0.6,0.116795374,0.065655562
613807823.0,613807823.0,,,,,,,
1345940180,1345940180,0.007183846,0.6,1,0.6,0.4,0.057807183,0.13802619
3059391971.0,3059391971.0,,,,,,,
616530618.0,616530618.0,,,,,,,
784904516428763136,784904516428763136,0.006431293,2.9,1,0.6,1.3,0.303957332,0.128515834
393375338,393375338,0.03867703,0.3,1.6,1.8,0.6,0.236883777,0.336555195
237442866,237442866,0.030450445,4.4,2.4,2.2,4.7,0.252653217,0.300816712
1173804362,1173804362,0.043420869,1.8,3.2,2.3,2.2,0.207427967,0.355186217
3060483227.0,3060483227.0,,,,,,,
1969782228.0,1969782228.0,,,,,,,
618837021.0,618837021.0,,,,,,,
1969867382.0,1969867382.0,,,,,,,
1617505266,1617505266,0.060559163,2.3,1.3,0.9,3.5,0.207427967,0.413569898
1969664083.0,1969664083.0,,,,,,,
1720922491.0,1720922491.0,,,,,,,
720800661500203009,720800661500203009,0.034358494,0.8,1.1,1.3,0.7,0.221806472,0.318418856
391110906,391110906,0.083851147,2.2,2.2,2.2,1.2,0.341219355,0.474488541
3080946542.0,3080946542.0,,,,,,,
122397629.0,122397629.0,,,,,,,
776540709524426753,776540709524426753,0.030450445,0.8,2,1.3,0.7,0.135582577,0.300816712
43094696,43094696,0.00521331,1.8,1.1,2.5,3,0.125889289,0.111167191
160365218.0,160365218.0,,,,,,,
459808988,459808988,0.00521331,0.9,1.1,2,1.6,0.079454653,0.111167191
526823315,526823315,0.030450445,1.7,2.7,3.4,0.7,0.252653217,0.300816712
228681265,228681265,0.002571044,0.3,0.4,0.8,0.3,0.030068974,0.056244912
2790188549,2790188549,0.002431366,0.3,0.7,1.1,0.4,0.06783457,0.052029366
624030989,624030989,0.007183846,1.9,0.8,1.3,1.5,0.100309357,0.13802619
3399349145.0,3399349145.0,,,,,,,
881323674,881323674,0.00430424,0.7,0.9,1.1,1,0.062633878,0.095902762
3040642055,3040642055,0.010164988,1.2,2.1,2.2,1.1,0.135582577,0.170132427
748168857831956481,748168857831956481,0.026940289,2.9,1.9,3.9,2.1,0.341219355,0.283782475
2355517284.0,2355517284.0,,,,,,,
53710141,53710141,0.048615291,4.1,3,2.3,3.4,0.400861391,0.374266788
2746979823,2746979823,0.030450445,2.1,1.3,0.6,2.3,0.207427967,0.300816712
2271057959.0,2271057959.0,,,,,,,
142026187,142026187,0.008048111,1.2,0.8,2,3.1,0.125889289,0.148120708
24677438,24677438,0.005778301,0.7,1.4,0.8,0.7,0.108277007,0.119569867
225798076,225798076,0.001865505,1.7,0.4,2,0.8,0.030068974,0.032398755
532520588,532520588,0.130655984,1.7,2.2,1.6,1.3,0.380551857,0.556587037
891114542,891114542,0.116935967,1.1,1,0.8,0.9,0.380551857,0.536176148
779045542894637056,779045542894637056,0.22121616,2.9,1.9,2.3,3.8,0.786626298,0.654559646
1514355565.0,1514355565.0,,,,,,,
3423430072,3423430072,0.162307584,0.4,2.2,2.3,0.9,0.548702008,0.596776171
38759727.0,38759727.0,,,,,,,
541855029.0,541855029.0,,,,,,,
110192074,110192074,0.010164988,2.3,2.3,3.1,2.1,0.400861391,0.170132427
496148442.0,496148442.0,,,,,,,
2169327943.0,2169327943.0,,,,,,,
455757470,455757470,0.003353677,0.9,0.8,1.2,0.7,0.041789835,0.076513107
7.211491813524972e+17,7.211491813524972e+17,,,,,,,
128749031,128749031,0.034358494,1.8,2.8,1.7,1.5,0.156855103,0.318418856
7.063389259801846e+17,7.063389259801846e+17,,,,,,,
928950889,928950889,0.018599227,2,1.8,2.4,2.9,0.252653217,0.236336911
3968943563,3968943563,0.003116818,0.8,0.7,1.1,1.5,0.073433262,0.070892573
1531185990,1531185990,0.067479061,3.2,1,3.5,2.9,0.380551857,0.433677434
3685247237,3685247237,0.048615291,0.8,1.3,1.1,0.4,0.322306022,0.374266788
319504286,319504286,0.011448498,1.4,0.9,0.9,0.5,0.100309357,0.182079031
2576921622,2576921622,0.00521331,3.3,1.4,0.9,1.7,0.100309357,0.111167191
20640663,20640663,0.006431293,1.7,1.2,1,1.4,0.125889289,0.128515834
338740511,338740511,0.00430424,0.5,0.5,1.8,0.3,0.045343501,0.095902762
284727715,284727715,0.011448498,3.8,1.2,1.7,4,0.207427967,0.182079031
3355688651,3355688651,0.006431293,2.2,0.6,1.8,0.9,0.180767269,0.128515834
26120406,26120406,0.002431366,0.5,0.8,0.6,0.5,0.025471598,0.052029366
384611494,384611494,0.05430461,2.8,2.4,3,1,0.221806472,0.39374646
553079535,553079535,0.002307921,0.4,0.9,0.5,0.4,0.035465933,0.048113666
3093907031.0,3093907031.0,,,,,,,
897809898,897809898,0.010164988,0.7,0.8,0.7,1.7,0.06783457,0.170132427
2987740753,2987740753,0.004725362,1.5,1.3,2.9,1,0.135582577,0.103285735
288574185,288574185,0.009037049,0.6,2.6,0.9,0.7,0.252653217,0.158817464
712610447438979072,712610447438979072,0.016452305,1.5,0.5,1.1,1.7,0.062633878,0.221795688
791088683302649857,791088683302649857,0.021041094,0.6,0.9,0.6,0.7,0.180767269,0.251523348
809977070,809977070,0.030450445,0.7,2.5,3.3,1.4,0.145897657,0.300816712
18292066,18292066,0.016452305,2.3,0.8,3.1,2.9,0.341219355,0.221795688
2470064492,2470064492,0.05430461,2.2,2.2,4.2,3.2,0.484864583,0.39374646
48228484,48228484,0.003116818,1,1.3,1.1,1.4,0.049183848,0.070892573
785727493286133760,785727493286133760,0.00521331,1.2,1.4,1.7,1.2,0.053331281,0.111167191
7.116457243503493e+17,7.116457243503493e+17,,,,,,,
162204416,162204416,0.006431293,0.5,1.9,0.4,0.3,0.06783457,0.128515834
34701889.0,34701889.0,,,,,,,
600386228,600386228,0.026940289,3.4,1.3,1.1,3.7,0.286212062,0.283782475
451835789.0,451835789.0,,,,,,,
7.296338945726915e+17,7.296338945726915e+17,,,,,,,
794622551594930176,794622551594930176,0.023811569,1.7,0.8,0.9,1.8,0.221806472,0.267344003
3309054674,3309054674,0.002198441,0.7,1.1,2.2,0.3,0.041789835,0.044478832
2922892055,2922892055,0.244462545,4.5,1,1.1,4.6,0.826453204,0.672938752
4784715637.0,4784715637.0,,,,,,,
3492861317,3492861317,0.026940289,0.5,1.4,1,0.3,0.193749479,0.283782475
27344142,27344142,0.012907437,3.8,2.2,1.9,2.6,0.303957332,0.194667737
7.853014080188948e+17,7.853014080188948e+17,,,,,,,
27984233,27984233,0.003116818,3.4,1,1.5,3.9,0.073433262,0.070892573
763905840088772608,763905840088772608,0.016452305,3.1,1.2,2.6,1.9,0.286212062,0.221795688
7.86754435221291e+17,7.86754435221291e+17,,,,,,,
879154249,879154249,0.104603479,4,2.3,2.5,4.3,0.706420424,0.515643331
481304417.0,481304417.0,,,,,,,
4766014272,4766014272,0.006431293,1.3,2.3,1.2,0.6,0.135582577,0.128515834
371781500,371781500,0.067479061,1.4,2,2.2,2,0.180767269,0.433677434
89869801,89869801,0.00272963,0.3,1,1.3,0.2,0.038503445,0.060780114
371072641,371072641,0.034358494,3.8,2.8,2.3,4.2,0.400861391,0.318418856
757042613241286656,757042613241286656,0.018599227,2.9,1.3,1.3,3.3,0.400861391,0.236336911
3169508226,3169508226,0.004725362,0.4,0.8,1.5,0.2,0.053331281,0.103285735
7.283914500989993e+17,7.283914500989993e+17,,,,,,,
3633732852,3633732852,0.014565852,2.7,1.3,2.1,3.5,0.252653217,0.207905573
2406037386,2406037386,0.075193114,0.5,2.3,0.8,0.4,0.207427967,0.454005729
4562386697.0,4562386697.0,,,,,,,
7.491256756683489e+17,7.491256756683489e+17,,,,,,,
210270751.0,210270751.0,,,,,,,
3395811605,3395811605,0.005778301,0.9,1.4,0.8,0.6,0.085924,0.119569867
289836894,289836894,0.023811569,0.4,1,0.8,0.8,0.269102246,0.267344003
403715681,403715681,0.162307584,2.9,1.9,2.2,2.9,0.269102246,0.596776171
24388970,24388970,0.559158374,4.1,4.6,4.6,2.3,0.756585473,0.835828576
211068552,211068552,0.05430461,1,1.9,0.8,1.6,0.286212062,0.39374646
2180335990,2180335990,0.030450445,0.7,1.6,2.1,0.2,0.221806472,0.300816712
7.920538952289772e+17,7.920538952289772e+17,,,,,,,
89392036,89392036,0.007183846,2.1,1.4,2.5,2.3,0.085924,0.13802619
703700133742034946,703700133742034946,0.005778301,0.7,1.2,4,2.9,0.108277007,0.119569867
2256955180,2256955180,0.005778301,1.3,1.3,1.4,2.4,0.062633878,0.119569867
298476496,298476496,0.002910297,1.1,0.6,0.5,1.1,0.057807183,0.065655562
140370955,140370955,0.007183846,1.2,0.9,1.9,0.6,0.100309357,0.13802619
2322782078,2322782078,0.002910297,4,0.7,1.7,1.3,0.053331281,0.065655562
792479315946409984,792479315946409984,0.005778301,1.4,0.5,0.7,0.4,0.049183848,0.119569867
1624284144,1624284144,0.00521331,0.7,0.7,1.4,0.6,0.125889289,0.111167191
1090375002,1090375002,0.002571044,1.1,0.7,3.3,1.5,0.041789835,0.056244912
760929229642997760,760929229642997760,0.003940624,1.8,0.4,2.7,1.7,0.135582577,0.088995156
198945680,198945680,0.00430424,0.4,0.8,0.4,0.8,0.049183848,0.095902762
105301721,105301721,0.004725362,0.3,0.8,1.7,1.1,0.062633878,0.103285735
704992515582267392,704992515582267392,0.003116818,1.9,1,1.1,0.7,0.079454653,0.070892573
149707496,149707496,0.355154311,2.9,3.4,2.7,1.5,0.590512927,0.740959859
3439536453.0,3439536453.0,,,,,,,
3317452003,3317452003,0.006431293,3.1,1.2,1.7,2.4,0.252653217,0.128515834
2945853544,2945853544,0.006431293,2.2,1.5,1,1,0.145897657,0.128515834
339113764,339113764,0.005778301,1.7,0.6,2.3,0.8,0.100309357,0.119569867
484866278,484866278,0.016452305,1.1,1,1.2,0.4,0.193749479,0.221795688
1095314306,1095314306,0.006431293,0.3,0.8,0.3,0.4,0.053331281,0.128515834
763767247852613632,763767247852613632,0.011448498,4.2,1.7,3.1,3.9,0.341219355,0.182079031
54951528.0,54951528.0,,,,,,,
392848910.0,392848910.0,,,,,,,
761728617927864320,761728617927864320,0.162307584,1.2,1.5,2,3,0.421517259,0.596776171
1932844638,1932844638,0.030450445,2.2,2.8,2.8,1.7,0.180767269,0.300816712
735850337505009664,735850337505009664,0.007183846,0.5,1.3,1,0.7,0.092866954,0.13802619
25020935,25020935,0.016452305,0.8,1.8,1.5,0.4,0.116795374,0.221795688
1032891972,1032891972,0.104603479,4.4,2.1,3.1,4.7,0.813871734,0.515643331
2780025196,2780025196,0.003626193,0.7,1.2,1.7,0.6,0.079454653,0.082539663
1932204139,1932204139,0.1803031,2.8,3.4,1.9,2.6,0.800598225,0.616428063
1592453774,1592453774,0.060559163,2.2,1.5,1.7,2,0.236883777,0.413569898
246620060,246620060,0.001691229,0.2,0.8,0.4,0.5,0.038503445,0.025486425
77109635.0,77109635.0,,,,,,,
788647738934124544,788647738934124544,0.003626193,0.6,0.8,1,0.7,0.06783457,0.082539663
2301914060.0,2301914060.0,,,,,,,
922050133,922050133,0.034358494,0.5,1.8,1.3,0.4,0.156855103,0.318418856
23240335,23240335,0.002910297,0.4,0.7,0.5,0.4,0.03265991,0.065655562
111735130,111735130,0.199882599,4.5,2.8,2.2,4.7,0.888218495,0.63570684
2857767103,2857767103,0.00430424,1.8,0.8,1.1,0.7,0.108277007,0.095902762
292432931,292432931,0.00521331,0.8,1.6,1.3,0.6,0.108277007,0.111167191
780579975506210818,780579975506210818,0.003116818,1.8,1,0.7,0.7,0.045343501,0.070892573
7.467628657098342e+17,7.467628657098342e+17,,,,,,,
7.913951541375222e+17,7.913951541375222e+17,,,,,,,
16592046,16592046,0.014565852,2.6,1.5,2.2,1.3,0.193749479,0.207905573
1945700048.0,1945700048.0,,,,,,,
31507100,31507100,0.002307921,0.9,0.6,1.1,0.4,0.025471598,0.048113666
831734118,831734118,0.00272963,0.5,0.9,0.7,0.2,0.038503445,0.060780114
4315960634,4315960634,0.296768766,4.7,4.6,3.9,4.1,0.786626298,0.708112627
