created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 12:46:52 +0000 2016,795970843948023808,,,,,,,,"I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… https://t.co/NQrhSlL7ru",24723,1779,133371829,kinni00
Tue Nov 08 12:47:09 +0000 2016,795970917616812032,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,1,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",88,68,754805752083124224,Donnasm80781187
Tue Nov 08 12:47:12 +0000 2016,795970927997685760,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,2,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",223,80,48335572,JingoWrex
Tue Nov 08 12:47:14 +0000 2016,795970937170657280,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,3,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",150,94,784199785431654400,JackAndMissyC
Tue Nov 08 12:47:25 +0000 2016,795970984956268544,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,4,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",873,1220,110226860,raymondlipford
Tue Nov 08 12:47:41 +0000 2016,795971051662413824,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,5,24722,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1353,1324,3700443204,Latinos4TrumpUS
Tue Nov 08 12:47:56 +0000 2016,795971111402016768,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,6,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",418,743,128057998,TrumpAllOverHer
Tue Nov 08 12:48:01 +0000 2016,795971133824757761,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,7,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",63804,2333,26089178,RepublicanGOP
Tue Nov 08 12:48:05 +0000 2016,795971153063976965,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,8,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",371,56,1710569406,Catalyst_317
Tue Nov 08 12:48:06 +0000 2016,795971156453031936,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,9,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",831,1757,107114546,DAVESLOCK
Tue Nov 08 12:48:11 +0000 2016,795971177730686977,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,10,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",170,710,4645922963,macleod1462
Tue Nov 08 12:48:17 +0000 2016,795971202728738816,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,11,24723,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",641,1193,1428230688,SpencerHills2
Tue Nov 08 12:48:42 +0000 2016,795971305229156352,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,12,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1546,601,2331065239,roblesnadjuntas
Tue Nov 08 12:48:51 +0000 2016,795971346031411200,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,13,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",313,659,81885880,Move_Fwd
Tue Nov 08 12:48:59 +0000 2016,795971378990215168,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,14,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",11030,5822,394260665,TweetingYarnie
Tue Nov 08 12:49:06 +0000 2016,795971408413229056,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,15,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",6589,1107,3677775437,lulujoy6101
Tue Nov 08 12:49:14 +0000 2016,795971440990363649,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,16,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",369,8,239098890,Walkmaster1
Tue Nov 08 12:49:18 +0000 2016,795971457406877696,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,17,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",727,1669,4572003196,garrett_runyan
Tue Nov 08 12:49:23 +0000 2016,795971476583251969,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,18,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",2583,4995,2461538374,MyRkl2849
Tue Nov 08 12:49:23 +0000 2016,795971478726541312,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,19,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1045,1332,3909312929,Inthemainewoods
Tue Nov 08 12:49:27 +0000 2016,795971496279764992,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,20,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",368,63,2205300219,deplorabletexas
Tue Nov 08 12:49:34 +0000 2016,795971526445203456,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,21,24724,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",609,819,747198762041348096,MalphasPolitikz
