Time Difference,user.screen_name
0 days 00:00:15.000000000,harvestmere
0 days 00:00:53.000000000,theriseofgomez
0 days 00:01:01.000000000,urbanxgypsy
0 days 00:02:21.000000000,nadnerb19
0 days 00:03:12.000000000,crjsoul42
0 days 00:03:47.000000000,angellbot
0 days 00:03:58.000000000,brie_robles
0 days 00:04:11.000000000,trash_zamo
0 days 00:05:50.000000000,amybrticevich
0 days 00:06:04.000000000,Soy_Christo_
0 days 00:07:33.000000000,rrbartholomew
0 days 00:09:44.000000000,seekatiedraw
0 days 00:10:24.000000000,BreanneShaye
0 days 00:10:28.000000000,alixnjohn
0 days 00:10:34.000000000,RoboRaspi
0 days 00:14:59.000000000,LeanneWoodfull
0 days 00:17:07.000000000,here_mel
0 days 00:20:21.000000000,natilee_jones
0 days 00:21:07.000000000,mary_margaretk
0 days 00:23:49.000000000,thelumaclub
0 days 00:24:50.000000000,MalouR_
0 days 00:35:12.000000000,_rawrjes
0 days 00:35:41.000000000,PlayMusicGh
0 days 00:37:01.000000000,dariiiiiAn
0 days 00:42:18.000000000,claiiiredelune
0 days 00:47:57.000000000,shunterinvt
0 days 00:49:31.000000000,felsull
0 days 00:58:10.000000000,WordsInsplreLED
0 days 01:00:30.000000000,slyarbrough
0 days 01:01:13.000000000,linneasjovall
0 days 01:01:26.000000000,theredwitch
0 days 01:01:54.000000000,N_V_R_mind
0 days 01:03:39.000000000,ElloEllenOh
0 days 01:03:41.000000000,Dianna_Craig
0 days 01:03:52.000000000,vivaregui
0 days 01:04:53.000000000,yufakemad
0 days 01:04:58.000000000,hardingae
0 days 01:05:06.000000000,7Mrs_Brightside
0 days 01:05:26.000000000,WillGhee4
0 days 01:12:08.000000000,Ju_LaParisienne
0 days 01:12:48.000000000,m_hartley_
0 days 01:13:00.000000000,theloveofjawn
0 days 01:13:07.000000000,KristenSplllane
0 days 01:18:55.000000000,LaurenMeganFox
0 days 01:20:45.000000000,thatyoung_amy
0 days 01:20:52.000000000,MonicaPThompson
0 days 01:22:28.000000000,danorrmite
0 days 01:25:17.000000000,jasonjmoreland
0 days 01:25:56.000000000,CrazyColleen
0 days 01:27:07.000000000,honorhan
0 days 01:29:39.000000000,sieraaaxo
0 days 01:34:27.000000000,livingonalatte_
0 days 01:34:30.000000000,daniwarmmm
0 days 01:35:18.000000000,brendabar516
0 days 01:38:09.000000000,reannafilms
0 days 01:38:56.000000000,MexicanoFem
0 days 01:41:03.000000000,Reinakhino1
0 days 01:44:29.000000000,writtenbymorgan
0 days 01:47:25.000000000,amyeewen
0 days 01:48:17.000000000,craigbray
0 days 01:52:00.000000000,AvatarApril
0 days 01:52:20.000000000,Mel_Italy
0 days 01:53:25.000000000,tjskouteris
0 days 01:57:51.000000000,MelissaAnne729
0 days 02:01:24.000000000,osbornek21
0 days 02:04:55.000000000,IamMidnight38
0 days 02:07:51.000000000,heavenlythe1
0 days 02:09:26.000000000,beyoncebrooksjr
0 days 02:11:28.000000000,montanamissoula
0 days 02:16:48.000000000,ravenclvaw
0 days 02:20:53.000000000,sj_gent
0 days 02:22:06.000000000,shannon_vevo
0 days 02:25:00.000000000,BrooklynSheep
0 days 02:31:47.000000000,dmendoz_54
0 days 02:35:29.000000000,kr7290
0 days 02:37:50.000000000,MykelBeyotch
0 days 02:43:44.000000000,jwhurter
0 days 02:45:16.000000000,amandaciminoo
0 days 02:48:18.000000000,CassNuffSaid
0 days 02:51:34.000000000,reverendrusso
0 days 02:58:25.000000000,xoMrsEvansxo
0 days 03:03:40.000000000,not_my_handle
0 days 03:05:54.000000000,helayneexplains
0 days 03:09:02.000000000,PplSucksAsHell
0 days 03:10:00.000000000,HopeBox22
0 days 03:16:36.000000000,tpabob46
0 days 03:27:13.000000000,OhSnapItzLivy
0 days 03:30:54.000000000,formertween
0 days 03:36:52.000000000,DarleneHopeNYC
0 days 03:44:50.000000000,amywhoisawesome
0 days 03:52:16.000000000,Obsession_Cait
0 days 04:02:33.000000000,kaIivchis
0 days 04:08:37.000000000,Shortie199
0 days 04:25:10.000000000,cc_cassidy
0 days 04:40:36.000000000,LondonAko
0 days 04:47:01.000000000,mrs__vause
0 days 04:47:04.000000000,penstone
0 days 04:59:49.000000000,estephannieee
0 days 05:23:57.000000000,afro_euphoria
0 days 05:46:55.000000000,Juliaismagic
0 days 05:53:06.000000000,lolorunawaylove
0 days 07:36:23.000000000,SamMcguire1119
0 days 10:17:00.000000000,shivie
0 days 10:27:07.000000000,trc2008
0 days 10:52:54.000000000,JJessicaAA
0 days 11:12:46.000000000,melbeardtf
0 days 11:16:16.000000000,DavonGraham
0 days 11:16:48.000000000,Kingzury
0 days 11:22:50.000000000,MargaretEllen86
0 days 00:00:16.000000000,TotaiVandyMove
0 days 00:00:19.000000000,CrimsonMariner
0 days 00:00:30.000000000,CWSimpson85
0 days 00:00:59.000000000,rachei_faagann
0 days 00:01:02.000000000,FuckMotherJones
0 days 00:01:06.000000000,ontarlosparks
0 days 00:01:12.000000000,Aevans5858
0 days 00:01:15.000000000,dhatchlck_leah
0 days 00:01:16.000000000,bella_ragazza_1
0 days 00:01:21.000000000,VloletgHendersn
0 days 00:01:24.000000000,Alphavelas
0 days 00:01:25.000000000,swslyrlcs_
0 days 00:01:27.000000000,rumrumpl
0 days 00:01:36.000000000,_m4nazhaa
0 days 00:01:40.000000000,lumlnanceriver
0 days 00:01:48.000000000,iady_audra
0 days 00:01:52.000000000,dlvingissues
0 days 00:02:02.000000000,TeenageC0ncerns
0 days 00:02:06.000000000,TonyGabriello
0 days 00:02:17.000000000,reid_conetha
0 days 00:02:36.000000000,titan9L
0 days 00:02:41.000000000,ternoie
0 days 00:02:54.000000000,paulbox48
0 days 00:02:55.000000000,pksglrlfriend
0 days 00:03:02.000000000,sh0p__amazon
0 days 00:03:13.000000000,ltsoscarsanchez
0 days 00:03:19.000000000,glrlswannarun
0 days 00:03:21.000000000,camlllechuga
0 days 00:03:22.000000000,_maj0rBEAUTY
0 days 00:03:23.000000000,MuslcLifeFun
0 days 00:03:29.000000000,overratedbleber
0 days 00:03:36.000000000,MlxedEnt_
0 days 00:03:40.000000000,_jreddd84
0 days 00:03:44.000000000,KlmKFanNet
0 days 00:04:05.000000000,NudesAndShlt
0 days 00:04:07.000000000,_Alexls_Makayla
0 days 00:04:11.000000000,ReganWinters9
0 days 00:04:13.000000000,LlzzyMarcia
0 days 00:04:20.000000000,beccacox_04
0 days 00:04:22.000000000,LovelsEternal_
0 days 00:04:28.000000000,DevanP0pe
0 days 00:04:31.000000000,K4ch_ache
0 days 00:04:33.000000000,B6_Movement
0 days 00:04:34.000000000,625nvck_
0 days 00:04:36.000000000,naboscarlol
